packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3faf6d369d70,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0053,True
a33d6b4cefbf,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0106,True
7ab9432796a8,spielberg_FP1,heart_rate,null_value,detection,0.0086,True
dd60d9ad48f3,spielberg_FP1,tyre_pressure,null_value,detection,0.0237,True
cc9bae7b3e08,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0149,True
65e1f2283998,spielberg_FP1,rpm_alt,schema_drift,detection,0.0105,True
6008fb4eefe9,spielberg_FP1,aero_load,bit_flip_low,detection,0.0128,True
fc7e00dd1a02,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0125,True
ad891516b6c7,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0078,True
560b5f0303e3,spielberg_FP1,aero_load,bit_flip_low,detection,0.0144,True
651ea3cdbdf7,spielberg_FP1,rpm_new,schema_drift,detection,0.0101,True
bf3dad2cb64a,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0158,True
230a7dccd2e8,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0098,True
8000438f7b34,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0096,True
f90b9a4ed0ba,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0125,True
635d51fa9914,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0087,True
1ad855118bcf,spielberg_FP1,engine_temp,null_value,detection,0.0081,True
f16ecf7e15cd,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0053,True
4ff4c8b3befa,spielberg_FP1,speed,bit_flip_low,detection,0.0143,True
ad6d00678cee,spielberg_FP1,throttle,bit_flip_low,detection,0.0145,True
58528a6a61bc,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0132,True
82969428c821,spielberg_FP1,tyre_pressure,null_value,detection,0.0078,True
8bd033c3c1d2,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0123,True
f606af59f5ec,spielberg_FP1,engine_temp,null_value,detection,0.01,True
812ff9501e5d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0084,True
882ba472c8bd,spielberg_FP1,aero_load,string_in_numeric,detection,0.0049,True
41ef36db1e80,spielberg_FP1,speed,duplicate_timestamp,detection,0.0087,True
662ebcd66baa,spielberg_FP1,heart_rate,bit_flip_high,detection,0.014,True
69cd770516a4,spielberg_FP1,aero_load,sensor_dropout,detection,0.0091,True
135251b5265f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0089,True
648e28d7ba86,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0051,True
a927b30bfdd8,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0127,True
9647d85e6bab,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0088,True
775b444dc245,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0092,False
762e81de639a,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0094,True
8f5bc31e6b9d,spielberg_FP1,tyre_pressure,null_value,detection,0.0079,True
e79b0d67643c,spielberg_FP1,rpm,string_in_numeric,detection,0.0048,True
ff9ffbd1127b,spielberg_FP1,aero_load,bit_flip_high,detection,0.0131,True
afab53604885,spielberg_FP1,speed,bit_flip_low,detection,0.0143,True
0b0a91e786bc,spielberg_FP1,rpm,bit_flip_low,detection,0.0152,True
c02de945afdb,spielberg_FP1,ecu_canbus,null_value,detection,0.0074,True
00dc22fc375d,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0097,True
5bd4c01dae5a,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0102,True
c788879e7774,spielberg_FP1,aero_load_new,schema_drift,detection,0.0095,True
938f431018b0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0098,True
3e8aa8f1bd6d,spielberg_FP1,rpm,sensor_dropout,detection,0.0079,True
84868fd32a07,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0086,True
170d3db1b287,spielberg_FP1,throttle,null_value,detection,0.0075,True
9f8adf97bcea,spielberg_FP1,speed,null_value,detection,0.0076,True
8be7a1afb768,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0079,True
dd43e4b8644b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0108,True
e0d603388949,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0077,True
d6109f3b9287,spielberg_FP1,ecu_canbus,null_value,detection,0.008,True
04fa7960d71b,spielberg_FP1,brake_temp,null_value,detection,0.0081,True
1e7d304100be,spielberg_FP1,rpm,bit_flip_low,detection,0.014,True
4f6423d39c21,spielberg_FP1,throttle,null_value,detection,0.0078,True
bf2296e0afe8,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0049,True
43df4452c4cb,spielberg_FP1,rpm,bit_flip_high,detection,0.0143,True
e580c3d114e4,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0074,True
c4fe8de89d04,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0164,True
3aeabf43c318,spielberg_FP1,rpm_new,schema_drift,detection,0.0124,True
45abeda70664,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0127,True
a6dc3bc84189,spielberg_FP1,speed,string_in_numeric,detection,0.0054,True
7812798e64c4,spielberg_FP1,aero_load,sensor_dropout,detection,0.0082,True
0a9d9be59dcb,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.009,True
55ccb5b97d71,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0954,True
16778b5b6d52,spielberg_FP1,throttle,bit_flip_low,detection,0.0143,True
4a05d9dd7b96,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0116,True
50a15fbce638,spielberg_FP1,speed,null_value,detection,0.0122,True
1189e83ebe5c,spielberg_FP1,speed,null_value,detection,0.0081,True
62de24d33d59,spielberg_FP1,aero_load,string_in_numeric,detection,0.0049,True
540275701d79,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0087,True
39ca3c779b3a,spielberg_FP1,ecu_canbus,null_value,detection,0.0089,True
