=== MISSED DETECTIONS BY SENSOR ===
sensor_id,miss_count,total_injected,miss_rate
ecu_canbus,28,731,0.0383
g_force_lateral,5,697,0.0072
throttle,1,758,0.0013

=== MISSED DETECTIONS BY CHAOS MODE ===
chaos_mode,miss_count,total_injected,miss_rate
bit_flip_low,31,1070,0.0290
bit_flip_high,3,1064,0.0028

=== MISSED DETECTIONS BY SESSION ===
session,miss_count,total_injected,miss_rate
spielberg_FP2,9,467,0.0193
budapest_FP1,4,503,0.0080
silverstone_FP1,4,528,0.0076
budapest_FP2,3,455,0.0066
spielberg_RACE,3,488,0.0061
budapest_FP3,2,514,0.0039
silverstone_FP3,2,530,0.0038
spielberg_FP1,2,475,0.0042
budapest_QUALI,1,480,0.0021
budapest_RACE,1,464,0.0022
silverstone_QUALI,1,470,0.0021
silverstone_RACE,1,463,0.0022
spielberg_FP3,1,458,0.0022

=== MISSED DETECTIONS BY SENSOR + CHAOS MODE ===
sensor_id,chaos_mode,miss_count,total_injected,miss_rate
ecu_canbus,bit_flip_low,27,113,0.2389
g_force_lateral,bit_flip_low,4,110,0.0364
ecu_canbus,bit_flip_high,1,94,0.0106
g_force_lateral,bit_flip_high,1,96,0.0104
throttle,bit_flip_high,1,112,0.0089
