packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
a3e90bd2da65,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0075,True
0a512556b298,spielberg_FP1,rpm,string_in_numeric,detection,0.0039,True
1eae02f347ba,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
0b0f1fd9df25,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0076,True
fc436f748233,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
440e9d7eec8c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0072,True
83b5d5050627,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0075,True
2436c73f8af3,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0082,True
8dd9d5e10baa,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0093,True
b895e49d40c7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0066,True
178f9f70e3ee,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0036,True
63399469f34b,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0038,True
347b13ffdfcf,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0066,True
12b29e062898,spielberg_FP1,speed_alt,schema_drift,detection,0.0074,True
f06254cb688b,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0068,True
eb8779f49782,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
386682e7d27f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0071,True
b3fb4c5531d9,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0088,True
f7bf1922b86c,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0074,True
24aa9bd6ec68,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
3f5d6f4a953f,spielberg_FP1,rpm,string_in_numeric,detection,0.0035,True
0e847bbb53df,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0037,True
9189ac41ee8d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0065,True
e3ca3e75b766,spielberg_FP1,aero_load,string_in_numeric,detection,0.0035,True
5dd2783ff231,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0036,True
18b155e65762,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0065,True
d00a5f229adc,spielberg_FP1,speed_canbus,schema_drift,detection,0.0082,True
a744397e2166,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0075,True
62402bc98980,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0074,True
c47f244ad11a,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0073,True
c01eb54933a0,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
59176602ef5f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
d938042683e9,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0076,True
d82b73885644,spielberg_FP1,throttle,string_in_numeric,detection,0.0038,True
1130860161b4,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0067,True
6ded6042bf64,spielberg_FP1,speed,string_in_numeric,detection,0.0037,True
1fb5ea3af98b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0038,True
09e35c6cced3,spielberg_FP1,throttle_new,schema_drift,detection,0.0094,True
057d80c57c7d,spielberg_FP1,speed,string_in_numeric,detection,0.0039,True
5c3c57eed305,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0037,True
12240941037a,spielberg_FP1,speed,duplicate_timestamp,detection,0.0068,True
ce23503b83f2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0039,True
c57b6731f774,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0074,True
544d033a49c5,spielberg_FP1,throttle_raw,schema_drift,detection,0.0075,True
40c7f85d108e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0039,True
c130666fc908,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0065,True
19675b311e6e,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0064,True
ce5b6aee8c34,spielberg_FP1,speed_v2,schema_drift,detection,0.0074,True
d95784830e14,spielberg_FP1,throttle,string_in_numeric,detection,0.0039,True
