packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
1aef97c9e41e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.004,True
982215806447,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0082,True
490b2667b80c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0072,True
5ad03949243e,spielberg_FP1,speed_new,schema_drift,detection,0.0078,True
f05196477f87,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
41f17070c951,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0039,True
c93a2152a6eb,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0093,True
bb6cd9727fbf,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0069,True
de58fda41d1c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0065,True
b4dd0b789ae6,spielberg_FP1,rpm,string_in_numeric,detection,0.0039,True
59cd5a5938ee,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0039,True
ad0dd5ea2d0e,spielberg_FP1,speed_raw,schema_drift,detection,0.0077,True
12abd8c5de59,spielberg_FP1,speed_new,schema_drift,detection,0.0078,True
5969db5e6100,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0067,True
5e208ec861dd,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0039,True
d8053bdc7ea7,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0063,True
c16e67794fea,spielberg_FP1,speed_v2,schema_drift,detection,0.0073,True
55fba42541b2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0067,True
9a1a8f1a4feb,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0035,True
2264b5c5b27d,spielberg_FP1,throttle_v2,schema_drift,detection,0.0078,True
a5ebc8576c06,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0039,True
adaf5f36976e,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0074,True
cd712210b701,spielberg_FP1,rpm_alt,schema_drift,detection,0.0078,True
0a4f975c3db8,spielberg_FP1,rpm_v2,schema_drift,detection,0.0078,True
e4dc368bc503,spielberg_FP1,throttle_new,schema_drift,detection,0.0075,True
f09c30fb9062,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0077,True
0b16b8d4f39f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.007,True
7d3d8164f8e7,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0035,True
fc10e28f5cbb,spielberg_FP1,throttle,string_in_numeric,detection,0.004,True
eb9e1cd052db,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0092,True
48a66f18f493,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0074,True
78bb51110b35,spielberg_FP1,speed,string_in_numeric,detection,0.0041,True
1a32d4fcf52e,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0076,True
379d2da955c9,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0063,True
f2d1e94852c9,spielberg_FP1,throttle,string_in_numeric,detection,0.0036,True
0142ff18d67d,spielberg_FP1,rpm_canbus,schema_drift,detection,0.008,True
e0f45351a4de,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0067,True
4b0dc7576f23,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0064,True
2871966688d7,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0064,True
9c5543dce650,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0069,True
e14e480f7a82,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0065,True
d41ab86e8e8c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0044,True
40e812948c95,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0076,True
60e727710b78,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0067,True
da4b16e2a06e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0067,True
45c2ff6ebb6b,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0073,True
7831225e96e8,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0075,True
1779b29fb695,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0072,True
7830764204f6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0039,True
ae71a4824249,spielberg_FP1,speed,string_in_numeric,detection,0.0036,True
2d3296f52364,spielberg_FP1,speed,duplicate_timestamp,detection,0.0069,True
fdc4225ab53e,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0064,True
49ae3d56ab63,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
b9d099643450,spielberg_FP1,throttle_new,schema_drift,detection,0.0077,True
87aa2c50a282,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
bd5d459ba9f2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0072,True
51e2eaf06805,spielberg_FP1,aero_load_new,schema_drift,detection,0.0078,True
1393374e79db,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
384ab4c61e1a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0054,True
bf1dcb22c99f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0067,True
50279d2992e8,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0076,True
1b06313154a1,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0063,True
343490e5b458,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0085,True
