packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
f8e1aaa57ba9,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0285,True
8054984a8d00,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0051,True
40baa72942bc,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0036,True
6c19ea26a009,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0029,True
2e714e2ab093,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0052,True
1678167a34e0,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0034,True
19fcf3c6d4d8,spielberg_FP1,speed_alt,schema_drift,detection,0.003,True
2c18ec1e788e,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0024,True
663dd857b215,spielberg_FP1,rpm,string_in_numeric,detection,0.0015,True
934bbea1eac7,spielberg_FP1,speed_canbus,schema_drift,detection,0.0037,True
0c1ccab2f790,spielberg_FP1,speed,bit_flip_high,detection,0.0053,True
a9b7088acd01,spielberg_FP1,throttle,sensor_dropout,detection,0.0022,True
a7a53394698f,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.003,True
4818f87926b4,spielberg_FP1,brake_temp,sensor_dropout,detection,0.002,True
3aefeba28d63,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0027,True
3e40ce74107f,spielberg_FP1,throttle,null_value,detection,0.0024,True
4fb2aded36f5,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.004,True
410ef9695bb4,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0029,True
6bcef3b225cb,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0045,True
cf432d0b1d62,spielberg_FP1,aero_load,null_value,detection,0.0061,True
c2f93008758b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0015,True
086b19472f6f,spielberg_FP1,rpm,bit_flip_high,detection,0.0047,True
3a408f86b5e3,spielberg_FP1,engine_temp,null_value,detection,0.0024,True
a1291ec012ed,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0021,True
f3b9a7914667,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0038,True
3c2055259b2c,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0034,True
42432ec1b59a,spielberg_FP1,tyre_pressure,null_value,detection,0.0019,True
b9f876aedf3e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0027,True
e5042449c88f,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0037,True
be0030fdeab8,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0035,True
f6a02aa08396,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0029,True
0df72cafad00,spielberg_FP1,speed,duplicate_timestamp,detection,0.0026,True
4fd426c39d07,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0023,True
ba7850e21fc0,spielberg_FP1,rpm,string_in_numeric,detection,0.0014,True
006e7abe1f05,spielberg_FP1,speed,null_value,detection,0.0022,True
f672a92f295d,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0042,True
936314d0510c,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0033,True
5983474ef581,spielberg_FP1,brake_temp,null_value,detection,0.0026,True
a6d52fc1ddc8,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0015,True
1d79a9d4a70b,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0032,True
f087f538d9b2,spielberg_FP1,rpm,null_value,detection,0.0022,True
cf8f91722783,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0021,True
05f344439c90,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0014,True
2ca3da2701a2,spielberg_FP1,aero_load,null_value,detection,0.0024,True
71d5d6448de4,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0029,True
333975b4d9b2,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
e90fa963ed0b,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0046,True
8a81d189251a,spielberg_FP1,throttle,bit_flip_low,detection,0.0038,True
2f86366cd518,spielberg_FP1,speed,duplicate_timestamp,detection,0.0026,True
703d618b32e6,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0014,True
fec23601e05a,spielberg_FP1,throttle_new,schema_drift,detection,0.0033,True
5df5fdb6ead6,spielberg_FP1,aero_load,sensor_dropout,detection,0.0021,True
