packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
184d47337c62,spielberg_FP1,rpm,string_in_numeric,detection,0.0021,True
e182b895236e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0032,True
a3584f993856,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0033,True
82ad07c60e3a,spielberg_FP3,rpm_raw,schema_drift,detection,0.0032,True
7989ae6316a9,spielberg_QUALI,brake_temp_alt,schema_drift,detection,0.0034,True
ee4f140908dd,spielberg_RACE,heart_rate_alt,schema_drift,detection,0.0036,True
44917b01aeaa,spielberg_RACE,heart_rate,duplicate_timestamp,detection,0.0034,True
da895e9f3dde,silverstone_FP1,throttle,string_in_numeric,detection,0.0019,True
966791dcebc6,silverstone_FP1,brake_temp,string_in_numeric,detection,0.002,True
9c28713973a7,silverstone_FP2,brake_temp_new,schema_drift,detection,0.0034,True
372313670c98,silverstone_FP2,ecu_canbus,duplicate_timestamp,detection,0.0034,True
1a829c89b1f3,silverstone_FP2,aero_load,duplicate_timestamp,detection,0.0031,True
f331ac2b202d,silverstone_FP2,heart_rate,string_in_numeric,detection,0.0016,True
0b1d58426a38,silverstone_FP3,speed,string_in_numeric,detection,0.0016,True
9d869dd71b6b,silverstone_QUALI,aero_load,string_in_numeric,detection,0.0019,True
817827dc9a79,silverstone_QUALI,heart_rate,duplicate_timestamp,detection,0.0032,True
a863048bb294,silverstone_QUALI,throttle,duplicate_timestamp,detection,0.0031,True
0aacde1c392d,silverstone_QUALI,ecu_canbus,string_in_numeric,detection,0.0017,True
e9a5e154c06f,silverstone_QUALI,heart_rate,string_in_numeric,detection,0.0018,True
eda4b62ef3e2,silverstone_QUALI,speed,duplicate_timestamp,detection,0.003,True
889da04ff58d,silverstone_QUALI,tyre_pressure_raw,schema_drift,detection,0.004,True
8858ee3a766b,budapest_FP1,speed,string_in_numeric,detection,0.0019,True
8a512a60ed90,budapest_FP1,speed_v2,schema_drift,detection,0.0038,True
e4dfb7ecc63f,budapest_FP2,ecu_canbus,duplicate_timestamp,detection,0.0029,True
6273250e0e8e,budapest_FP2,ecu_canbus_raw,schema_drift,detection,0.0036,True
32bfeb4ab62a,budapest_FP2,engine_temp,duplicate_timestamp,detection,0.003,True
c2f22fb93257,budapest_QUALI,aero_load_alt,schema_drift,detection,0.0032,True
30d00d8be7b4,budapest_QUALI,aero_load,string_in_numeric,detection,0.002,True
ee2ebe0a781d,budapest_RACE,heart_rate,string_in_numeric,detection,0.002,True
e8f4ccdbc1bf,budapest_RACE,g_force_lateral,duplicate_timestamp,detection,0.0029,True
4dbf601cd981,budapest_RACE,speed_alt,schema_drift,detection,0.0035,True
966791dcebc6,,,dlq_repair,repair,0.0188,False
372313670c98,,,dlq_repair,repair,0.0719,True
0aacde1c392d,,,dlq_repair,repair,0.0098,False
e4dfb7ecc63f,,,dlq_repair,repair,0.0188,True
32bfeb4ab62a,,,dlq_repair,repair,0.0155,True
184d47337c62,,,dlq_repair,repair,0.0064,False
e182b895236e,,,dlq_repair,repair,0.0138,True
a3584f993856,,,dlq_repair,repair,0.0113,True
44917b01aeaa,,,dlq_repair,repair,0.0089,True
da895e9f3dde,,,dlq_repair,repair,0.0038,False
1a829c89b1f3,,,dlq_repair,repair,0.0094,True
f331ac2b202d,,,dlq_repair,repair,0.0026,False
0b1d58426a38,,,dlq_repair,repair,0.0033,False
9d869dd71b6b,,,dlq_repair,repair,0.0021,False
817827dc9a79,,,dlq_repair,repair,0.0103,True
a863048bb294,,,dlq_repair,repair,0.009,True
e9a5e154c06f,,,dlq_repair,repair,0.0023,False
eda4b62ef3e2,,,dlq_repair,repair,0.0085,True
8858ee3a766b,,,dlq_repair,repair,0.0027,False
30d00d8be7b4,,,dlq_repair,repair,0.0025,False
ee2ebe0a781d,,,dlq_repair,repair,0.0025,False
e8f4ccdbc1bf,,,dlq_repair,repair,0.0083,True
