packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
9d9fc56a6e28,spielberg_FP1,throttle_alt,schema_drift,detection,0.0038,True
f9553492f12d,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
42364dbaf14b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0032,True
2cb5e36ac38e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
e8055ecfa77b,spielberg_FP2,engine_temp_v2,schema_drift,detection,0.0036,True
1aa5f3303852,spielberg_FP2,heart_rate_canbus,schema_drift,detection,0.0041,True
280a990ded99,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0018,True
ee374ccb3117,spielberg_FP3,brake_temp,duplicate_timestamp,detection,0.0034,True
da96a07d2cb1,spielberg_FP3,engine_temp_canbus,schema_drift,detection,0.0038,True
ffa694e9aacc,spielberg_QUALI,engine_temp,string_in_numeric,detection,0.0022,True
a059f2c04d91,spielberg_RACE,rpm_alt,schema_drift,detection,0.0033,True
0d6e3d320e04,silverstone_FP1,g_force_lateral_raw,schema_drift,detection,0.0033,True
70748f117f26,silverstone_FP1,aero_load_v2,schema_drift,detection,0.0034,True
4f45da103f44,silverstone_FP2,g_force_lateral,duplicate_timestamp,detection,0.0034,True
54e7056e946d,silverstone_FP3,engine_temp_raw,schema_drift,detection,0.0072,True
4dd514906aa5,silverstone_FP3,heart_rate,string_in_numeric,detection,0.0022,True
99cd22c4d346,silverstone_FP3,ecu_canbus_raw,schema_drift,detection,0.0036,True
163fb8c90ffd,silverstone_FP3,speed,duplicate_timestamp,detection,0.0035,True
2d089a4e14d2,silverstone_QUALI,tyre_pressure_raw,schema_drift,detection,0.0035,True
31c88b4f46dc,silverstone_QUALI,rpm_canbus,schema_drift,detection,0.0035,True
34fb170f30a0,silverstone_QUALI,ecu_canbus,string_in_numeric,detection,0.0018,True
90f546554204,silverstone_RACE,aero_load,duplicate_timestamp,detection,0.0029,True
2d3a8a12c843,silverstone_RACE,brake_temp,duplicate_timestamp,detection,0.0029,True
49bfee519ff3,silverstone_RACE,brake_temp,string_in_numeric,detection,0.0017,True
2ec993df2234,budapest_FP1,heart_rate,string_in_numeric,detection,0.0018,True
a9498bfd447c,budapest_FP1,throttle,string_in_numeric,detection,0.0016,True
99199d8e73bf,budapest_FP1,aero_load_canbus,schema_drift,detection,0.0041,True
5dadd6636411,budapest_FP1,speed_v2,schema_drift,detection,0.0032,True
8df94c5a80d1,budapest_FP2,aero_load,duplicate_timestamp,detection,0.0033,True
adc014ae248a,budapest_FP2,rpm,string_in_numeric,detection,0.0019,True
aef61f200a3b,budapest_FP3,g_force_lateral_alt,schema_drift,detection,0.0033,True
6e6b563139bb,budapest_FP3,heart_rate,duplicate_timestamp,detection,0.0033,True
8d2de336939d,budapest_QUALI,engine_temp,string_in_numeric,detection,0.0017,True
24c80ad5ad00,budapest_QUALI,tyre_pressure_raw,schema_drift,detection,0.0038,True
e06024ad94f6,budapest_QUALI,throttle_alt,schema_drift,detection,0.0035,True
12fcedfef484,budapest_RACE,aero_load,duplicate_timestamp,detection,0.0047,True
2ccd7fe87568,budapest_RACE,rpm_v2,schema_drift,detection,0.0034,True
ceb54b22f7f8,budapest_RACE,g_force_lateral,string_in_numeric,detection,0.0019,True
7681b3a79483,budapest_RACE,brake_temp,duplicate_timestamp,detection,0.0028,True
42364dbaf14b,,,dlq_repair,repair,0.0611,True
ee374ccb3117,,,dlq_repair,repair,0.0271,False
ffa694e9aacc,,,dlq_repair,repair,0.0085,False
34fb170f30a0,,,dlq_repair,repair,0.0064,False
2d3a8a12c843,,,dlq_repair,repair,0.0152,False
49bfee519ff3,,,dlq_repair,repair,0.0073,False
8d2de336939d,,,dlq_repair,repair,0.0061,False
7681b3a79483,,,dlq_repair,repair,0.0127,False
f9553492f12d,,,dlq_repair,repair,0.0035,False
2cb5e36ac38e,,,dlq_repair,repair,0.0022,False
280a990ded99,,,dlq_repair,repair,0.0029,False
4f45da103f44,,,dlq_repair,repair,0.0098,True
4dd514906aa5,,,dlq_repair,repair,0.0026,False
163fb8c90ffd,,,dlq_repair,repair,0.0082,True
90f546554204,,,dlq_repair,repair,0.0086,True
2ec993df2234,,,dlq_repair,repair,0.0031,False
a9498bfd447c,,,dlq_repair,repair,0.0021,False
8df94c5a80d1,,,dlq_repair,repair,0.0084,True
adc014ae248a,,,dlq_repair,repair,0.0023,False
6e6b563139bb,,,dlq_repair,repair,0.0087,True
12fcedfef484,,,dlq_repair,repair,0.0074,True
ceb54b22f7f8,,,dlq_repair,repair,0.002,False
