packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3521445e3658,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.004,True
8c83206832c1,spielberg_FP1,throttle,string_in_numeric,detection,0.0018,True
e712af97d65f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0032,True
8a5fefe5556a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0028,True
8c57d28dceb3,spielberg_FP1,speed,string_in_numeric,detection,0.0015,True
eed0c23f9c11,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0069,True
cb0fe5d85813,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0032,True
b43c83e74450,spielberg_FP1,speed_raw,schema_drift,detection,0.0042,True
400af3e1e443,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0019,True
4591eb34ff6e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0022,True
28e04e92c584,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0018,True
84f984ae64c1,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0043,True
ae90cd9b5c5f,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0033,True
25c30b58bbaa,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0034,True
1d78a0c2184a,spielberg_FP1,speed_new,schema_drift,detection,0.0039,True
75988be83606,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0032,True
fbb988fcbb52,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0038,True
a9e13f1cd26a,spielberg_FP1,speed_alt,schema_drift,detection,0.0033,True
c0e65507424f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0028,True
e9ab8995df17,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0025,True
d23f87b173d6,spielberg_FP1,speed_new,schema_drift,detection,0.0034,True
7ce07c0f872c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.003,True
33a43cbd6a7e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.003,True
dd72d57c4182,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0036,True
d7bc14ddf187,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0042,True
e427f25201b6,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0038,True
a24d71746680,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0017,True
311ac2284868,spielberg_FP1,aero_load_new,schema_drift,detection,0.0033,True
2fb7ca70e1e9,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0018,True
dc9b8e39ce7e,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0033,True
74a8859e801c,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0038,True
19ff0223c2ad,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0017,True
70c56d08a4d9,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0031,True
ae98154a16d7,spielberg_FP1,speed,string_in_numeric,detection,0.002,True
7a2374d1cd4b,spielberg_FP1,rpm_alt,schema_drift,detection,0.0034,True
4c70522a55b4,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.003,True
0a69737a398a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0028,True
c4eeaec9a206,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.003,True
0660934fa286,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0017,True
fce1ae9af649,spielberg_FP1,rpm,string_in_numeric,detection,0.0013,True
1e24cc776ddb,spielberg_FP1,speed,duplicate_timestamp,detection,0.0033,True
9436762e6ec6,spielberg_FP1,aero_load,string_in_numeric,detection,0.0019,True
816021baefb6,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0028,True
26ef158a9309,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0037,True
efc950efaa55,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0037,True
4e75b431d870,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0034,True
5ad4148ea5e7,spielberg_FP1,rpm_v2,schema_drift,detection,0.0032,True
5ce2e7276c3c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0032,True
36ccce728f38,spielberg_FP1,aero_load,string_in_numeric,detection,0.0018,True
05580b741e8d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
b233c1c82620,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0033,True
b89c323780de,spielberg_FP1,rpm_new,schema_drift,detection,0.0034,True
1ec64b4921a8,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0019,True
267a184eca04,spielberg_FP1,speed_new,schema_drift,detection,0.0033,True
30fcf0a41312,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0029,True
0d78453c9e0e,spielberg_FP1,throttle,string_in_numeric,detection,0.002,True
