packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
9dab8e13151a,spielberg_FP1,speed,string_in_numeric,detection,0.0018,True
002e3b495924,spielberg_FP1,throttle,string_in_numeric,detection,0.0019,True
4217c75ba1f7,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0018,True
21d29fbec6d9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0016,True
0a2be513cc1a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0018,True
61140b8bb465,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0031,True
0f7235df6ef3,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0018,True
896628ea62a1,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0029,True
dc1d925ba104,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0017,True
ee6636b14d1a,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0016,True
4db2be3c11cd,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0027,True
c6496c31a03c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0029,True
cebcb4a55425,spielberg_FP1,engine_temp,string_in_numeric,detection,0.002,True
79c36bec573f,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0034,True
e24082f085cc,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0018,True
9a506bf13c77,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0035,True
949861a4f495,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0031,True
f331ce08f2cf,spielberg_FP1,speed,duplicate_timestamp,detection,0.0041,True
bd620a9b9042,spielberg_FP1,rpm_new,schema_drift,detection,0.0039,True
9f7a4a298b6d,spielberg_FP1,rpm,string_in_numeric,detection,0.002,True
795020fb3eba,spielberg_FP1,throttle,duplicate_timestamp,detection,0.003,True
09d00f72733a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.003,True
f566ff4f5e7f,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0028,True
ee2de5a92680,spielberg_FP1,aero_load,string_in_numeric,detection,0.0018,True
a4d685f4261a,spielberg_FP1,brake_temp,string_in_numeric,detection,0.002,True
44007dc9d919,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0018,True
2cff21ef6513,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0111,True
01baff01b87b,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0033,True
a263ace26c79,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0035,True
e7804e2fe905,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0032,True
31fb4a3ffac7,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0027,True
6358bee6337c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0029,True
df7c38dec1e6,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0017,True
730c353f321e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0021,True
bd058c503816,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0036,True
d3bc0c1fe90e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0016,True
1ea3216d0902,spielberg_FP1,speed_alt,schema_drift,detection,0.0041,True
d03687f0ab96,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0018,True
d9f124d4d7b8,spielberg_FP1,throttle_v2,schema_drift,detection,0.0056,True
a7ba034e01c3,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0029,True
e9dbe984e684,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0033,True
9a1e1298f90d,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.003,True
aac2b2ad871e,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0015,True
7d9068cc3f1d,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0044,True
5fc3e19004a4,spielberg_FP1,speed_alt,schema_drift,detection,0.0039,True
8e23531139a5,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0032,True
07923a6b8059,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0029,True
4fb5afa2b12e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0036,True
15c59d532042,spielberg_FP1,aero_load_new,schema_drift,detection,0.0036,True
ccfba9840409,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0029,True
1dd9472d1770,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0032,True
f05be5a52ed4,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0029,True
f86adef808e6,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0035,True
d8c987784d94,spielberg_FP1,speed_new,schema_drift,detection,0.0036,True
275f418caa0a,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0033,True
0cc2aa9bb0bc,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
1569cdf4ad4d,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0031,True
81ce57854f36,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0028,True
9b16176e873f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0032,True
163caa5d9fbe,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0032,True
088e26322754,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.002,True
ce595735a211,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0031,True
6516bcbacb94,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0031,True
9023e718668e,spielberg_FP1,speed,duplicate_timestamp,detection,0.0031,True
f16fb082caba,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0023,True
3785e0976fad,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0035,True
7b6d277f0661,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0033,True
afb5b973bbc5,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0041,True
d69b43621b1f,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0037,True
0dc5aa2d5084,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0017,True
5e38cdd77b12,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0034,True
fe3772d3f9ca,spielberg_FP1,throttle_raw,schema_drift,detection,0.0032,True
07b866eaff76,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0043,True
cefaf3c46f2b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0038,True
bee6e06fbc59,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0016,True
5b54003c1b0a,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0029,True
680e58e6bf3e,spielberg_FP1,speed_v2,schema_drift,detection,0.0033,True
664a2aecd869,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0035,True
b8c7cd119ad4,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0039,True
abe2f7ca89c7,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0029,True
652c70f8183f,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0036,True
0d55395d47e2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0031,True
e30e4ef3a3b2,spielberg_FP1,aero_load,string_in_numeric,detection,0.0018,True
6b6f8464ed7f,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0038,True
04dcc63925c8,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0034,True
ac81a695dd9b,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0035,True
3caad12d99b2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0018,True
d802fbd8f28c,spielberg_FP1,speed_canbus,schema_drift,detection,0.0039,True
e508adbb8412,spielberg_FP1,rpm_v2,schema_drift,detection,0.0035,True
caf6154e38f9,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0017,True
a9ccdfa8191c,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0029,True
15f4b277846b,spielberg_FP1,throttle,string_in_numeric,detection,0.0016,True
63dd552baa59,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0016,True
23fa0bac59b0,spielberg_FP1,speed,duplicate_timestamp,detection,0.0025,True
00e6806a9e69,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0029,True
9415e7e7cd19,spielberg_FP1,speed,string_in_numeric,detection,0.0019,True
109ae1288562,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0437,True
983b4c0973aa,spielberg_FP1,speed_raw,schema_drift,detection,0.0033,True
c9ef1446ebfd,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0031,True
60aa28436f51,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0033,True
c863108c37c7,spielberg_FP1,speed_v2,schema_drift,detection,0.0033,True
