=== MISSED DETECTIONS BY SENSOR ===
sensor_id,miss_count,total_injected,miss_rate
ecu_canbus,24,723,0.0332
g_force_lateral,5,763,0.0066

=== MISSED DETECTIONS BY CHAOS MODE ===
chaos_mode,miss_count,total_injected,miss_rate
bit_flip_low,26,1027,0.0253
bit_flip_high,3,1036,0.0029

=== MISSED DETECTIONS BY SESSION ===
session,miss_count,total_injected,miss_rate
spielberg_QUALI,5,501,0.0100
silverstone_FP3,4,502,0.0080
silverstone_QUALI,3,495,0.0061
silverstone_RACE,3,476,0.0063
spielberg_FP1,3,514,0.0058
budapest_FP1,2,491,0.0041
budapest_FP3,2,472,0.0042
budapest_QUALI,2,455,0.0044
spielberg_FP2,2,490,0.0041
budapest_RACE,1,474,0.0021
spielberg_FP3,1,455,0.0022
spielberg_RACE,1,481,0.0021

=== MISSED DETECTIONS BY SENSOR + CHAOS MODE ===
sensor_id,chaos_mode,miss_count,total_injected,miss_rate
ecu_canbus,bit_flip_low,22,90,0.2444
g_force_lateral,bit_flip_low,4,111,0.0360
ecu_canbus,bit_flip_high,2,93,0.0215
g_force_lateral,bit_flip_high,1,111,0.0090
