packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2b6f771266fa,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0201,True
7dbb10c0632c,spielberg_FP1,aero_load,string_in_numeric,detection,0.0017,True
30ddd88df3ec,spielberg_FP1,speed,string_in_numeric,detection,0.003,True
856690bbcb91,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0057,True
d00e30bd8b6d,spielberg_FP1,throttle,null_value,detection,0.0025,True
17032406d179,spielberg_FP1,speed,bit_flip_high,detection,0.0084,True
14c4ab4ff8a6,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0042,True
04e4b7889541,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
2bcf59c466b0,spielberg_FP1,speed_canbus,schema_drift,detection,0.0034,True
f5dd061724f2,spielberg_FP1,engine_temp,null_value,detection,0.0022,True
ebf705839b70,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0047,True
aa272c9a4a86,spielberg_FP1,throttle,null_value,detection,0.0022,True
094db9527735,spielberg_FP1,rpm,sensor_dropout,detection,0.0035,True
7045da8ec39b,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0051,True
c4742a77e363,spielberg_FP1,g_force_lateral,null_value,detection,0.0024,True
66ddd3c0a812,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0022,True
60003a5071b9,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0045,True
ce339635b54f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0053,True
2363af6232ce,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0014,True
c1afa9d5d3c1,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0025,True
141ca7bc8f91,spielberg_FP1,throttle,sensor_dropout,detection,0.0019,True
e383512645b7,spielberg_FP1,heart_rate,null_value,detection,0.002,True
2680c335b5c9,spielberg_FP1,brake_temp,null_value,detection,0.0018,True
98469c9f8430,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0043,True
91948feba829,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0023,True
928982ad6570,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0035,True
dddf9a29000d,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0034,True
53029a99fdc5,spielberg_FP1,engine_temp,null_value,detection,0.0023,True
ebe51f83e2a9,spielberg_FP1,engine_temp,null_value,detection,0.0088,True
f8f948429530,spielberg_FP1,speed,null_value,detection,0.002,True
9c0426a2d341,spielberg_FP1,brake_temp,sensor_dropout,detection,0.002,True
a935adba2397,spielberg_FP1,speed_canbus,schema_drift,detection,0.003,True
734c1ecee67c,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0027,True
794bce3582d4,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0027,True
383f2a69834e,spielberg_FP1,throttle,sensor_dropout,detection,0.0021,True
d7202045f835,spielberg_FP1,aero_load,null_value,detection,0.0022,True
ad93f6bca296,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
8f25cce99afd,spielberg_FP1,g_force_lateral,null_value,detection,0.0022,True
0c5491d148b9,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0044,True
173fb01d328c,spielberg_FP1,speed_alt,schema_drift,detection,0.0031,True
ea30d0b12300,spielberg_FP1,ecu_canbus,null_value,detection,0.0027,True
8b5acee8d283,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0021,True
5b0aecfd914a,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0034,True
3e35839ae398,spielberg_FP1,speed,bit_flip_high,detection,0.0047,True
7a8d2788db97,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0035,True
5c9fbe016b42,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0042,True
91938f504104,spielberg_FP1,aero_load,string_in_numeric,detection,0.0018,True
e72502910e5e,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0038,True
45ecfc173881,spielberg_FP1,speed,bit_flip_low,detection,0.0045,True
4dcccd8fc100,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0037,True
fa38158eb6ad,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0029,True
21c762d6359c,spielberg_FP1,aero_load,sensor_dropout,detection,0.0028,True
e8e9e6b04b65,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
b2275b9fc5f4,spielberg_FP1,speed,string_in_numeric,detection,0.0013,True
e7fb4308f90f,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0029,True
c07eeba40642,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0022,True
cd93903bb55f,spielberg_FP1,speed,bit_flip_high,detection,0.0045,True
4b3a1434afed,spielberg_FP1,ecu_canbus,null_value,detection,0.0024,True
c5281dbc5a05,spielberg_FP1,throttle,sensor_dropout,detection,0.002,True
049e073d5193,spielberg_FP1,throttle,null_value,detection,0.0026,True
1b70146487b6,spielberg_FP1,brake_temp,null_value,detection,0.0022,True
e2f7fbfee69f,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0028,True
348df52b38a4,spielberg_FP1,rpm,sensor_dropout,detection,0.002,True
0694f3aa3285,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0039,True
daeab291f4ca,spielberg_FP1,rpm,null_value,detection,0.0025,True
454d3f0f048c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
2027a4425f45,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0026,True
c67fea230c50,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0021,True
a746e888946d,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0026,True
3c7738c863ee,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0076,True
6e3c2b357341,spielberg_FP1,rpm,bit_flip_low,detection,0.0052,True
1cc288e3fa28,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0037,True
26c0f724b74e,spielberg_FP1,rpm,bit_flip_high,detection,0.0035,True
ce9e7f07cc16,spielberg_FP1,heart_rate,bit_flip_high,detection,0.004,True
56487cdeb76b,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0051,True
ceb301287cdc,spielberg_FP1,tyre_pressure,null_value,detection,0.0029,True
5b2902380968,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.002,True
fe21c9f2f880,spielberg_FP1,speed,bit_flip_low,detection,0.0037,True
20ef3b498ffe,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0014,True
ef4b67494c2f,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.002,True
f2fb0c7fc6ec,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.002,True
457c11eaa99d,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0021,True
03d895ffdd66,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0047,True
8161b53bf9b0,spielberg_FP1,brake_temp,null_value,detection,0.0019,True
adc284257052,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0039,True
28c492bc92ae,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0024,True
743a67b6f249,spielberg_FP1,throttle,string_in_numeric,detection,0.0012,True
da0da1cd379f,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0031,True
4896d88e16bb,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0027,True
3efd9b6214eb,spielberg_FP1,rpm,bit_flip_low,detection,0.0036,True
3dd317ba211e,spielberg_FP1,throttle,bit_flip_low,detection,0.0034,True
6f9d657c9ff6,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0024,True
5cc1ba71c3e9,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.002,True
f633b2d0f074,spielberg_FP1,rpm_raw,schema_drift,detection,0.0032,True
583f2efcad67,spielberg_FP1,throttle,sensor_dropout,detection,0.0021,True
cf0ade0ef884,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0023,True
124d71542b5d,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0035,True
938899ccf25a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0024,True
7e6785e717c8,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.018,True
1e8347f9f09b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0026,True
6ec5788fe3b3,spielberg_FP1,aero_load,bit_flip_high,detection,0.0048,True
c267be6c04b1,spielberg_FP1,aero_load,bit_flip_low,detection,0.0051,True
ab72ae709ca9,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0015,True
50d7d73e8d69,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.003,True
20f1289d826b,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0028,True
b4a303cf2c0c,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0037,True
83e432b596e0,spielberg_FP1,tyre_pressure,null_value,detection,0.0042,True
f9be1c2dabee,spielberg_FP1,heart_rate,null_value,detection,0.0021,True
521069043ec0,spielberg_FP1,throttle,bit_flip_high,detection,0.0052,True
0b8a3fd4561d,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0025,True
85c396aaa666,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0024,True
05626e54154f,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0025,True
68b29f67f0d8,spielberg_FP1,g_force_lateral,null_value,detection,0.0025,True
52285e93c135,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0031,True
48349072c738,spielberg_FP2,tyre_pressure,bit_flip_high,detection,0.0044,True
3177887a166e,spielberg_FP2,throttle,bit_flip_low,detection,0.0041,True
7426821674c1,spielberg_FP2,engine_temp,bit_flip_high,detection,0.0045,True
1b89fe470f96,spielberg_FP2,rpm_new,schema_drift,detection,0.0032,True
5eba84912edd,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0025,True
72d80c7ac5f9,spielberg_FP2,engine_temp_v2,schema_drift,detection,0.0032,True
e3f60d9d7f0b,spielberg_FP2,brake_temp_new,schema_drift,detection,0.0032,True
7e4d472a11d1,spielberg_FP2,heart_rate,bit_flip_high,detection,0.0042,True
cab646e09344,spielberg_FP2,rpm,string_in_numeric,detection,0.0021,True
e3b6304b982e,spielberg_FP2,throttle,bit_flip_high,detection,0.0045,True
76e4c3b78b59,spielberg_FP2,engine_temp_v2,schema_drift,detection,0.003,True
6d0685765d31,spielberg_FP2,throttle,sensor_dropout,detection,0.0022,True
9abbaacb8c8e,spielberg_FP2,ecu_canbus,null_value,detection,0.0027,True
e1d04d49ff9a,spielberg_FP2,heart_rate_alt,schema_drift,detection,0.003,True
f0dd8a7bf698,spielberg_FP2,tyre_pressure,null_value,detection,0.0024,True
dd19b6ee5b4b,spielberg_FP2,engine_temp_raw,schema_drift,detection,0.0032,True
9ed283623c7b,spielberg_FP2,brake_temp_raw,schema_drift,detection,0.0027,True
e4cc2eb45fc6,spielberg_FP2,rpm_raw,schema_drift,detection,0.0032,True
591486615229,spielberg_FP2,engine_temp,sensor_dropout,detection,0.0226,True
d4dd4aa1289a,spielberg_FP2,tyre_pressure_canbus,schema_drift,detection,0.0381,True
f18584344e0c,spielberg_FP2,aero_load,null_value,detection,0.0022,True
7247c9669355,spielberg_FP2,throttle,bit_flip_low,detection,0.0051,True
22796df46ad0,spielberg_FP2,engine_temp,sensor_dropout,detection,0.0025,True
9928a3745fe8,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0013,True
89d2b19603a0,spielberg_FP2,brake_temp,bit_flip_high,detection,0.005,True
48ae390b2f65,spielberg_FP2,heart_rate,sensor_dropout,detection,0.0022,True
8a0f3ba11f0a,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0025,True
a21592dcb054,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0015,True
64d7db29d1ac,spielberg_FP2,speed,sensor_dropout,detection,0.0042,True
362aaacd1911,spielberg_FP2,heart_rate,bit_flip_high,detection,0.0042,True
98a68902e7c9,spielberg_FP2,throttle_raw,schema_drift,detection,0.0032,True
3ca4da95f26b,spielberg_FP2,brake_temp,null_value,detection,0.0022,True
d83367be66c6,spielberg_FP2,engine_temp,duplicate_timestamp,detection,0.0032,True
c3624f02001b,spielberg_FP2,speed,sensor_dropout,detection,0.0026,True
b5430155afb9,spielberg_FP2,engine_temp,sensor_dropout,detection,0.0022,True
5b53f904ac41,spielberg_FP2,heart_rate,bit_flip_low,detection,0.0039,True
0128dbf09911,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0036,True
6a4dc3edb5c3,spielberg_FP2,rpm,string_in_numeric,detection,0.0013,True
9e5ec34f8b92,spielberg_FP2,engine_temp,bit_flip_high,detection,0.0045,True
9b28216d2d7c,spielberg_FP2,throttle,string_in_numeric,detection,0.0012,True
2f744bb06b9a,spielberg_FP2,rpm,string_in_numeric,detection,0.001,True
f0f398f5e7d7,spielberg_FP2,throttle,bit_flip_high,detection,0.0043,True
7706e6222b6c,spielberg_FP2,brake_temp,bit_flip_high,detection,0.0035,True
c5d8584a931f,spielberg_FP2,speed,null_value,detection,0.0021,True
e4d60051649c,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0026,True
6afedc2339cb,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0033,True
74207c790cd0,spielberg_FP2,speed,duplicate_timestamp,detection,0.0027,True
141e2db36e91,spielberg_FP2,brake_temp,null_value,detection,0.0021,True
3ea420b7020f,spielberg_FP2,heart_rate_canbus,schema_drift,detection,0.0034,True
657feb5843ed,spielberg_FP2,ecu_canbus,sensor_dropout,detection,0.0022,True
e895cde5f875,spielberg_FP2,speed,duplicate_timestamp,detection,0.0024,True
5687773b5536,spielberg_FP2,ecu_canbus_alt,schema_drift,detection,0.0028,True
013cccb710eb,spielberg_FP2,throttle,sensor_dropout,detection,0.0027,True
30950a199b2b,spielberg_FP2,speed,null_value,detection,0.0024,True
8b0677f8f86b,spielberg_FP2,brake_temp,null_value,detection,0.0025,True
77fb813de1dd,spielberg_FP2,heart_rate_canbus,schema_drift,detection,0.0033,True
b1f80df0a5d4,spielberg_FP2,heart_rate,sensor_dropout,detection,0.0023,True
7f6eb9aa609b,spielberg_FP2,speed,duplicate_timestamp,detection,0.0025,True
354fc6180221,spielberg_FP2,aero_load,null_value,detection,0.004,True
3229b73774a9,spielberg_FP2,tyre_pressure_v2,schema_drift,detection,0.0035,True
f88dd5d66095,spielberg_FP2,engine_temp,duplicate_timestamp,detection,0.0036,True
ced92b9f0630,spielberg_FP2,g_force_lateral_new,schema_drift,detection,0.003,True
17dea03c1b1f,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0024,True
