packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
217f11a805f8,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0135,True
7eb125348627,spielberg_FP1,heart_rate,null_value,detection,0.1524,True
c2b12fffbfe9,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.007,True
b3ac1e73d712,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.016,True
979ac6f882e3,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0057,True
2d686116b839,spielberg_FP1,rpm,string_in_numeric,detection,0.0139,True
400ad8e4dd87,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0056,True
8b3ab113fa56,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0039,True
155803a22abd,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0025,True
c00bd7a6e93c,spielberg_FP1,aero_load,sensor_dropout,detection,0.0047,True
33aa26e33ff2,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0031,True
682ee73be6b3,spielberg_FP1,aero_load_raw,schema_drift,detection,0.18,True
48518deac9ed,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0055,True
df7a7a17c777,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0058,True
23574c6e77b0,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0152,True
495b43aeefc0,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0044,True
872a820f1e4a,spielberg_FP1,throttle,sensor_dropout,detection,0.0057,True
87954db2523e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0115,True
e1c0e364a6a5,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0034,True
f04303aff997,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0064,True
06294288224f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.003,True
3e6c33782360,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0094,True
97e6f8596a7d,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0228,True
70d0230681ff,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0101,True
a8c1ad106f9a,spielberg_FP1,aero_load,null_value,detection,0.004,True
bb1d09d15226,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0534,True
7900482f0c76,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0068,True
f1c8eff0789f,spielberg_FP1,brake_temp,null_value,detection,0.0046,True
c951d0cbc4db,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0025,True
