packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
972c96909f7b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0046,True
2ea8524d0493,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0027,True
3ef06c586d1c,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0064,True
45ae0b5f39e6,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0065,True
7c42a52946bb,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.033,True
c0f458ca8fc8,spielberg_FP1,speed_raw,schema_drift,detection,0.0065,True
a95de3ae3fce,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
ce0b95b3344b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0051,True
0917ab71c3be,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.006,True
0511a17edcf8,spielberg_FP1,rpm,duplicate_timestamp,detection,0.008,True
c957e282dc79,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
a6ec92ced069,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0073,True
a1556f0bcf99,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0025,True
b9ef3b5771fb,spielberg_FP2,speed_v2,schema_drift,detection,0.0059,True
837018026481,spielberg_FP2,aero_load,string_in_numeric,detection,0.0024,True
f4393ceaec80,spielberg_FP2,tyre_pressure_raw,schema_drift,detection,0.006,True
b20d20ba4297,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0059,True
f0ac5dd6dbc4,spielberg_FP2,speed_new,schema_drift,detection,0.0103,True
7b66ff80f722,spielberg_FP3,speed,duplicate_timestamp,detection,0.0079,True
bc062cc75386,spielberg_FP3,aero_load,duplicate_timestamp,detection,0.0055,True
d94e5b6fa075,spielberg_FP3,heart_rate_v2,schema_drift,detection,0.011,True
1407f4c8e148,spielberg_FP3,heart_rate_v2,schema_drift,detection,0.0053,True
6f7ca8021610,spielberg_FP3,tyre_pressure,string_in_numeric,detection,0.0033,True
4e3a912ed4c5,spielberg_FP3,speed_canbus,schema_drift,detection,0.0068,True
d5a0b9f26eb9,spielberg_FP3,rpm,string_in_numeric,detection,0.0029,True
7199aba75b9f,spielberg_FP3,speed,duplicate_timestamp,detection,0.0048,True
9f53dfcd8d8c,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0052,True
9b73953707d1,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0048,True
5cbeddaf04d7,spielberg_QUALI,tyre_pressure,string_in_numeric,detection,0.0025,True
8d0a4adf7f0f,spielberg_QUALI,rpm_new,schema_drift,detection,0.0062,True
3d76ffae975d,spielberg_QUALI,brake_temp,string_in_numeric,detection,0.0027,True
dee8aeccf4bd,spielberg_QUALI,brake_temp_alt,schema_drift,detection,0.006,True
776381cb6c77,spielberg_QUALI,throttle,duplicate_timestamp,detection,0.0057,True
6c9984f22f7d,spielberg_QUALI,ecu_canbus,string_in_numeric,detection,0.0032,True
0155a0a9f00e,spielberg_QUALI,g_force_lateral_new,schema_drift,detection,0.0058,True
f8718fef9c13,spielberg_RACE,ecu_canbus_new,schema_drift,detection,0.0064,True
903f2cde1e7b,spielberg_RACE,ecu_canbus,duplicate_timestamp,detection,0.0052,True
