packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
7d89c369a99b,spielberg_FP1,speed,string_in_numeric,detection,0.0067,True
0adeeb317d79,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
5efe95ad2bb9,spielberg_FP2,rpm,string_in_numeric,detection,0.0027,True
952baa499778,spielberg_FP2,speed,duplicate_timestamp,detection,0.0049,True
9c72b846cf04,spielberg_FP3,heart_rate,duplicate_timestamp,detection,0.0053,True
2a233ebea75a,spielberg_QUALI,engine_temp_canbus,schema_drift,detection,0.0087,True
c9e0f399ef9c,spielberg_RACE,tyre_pressure,string_in_numeric,detection,0.0026,True
f4d11bd7043b,silverstone_FP1,speed_raw,schema_drift,detection,0.0062,True
33a817cd717e,silverstone_FP3,aero_load,string_in_numeric,detection,0.0044,True
de6bd4492610,silverstone_FP3,rpm_alt,schema_drift,detection,0.0062,True
ef054e4c6c87,silverstone_QUALI,engine_temp_raw,schema_drift,detection,0.006,True
59748b90d1f2,silverstone_QUALI,rpm_new,schema_drift,detection,0.0064,True
54714db7ccd1,silverstone_QUALI,aero_load,duplicate_timestamp,detection,0.0052,True
a7edac0a3813,silverstone_RACE,engine_temp,duplicate_timestamp,detection,0.0051,True
035be3e6301b,silverstone_RACE,throttle_alt,schema_drift,detection,0.0066,True
3f637779259c,silverstone_RACE,tyre_pressure,duplicate_timestamp,detection,0.0202,True
d4303817c429,silverstone_RACE,g_force_lateral_new,schema_drift,detection,0.017,True
827fef6779be,budapest_FP1,tyre_pressure_canbus,schema_drift,detection,0.0078,True
1fe1aaaedaa8,budapest_FP2,aero_load_v2,schema_drift,detection,0.006,True
b303511225bf,budapest_FP2,g_force_lateral_raw,schema_drift,detection,0.0059,True
2c20d5f164bf,budapest_FP3,throttle_alt,schema_drift,detection,0.0098,True
ca1afa2bce9a,budapest_FP3,engine_temp,string_in_numeric,detection,0.004,True
56a8f5590912,budapest_FP3,rpm_raw,schema_drift,detection,0.0065,True
f88757ad3f4b,budapest_QUALI,rpm_new,schema_drift,detection,0.0063,True
f62cb678078d,budapest_QUALI,rpm_canbus,schema_drift,detection,0.0065,True
6009f03bd487,budapest_QUALI,brake_temp,duplicate_timestamp,detection,0.005,True
0adeeb317d79,,,dlq_repair,repair,0.0315,False
a7edac0a3813,,,dlq_repair,repair,0.4843,True
ca1afa2bce9a,,,dlq_repair,repair,0.0134,False
6009f03bd487,,,dlq_repair,repair,0.0775,False
7d89c369a99b,,,dlq_repair,repair,0.0105,False
5efe95ad2bb9,,,dlq_repair,repair,0.0086,False
952baa499778,,,dlq_repair,repair,0.0214,True
9c72b846cf04,,,dlq_repair,repair,0.0284,True
c9e0f399ef9c,,,dlq_repair,repair,0.0074,False
33a817cd717e,,,dlq_repair,repair,0.0099,False
54714db7ccd1,,,dlq_repair,repair,0.0188,True
3f637779259c,,,dlq_repair,repair,0.0158,True
