packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
8d6284829ff7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0047,True
dfd6bff6f272,spielberg_FP1,throttle_alt,schema_drift,detection,0.006,True
46fc1c40bf43,spielberg_FP1,speed,string_in_numeric,detection,0.0026,True
7148e908c84c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0054,True
07976cdfafa4,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0059,True
aea5956d0e4d,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0043,True
d9fc052e0f25,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0048,True
2a6de9a425db,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0056,True
28f49cd36e82,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0045,True
de64932e5c85,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0054,True
646da09deb05,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0022,True
76ac1e1cfc9b,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0056,True
e88de17d886c,spielberg_FP1,speed,string_in_numeric,detection,0.0023,True
b7e65fe6cbdf,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.006,True
28d7474b988d,spielberg_FP1,speed_canbus,schema_drift,detection,0.0061,True
6048ae348efc,spielberg_FP1,rpm,string_in_numeric,detection,0.0025,True
46322f8bfa98,spielberg_FP1,aero_load,string_in_numeric,detection,0.0023,True
b0832218e244,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0045,True
f2d3907e3457,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
61047cae9f78,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0065,True
2319092cf7d7,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
c59c8d86d88d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
dd97d8b7798b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
c2a9478905c4,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0029,True
f633505e18c6,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0058,True
7fc549cba7e0,spielberg_FP1,speed_new,schema_drift,detection,0.0055,True
bc5fb704b9be,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0022,True
78a17a199aba,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0057,True
166b7542bee0,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
7455c0275272,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
410ee7093e69,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0054,True
ce97bd1755bc,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0055,True
2728dbd33f4a,spielberg_FP1,rpm,string_in_numeric,detection,0.0024,True
63575b13f153,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.006,True
4e39ec1eac74,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
d876fc122cce,spielberg_FP1,speed,duplicate_timestamp,detection,0.0049,True
7317d5832825,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0057,True
0902fccd3e36,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0052,True
f2a57be840e5,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.006,True
d70c32ccc61c,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0059,True
87628151c246,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0055,True
7ec8f24b09b0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0052,True
ae030f840cd3,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0059,True
605f4b0838a4,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0062,True
a82e66c622e0,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0047,True
b846f672c434,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0024,True
a1d677d41e6d,spielberg_FP1,speed_canbus,schema_drift,detection,0.007,True
ba74b8f315c2,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0054,True
729e31249c17,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0056,True
7b8bf7319c9e,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0046,True
ff9dc52a1b50,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0043,True
40476a22bf7f,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0056,True
eb86f09aee36,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0027,True
d81feddcc956,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
cf675fe9f932,spielberg_FP1,speed_canbus,schema_drift,detection,0.0062,True
77167bf65c6b,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.006,True
9151e1d85f94,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0049,True
13cf3304f6c7,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0055,True
54f9a7d8f393,spielberg_FP1,rpm,string_in_numeric,detection,0.0026,True
43870f0d4266,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0056,True
74efdec330ac,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0047,True
ff2aa86b3509,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0056,True
314e6bf64873,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0057,True
2c76d6384b30,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0051,True
81a3e7b6360e,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0022,True
f01d2e94f052,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
a265086e6bbd,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0057,True
8750e42761c6,spielberg_FP1,throttle,string_in_numeric,detection,0.0025,True
bde73ae57350,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0046,True
