packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
80859429bd35,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0409,True
9072d9257cea,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0088,True
f8a2c501a255,spielberg_FP1,aero_load_corrupt,schema_drift,detection,0.0065,True
4b3dab26ea90,spielberg_FP1,g_force_lateral_shadow,schema_drift,detection,0.0056,True
3b0c321be390,spielberg_FP1,heart_rate_broken,schema_drift,detection,0.0052,True
c704e67bbf46,spielberg_FP1,engine_temp_shadow,schema_drift,detection,0.008,True
7a31d632d3a2,spielberg_FP1,aero_load,bit_flip_low,detection,0.0071,True
ec274cf5a7fa,spielberg_FP1,rpm,sensor_dropout,detection,0.0043,True
0a6f7ec2c10a,spielberg_FP1,engine_temp_shadow,schema_drift,detection,0.0048,True
79743e73b327,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0065,True
584338856440,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0071,True
9aa70dcfc393,spielberg_FP1,aero_load,string_in_numeric,detection,0.0025,True
c451f9834aaa,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0033,True
4dc3dc0a0b6b,spielberg_FP1,rpm,null_value,detection,0.0043,True
5073536fdf0b,spielberg_FP1,ecu_canbus_shadow,schema_drift,detection,0.0056,True
c8c206893f24,spielberg_FP1,speed,string_in_numeric,detection,0.0025,True
bd69ceefb3a3,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0098,True
f3a203d9f60b,spielberg_FP1,brake_temp,string_in_numeric,detection,0.004,True
f1b3a39a51aa,spielberg_FP1,aero_load,bit_flip_low,detection,0.0096,True
09b9cf6fd499,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0059,True
1e271dd38b68,spielberg_FP1,aero_load,bit_flip_high,detection,0.0074,True
8d5165374fad,spielberg_FP1,ecu_canbus_v9,schema_drift,detection,0.0052,True
e322d860f762,spielberg_FP1,throttle,bit_flip_high,detection,0.0073,True
790ff3f6973d,spielberg_FP1,speed,string_in_numeric,detection,0.0028,True
f168165ff7c9,spielberg_FP1,rpm,sensor_dropout,detection,0.0051,True
784a12881d6b,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0081,True
433a9596ac1a,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0066,True
c810ae41de01,spielberg_FP1,heart_rate_shadow,schema_drift,detection,0.0061,True
550be2cbbac9,spielberg_FP1,engine_temp_legacy,schema_drift,detection,0.0057,True
eb009c5e18eb,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
8c9843782b2e,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0044,True
27138185aa05,spielberg_FP1,speed,null_value,detection,0.004,True
9958d9226ce9,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0038,True
f4aa39f344c9,spielberg_FP1,speed,bit_flip_high,detection,0.0133,True
4a34df48cfa1,spielberg_FP1,brake_temp,string_in_numeric,detection,0.003,True
5b892925a90d,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.007,True
f6910a0be3ae,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0026,True
a6eb95cefa2b,spielberg_FP1,throttle_legacy,schema_drift,detection,0.0063,True
12b4d3a36f9a,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
b748919c952d,spielberg_FP1,heart_rate_broken,schema_drift,detection,0.0062,True
15aad3c60139,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
2d7c9e3d0be6,spielberg_FP1,aero_load,bit_flip_high,detection,0.01,True
f283a9b32f4d,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0065,True
25ba26fa3928,spielberg_FP1,throttle,bit_flip_high,detection,0.0065,True
455ca2d3f70d,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0025,True
adfeaa3532d6,spielberg_FP1,speed,bit_flip_high,detection,0.0075,True
f8413ae381cc,spielberg_FP1,aero_load,sensor_dropout,detection,0.004,True
a90fc6991abc,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0057,True
7ec9149c30a4,spielberg_FP1,speed,bit_flip_high,detection,0.0062,True
8b91f370b113,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0062,True
74af598768c9,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0052,True
cfdfcdfa01c4,spielberg_FP1,throttle_v9,schema_drift,detection,0.0056,True
49fa28d22dec,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0028,True
2c6e6d16af75,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0098,True
4608a007fb94,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
0322a048edb2,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
36a0786b7799,spielberg_FP1,aero_load_legacy,schema_drift,detection,0.0061,True
ea6a484b8d31,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0034,True
02ff2ca23a7c,spielberg_FP1,aero_load,string_in_numeric,detection,0.0023,True
71022236c236,spielberg_FP1,throttle,bit_flip_low,detection,0.0085,True
b1367ae47605,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0051,True
49595e95ba7b,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0059,True
a9904e9e9779,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
54d15918bac6,spielberg_FP1,rpm,string_in_numeric,detection,0.002,True
f8b869040966,spielberg_FP1,heart_rate_broken,schema_drift,detection,0.0068,True
ce4b6631b11e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
784702cc4f6e,spielberg_FP1,rpm_v9,schema_drift,detection,0.0068,True
2426e0cf40aa,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0084,True
fefef6982610,spielberg_FP1,g_force_lateral_shadow,schema_drift,detection,0.0058,True
e0c8f3101c2e,spielberg_FP1,rpm,bit_flip_low,detection,0.0082,True
da91ca56fd3e,spielberg_FP1,engine_temp,bit_flip_high,detection,0.007,True
0747e27efa7c,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0022,True
85c714fd0be9,spielberg_FP1,rpm,string_in_numeric,detection,0.0022,True
510518a80036,spielberg_FP1,aero_load,string_in_numeric,detection,0.0024,True
957bacd04e9c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
99aa32b4ca28,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0076,True
c64b5f443ecc,spielberg_FP1,heart_rate,bit_flip_high,detection,0.007,True
fdcb64921c63,spielberg_FP1,engine_temp_broken,schema_drift,detection,0.0056,True
0b9cbf9738ea,spielberg_FP1,aero_load_v9,schema_drift,detection,0.0055,True
1132339c9215,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
f00acc1ebcab,spielberg_FP1,rpm,bit_flip_low,detection,0.0066,True
79c759649b07,spielberg_FP1,speed,string_in_numeric,detection,0.0035,True
ffd92c555adf,spielberg_FP1,throttle_corrupt,schema_drift,detection,0.0065,True
