phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status
fast,openf1,schema_alter,levenshtein,1,109,drs,DRS,key_case_change,SUCCESS
fast,openf1,schema_alter,levenshtein,1,109,rpm,DRS,key_case_change,SUCCESS
fast,openf1,schema_alter,levenshtein,1,109,lap_number,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,throttle,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,lap_time_ms,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,n_gear,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,tire_compound,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,brake,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,driver_number,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,pit_stop_count,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,position,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,team,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,session_time,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,fuel_remaining_kg,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,driver,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,speed_kmh,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,tire_age_laps,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,ers_deployment_kj,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,109,team_color,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,drs,DRS,key_case_change,SUCCESS
fast,openf1,schema_alter,levenshtein,1,163,rpm,DRS,key_case_change,SUCCESS
fast,openf1,schema_alter,levenshtein,1,163,lap_number,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,throttle,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,lap_time_ms,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,n_gear,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,tire_compound,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,brake,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,driver_number,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,pit_stop_count,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,position,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,team,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,session_time,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,fuel_remaining_kg,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,driver,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,speed_kmh,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,tire_age_laps,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,ers_deployment_kj,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,163,team_color,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,drs,DRS,key_case_change,SUCCESS
fast,openf1,schema_alter,levenshtein,1,256,rpm,DRS,key_case_change,SUCCESS
fast,openf1,schema_alter,levenshtein,1,256,lap_number,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,throttle,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,lap_time_ms,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,n_gear,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,tire_compound,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,brake,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,driver_number,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,pit_stop_count,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,position,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,256,team,,key_case_change,FAILURE
