phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
fast,openf1,schema_alter,levenshtein,1,0.4736842105263158,0.0,0.4736842105263158,0.4736842105263158,0.4736842105263158,0.0,0.4736842105263158,0.4736842105263158,0.17763860523700714,0.0,27808.173601190952,0.0,27808.173601190952,27808.173601190952,17.980325035750866,0.0,0.18991995602846146,0.0,0.8265790529549122,0.0,496.0,4.0,16
fast,openf1,json_manip,levenshtein,1,0.9464912280701756,0.0,0.9464912280701756,0.9464912280701756,0.9464912280701756,0.0,0.9464912280701756,0.9464912280701756,6.13591851045688,0.0,4229.900979539071,0.0,4229.900979539071,4229.900979539071,118.20607678964734,0.0,0.18028076738119125,0.0,92.6388050429523,0.0,485.0,15.0,16
fast,openf1,json_manip,regex,1,0.8259649122807017,0.0,0.8259649122807017,0.8259649122807017,0.8259649122807017,0.0,0.8259649122807017,0.8259649122807017,0.17978198205431303,0.0,6940.60377074126,0.0,6940.60377074126,6940.60377074126,72.03984213992953,0.0,0.18338672816753387,0.0,3.342445008456707,0.0,485.0,15.0,16
fast,openf1,schema_alter,regex,1,0.810526315789474,0.0,0.810526315789474,0.810526315789474,0.810526315789474,0.0,0.810526315789474,0.810526315789474,0.17187453340739012,0.0,35663.8009414983,0.0,35663.8009414983,35663.8009414983,14.019818045198917,0.0,0.18199393525719643,0.0,0.8556949906051159,0.0,496.0,4.0,16
fast,finnhub,json_manip,levenshtein,1,0.9619883040935674,0.0,0.9619883040935674,0.9619883040935674,0.9619883040935674,0.0,0.9619883040935674,0.9619883040935674,0.18816575821903017,0.0,14719.530914759702,0.0,14719.530914759702,14719.530914759702,33.96847378462553,0.0,0.18943892791867256,0.0,14.294852036982775,0.0,482.0,18.0,16
fast,finnhub,json_manip,regex,1,0.8257309941520466,0.0,0.8257309941520466,0.8257309941520466,0.8257309941520466,0.0,0.8257309941520466,0.8257309941520466,0.17066902687980068,0.0,14699.880357464384,0.0,14699.880357464384,14699.880357464384,34.01388227939606,0.0,0.18904823809862137,0.0,19.075597170740366,0.0,482.0,18.0,16
fast,finnhub,schema_alter,levenshtein,1,0.8894736842105264,0.0,0.8894736842105264,0.8894736842105264,0.8894736842105264,0.0,0.8894736842105264,0.8894736842105264,1.2127172201871872,0.0,18212.65833408517,0.0,18212.65833408517,18212.65833408517,27.453433256596327,0.0,0.18686382099986076,0.0,12.538393028080463,0.0,490.0,10.0,16
fast,finnhub,schema_alter,regex,1,0.8315789473684212,0.0,0.8315789473684212,0.8315789473684212,0.8315789473684212,0.0,0.8315789473684212,0.8315789473684212,0.16082418151199818,0.0,29734.528221390625,0.0,29734.528221390625,29734.528221390625,16.81546773761511,0.0,0.18796604126691818,0.0,2.034801058471203,0.0,490.0,10.0,16
fast,openf1,qwen,regex,1,0.8181052631578949,0.0,0.8181052631578949,0.8181052631578949,0.8181052631578948,0.0,0.8181052631578948,0.8181052631578948,0.15682967379689217,0.0,0.5568602992103915,0.0,0.5568602992103915,0.5568602992103915,897891.2677182816,0.0,0.17659319564700127,0.0,5.270466674119234,0.0,475.0,25.0,16
fast,spacex,json_manip,levenshtein,1,0.9798136645962731,0.0,0.9798136645962731,0.9798136645962731,0.9798136645962731,0.0,0.9798136645962731,0.9798136645962731,0.34467246302444005,0.0,21020.066088961357,0.0,21020.066088961357,21020.066088961357,23.78679485991597,0.0,0.222823116928339,0.0,9.214854799211025,0.0,477.0,23.0,16
