phase,api,chaos_method,reconciler,n_iterations,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,hosseini_mean,hosseini_std,hosseini_min,hosseini_max,latency_mean_ms,latency_std_ms,throughput_mean_pps,throughput_std_pps,throughput_min_pps,throughput_max_pps,total_time_mean_ms,total_time_std_ms,fast_path_latency_mean_ms,fast_path_latency_std_ms,gpu_latency_mean_ms,gpu_latency_std_ms,packets_clean_mean,packets_drifted_mean,batch_size
bert,openf1,json_manip,bert,1,0.9532667398452759,0.0,0.9532667398452759,0.9532667398452759,0.9532667398452759,0.0,0.9532667398452759,0.9532667398452759,6.240255555804877,0.0,1997.230943161502,0.0,1997.230943161502,1997.230943161502,1251.7330599948764,0.0,79.90421797148883,0.0,1048.6879998352379,0.0,2338.0,162.0,64
bert,finnhub,schema_alter,bert,1,0.8504678606987,0.0,0.8504678606987,0.8504678606987,0.8504678010940552,0.0,0.8504678010940552,0.8504678010940552,9.560627908417105,0.0,1948.991291463416,0.0,1948.991291463416,1948.991291463416,1282.714813016355,0.0,60.92458497732878,0.0,941.9747220817953,0.0,2403.0,97.0,64
bert,openf1,qwen,bert,1,0.906239926815033,0.0,0.906239926815033,0.906239926815033,0.9062399864196777,0.0,0.9062399864196777,0.9062399864196777,6.344810766285831,0.0,1893.3162905415852,0.0,1893.3162905415852,1893.3162905415852,1320.4344210680574,0.0,72.46138993650675,0.0,1168.4581730514765,0.0,2342.0,158.0,64
bert,finnhub,qwen,bert,1,0.7672815322875977,0.0,0.7672815322875977,0.7672815322875977,0.7672815322875977,0.0,0.7672815322875977,0.7672815322875977,7.772336985026291,0.0,2006.954344236837,0.0,2006.954344236837,2006.954344236837,1245.6685958895832,0.0,98.14538201317191,0.0,1070.565252797678,0.0,2366.0,134.0,64
bert,openf1,schema_alter,bert,1,0.9552302360534668,0.0,0.9552302360534668,0.9552302360534668,0.9552302360534668,0.0,0.9552302360534668,0.9552302360534668,12.813979744859953,0.0,1575.937857634255,0.0,1575.937857634255,1575.937857634255,1586.3569669891149,0.0,79.35391599312425,0.0,1415.1417701505125,0.0,2391.0,109.0,64
bert,finnhub,json_manip,bert,1,0.8100257515907288,0.0,0.8100257515907288,0.8100257515907288,0.8100257515907288,0.0,0.8100257515907288,0.8100257515907288,8.285224969296841,0.0,1653.7300984521253,0.0,1653.7300984521253,1653.7300984521253,1511.7339899297804,0.0,21.255190949887037,0.0,1461.2429030239582,0.0,2334.0,166.0,64
bert,spacex,qwen,bert,1,0.8717435002326965,0.0,0.8717435002326965,0.8717435002326965,0.8717434406280518,0.0,0.8717434406280518,0.8717434406280518,4.275801306060202,0.0,3460.2089877473536,0.0,3460.2089877473536,3460.2089877473536,722.4997128359973,0.0,20.00079001300037,0.0,678.6016589030623,0.0,2363.0,137.0,64
bert,spacex,json_manip,bert,1,0.9398552179336548,0.0,0.9398552179336548,0.9398552179336548,0.9398552775382996,0.0,0.9398552775382996,0.9398552775382996,3.2037424338657643,0.0,3422.932432467486,0.0,3422.932432467486,3422.932432467486,730.3679080214351,0.0,19.616581965237856,0.0,687.9343141335994,0.0,2316.0,184.0,64
bert,spacex,schema_alter,bert,1,0.8402777910232544,0.0,0.8402777910232544,0.8402777910232544,0.8402777910232544,0.0,0.8402777910232544,0.8402777910232544,8.438822664579172,0.0,3412.5953006713353,0.0,3412.5953006713353,3412.5953006713353,732.5802738778293,0.0,19.912518095225096,0.0,691.0758691374213,0.0,2428.0,72.0,64
bert,openweather,qwen,bert,1,0.8486913442611694,0.0,0.8486913442611694,0.8486913442611694,0.8486913442611694,0.0,0.8486913442611694,0.8486913442611694,3.80657599133518,0.0,5390.50832217862,0.0,5390.50832217862,5390.50832217862,463.77815422602,0.0,20.353285828605294,0.0,418.6483919620514,0.0,2393.0,107.0,64
