packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
ea6fe7f0e535,spielberg_FP1,rpm,sensor_dropout,detection,0.0033,True
ef9872cf417d,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0036,False
47539a4a9a8a,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0035,True
728616960f4e,spielberg_FP1,aero_load,bit_flip_low,detection,0.0057,True
41fba88841d6,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0056,True
87e1dca63a1e,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0043,True
bcce4df37315,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0061,True
aac97eb4ad07,spielberg_FP1,aero_load,bit_flip_high,detection,0.0051,True
477206a1c28c,spielberg_FP1,heart_rate,sensor_dropout,detection,0.003,True
64143398e4bc,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0043,True
3ddb1fdb29e7,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0032,True
f313743135bc,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0056,True
7ea4f8c0fe60,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0056,True
b9c787e38bc5,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0034,True
51f6870126f3,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0019,True
fde9554e5b2d,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0061,True
62eadc52d48f,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0032,True
6467a39e15e3,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0033,True
7f586b534abd,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.004,True
311b29518562,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0063,True
0b3c72883fcb,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0034,True
50dcbeb4b8f9,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0036,True
3c0f886dcd57,spielberg_FP1,speed,duplicate_timestamp,detection,0.0037,True
25b5d0518bec,spielberg_FP1,tyre_pressure,null_value,detection,0.0056,True
4cd97a838c77,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0053,True
b9c31215a23c,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0057,True
015e28fd547d,spielberg_FP1,aero_load,bit_flip_low,detection,0.0063,True
64375f755d39,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0052,True
f7189e44db69,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.002,True
9ce9ea03b92e,spielberg_FP1,rpm,bit_flip_high,detection,0.0061,True
8c79b6e654c9,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0044,True
18080ed87625,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0038,True
5016ed6710a6,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
ea6e36a6831f,spielberg_FP1,speed,null_value,detection,0.0033,True
c22c53837f6a,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0037,True
cceb8cd870b2,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0029,True
