phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status
fast,openf1,schema_alter,levenshtein,1,459,rpm,RPM,key_case_change,SUCCESS
fast,openf1,schema_alter,levenshtein,1,459,drs,RPM,key_case_change,SUCCESS
fast,openf1,schema_alter,levenshtein,1,459,driver_number,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,pit_stop_count,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,lap_number,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,driver,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,ers_deployment_kj,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,tire_compound,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,team,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,speed_kmh,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,team_color,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,tire_age_laps,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,throttle,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,fuel_remaining_kg,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,n_gear,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,brake,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,position,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,session_time,,key_case_change,FAILURE
fast,openf1,schema_alter,levenshtein,1,459,lap_time_ms,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,low,LOW,key_case_change,SUCCESS
fast,finnhub,schema_alter,levenshtein,1,134,industry,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,pe_ratio,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,change,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,beta,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,sector,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,dividend_yield,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,52w_low,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,current_price,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,high,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,open,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,timestamp,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,symbol,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,previous_close,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,volume,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,percent_change,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,52w_high,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,market_cap,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,134,avg_volume,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,low,LOW,key_case_change,SUCCESS
fast,finnhub,schema_alter,levenshtein,1,331,industry,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,pe_ratio,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,change,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,beta,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,sector,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,dividend_yield,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,52w_low,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,current_price,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,high,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,open,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,timestamp,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,symbol,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,previous_close,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,volume,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,percent_change,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,52w_high,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,market_cap,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,331,avg_volume,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,low,LOW,key_case_change,SUCCESS
fast,finnhub,schema_alter,levenshtein,1,367,industry,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,pe_ratio,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,change,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,beta,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,sector,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,dividend_yield,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,52w_low,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,current_price,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,high,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,open,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,timestamp,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,symbol,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,previous_close,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,volume,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,percent_change,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,52w_high,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,market_cap,,key_case_change,FAILURE
fast,finnhub,schema_alter,levenshtein,1,367,avg_volume,,key_case_change,FAILURE
fast,finnhub,schema_alter,regex,1,134,industry,INDUSTRY,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,pe_ratio,PE_RATIO,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,change,PERCENT_CHANGE,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,beta,BETA,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,sector,SECTOR,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,dividend_yield,DIVIDEND_YIELD,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,52w_low,LOW,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,current_price,CURRENT_PRICE,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,high,HIGH,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,open,OPEN,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,timestamp,TIMESTAMP,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,symbol,SYMBOL,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,previous_close,PREVIOUS_CLOSE,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,volume,VOLUME,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,low,LOW,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,percent_change,PERCENT_CHANGE,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,52w_high,HIGH,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,market_cap,MARKET_CAP,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,134,avg_volume,VOLUME,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,331,industry,INDUSTRY,key_case_change,SUCCESS
fast,finnhub,schema_alter,regex,1,331,pe_ratio,PE_RATIO,key_case_change,SUCCESS
