phase,api,chaos_method,reconciler,iteration,seed,accuracy,hosseini_resilience,avg_latency_ms,min_latency_ms,max_latency_ms,throughput_pps,total_time_ms,packets_processed,packets_clean,packets_drifted,fast_path_latency_ms,gpu_latency_ms,batch_size,drift_event_count
fast,finnhub,schema_alter,regex,1,1120218716,0.8242914979757087,0.8242914979757087,0.11490552704064892,0.10176998330280185,0.1556889619678259,2037.1961620747759,245.43537304271013,500,487,13,0.29584800358861685,1.9873289857059717,32,247
fast,spacex,qwen,levenshtein,1,1686196956,0.9642857142857143,0.9642857142857144,0.4983229166828096,0.313678989186883,4.418776952661574,1709.087512066859,292.553772975225,500,475,25,0.2796389744617045,13.893096009269357,32,700
fast,openf1,json_manip,levenshtein,1,1511634712,0.0,0.0,0.0,0.0,0.0,72015.16552007003,6.942982028704137,500,500,0,0.208197976462543,0.0016299891285598278,32,0
fast,openf1,qwen,levenshtein,1,2130341213,0.9489473684210527,0.9489473684210528,0.14797523152083158,0.14044001000002027,0.2030489849857986,21655.646019449305,23.088667017873377,500,475,25,0.2565580070950091,9.736098989378661,32,475
fast,finnhub,qwen,regex,1,1635721884,0.8315789473684212,0.8315789473684212,0.27994595913459425,0.09914999827742577,3.959788999054581,11500.675013763059,43.475708982441574,500,477,23,0.33821898978203535,7.335561036597937,32,437
fast,openf1,json_manip,regex,1,1511634712,0.8271468144044324,0.8271468144044325,0.38216010924722804,0.09485898772254586,5.265063024125993,25393.77491552182,19.689865002874285,500,481,19,0.22938899928703904,7.97938700998202,32,361
fast,finnhub,schema_alter,levenshtein,1,1120218716,0.0,0.0,0.14870401355437934,0.13620901154354215,0.16119901556521654,40078.38380031896,12.475552968680859,500,498,2,0.26433897437527776,0.34000800224021077,32,38
fast,spacex,qwen,regex,1,1686196956,0.8285714285714288,0.8285714285714288,0.592031676787883,0.16345898620784283,10.445124004036188,13165.080795191157,37.97925799153745,500,475,25,0.3674280014820397,16.26219297759235,32,700
fast,openf1,schema_alter,levenshtein,1,1309020556,0.4605263157894737,0.4605263157894737,0.146951868373435,0.1377189764752984,0.16880896873772144,38756.25892179032,12.901142006739974,500,492,8,0.2668389934115112,1.375072984956205,32,152
fast,openf1,qwen,regex,1,2130341213,0.8315789473684212,0.8315789473684213,0.336516157258302,0.1082399976439774,5.22365199867636,23956.159481579183,20.871458982583135,500,475,25,0.24723901879042387,9.412309969775379,32,475
fast,openf1,schema_alter,regex,1,1309020556,0.8315789473684213,0.8315789473684213,0.11906225699931383,0.09862903971225023,0.15023001469671726,14919.119583849197,33.51404197746888,500,496,4,0.29445800464600325,0.6316369981504977,32,76
fast,spacex,json_manip,levenshtein,1,1636368858,0.0,0.0,0.0,0.0,0.0,23474.55641638967,21.299657004419714,500,500,0,0.32438902417197824,0.0018299906514585018,32,0
fast,finnhub,json_manip,levenshtein,1,1750709541,0.0,0.0,0.0,0.0,0.0,18362.49514365488,27.22941496176645,500,500,0,0.25111896684393287,0.002129992935806513,32,0
fast,finnhub,qwen,levenshtein,1,1635721884,0.9473684210526315,0.9473684210526314,1.4658043813972694,0.1351999817416072,30.537047947291285,10551.878428315591,47.38492803880945,500,477,23,0.26930804597213864,35.017864021938294,32,437
fast,finnhub,json_manip,regex,1,1750709541,0.8289473684210528,0.8289473684210527,0.43304706559865735,0.10390899842604995,5.211392999626696,26096.131437183503,19.15992802241817,500,484,16,0.28458895394578576,7.537438999861479,32,304
fast,spacex,schema_alter,levenshtein,1,807111548,0.0,0.0,0.3059283286953966,0.291708973236382,0.32273802207782865,8629.933800107603,57.93787201400846,500,497,3,0.3619579947553575,0.9736850042827427,32,84
fast,openweather,json_manip,levenshtein,1,1145493678,0.0,0.0,0.0,0.0,0.0,26102.33012990782,19.155377987772226,500,500,0,0.3354880027472973,0.0020400038920342922,32,0
fast,openweather,schema_alter,levenshtein,1,1325520551,0.0,0.0,0.0,0.0,0.0,26671.147387307887,18.746850022580475,500,500,0,0.34445797791704535,0.0017599668353796005,32,0
fast,openweather,json_manip,regex,1,1145493678,0.8431818181818184,0.8431818181818184,0.3890252317598259,0.14339899644255638,5.279731994960457,17766.666098914982,28.142590017523617,500,478,22,0.3898079739883542,9.714947955217212,32,528
fast,spacex,json_manip,regex,1,1636368858,0.8262857142857146,0.8262857142857146,0.3771616844460368,0.1647589961066842,5.243911989964545,18383.457296348104,27.198366005904973,500,475,25,0.2722690114751458,11.011452006641775,32,700
fast,openweather,qwen,levenshtein,1,2125630421,0.9690724206349207,0.9690724206349208,1.092099827170993,0.2333979937247932,20.68290999159217,4744.617678806546,105.38256901782006,500,476,24,0.2982989535667002,27.345794020220637,32,576
fast,openweather,schema_alter,regex,1,1325520551,0.827777777777778,0.827777777777778,0.17594231758266687,0.16465899534523487,0.19745901226997375,21216.13970816318,23.56696396600455,500,497,3,0.2708279644139111,0.6904759793542325,32,72
fast,openweather,qwen,regex,1,2125630421,0.8500000000000002,0.8500000000000002,0.3719508749782108,0.15047896886244416,5.2612320287153125,23563.025365172754,21.21968602295965,500,476,24,0.27618894819170237,10.027836018707603,32,576
fast,spacex,schema_alter,regex,1,807111548,0.8040816326530615,0.8040816326530615,0.2039575733111373,0.18321897368878126,0.23200904252007604,15039.595954448845,33.24557398445904,500,493,7,0.2737180329859257,1.8161509651690722,32,196
bert,openf1,json_manip,bert,1,1686546032,0.0,0.0,0.0,0.0,0.0,40747.62099441195,12.270655017346144,500,500,0,0.228119024541229,0.001920037902891636,32,0
bert,spacex,json_manip,bert,1,291081101,0.0,0.0,0.0,0.0,0.0,8154.24252008391,61.31777400150895,500,500,0,0.507237040437758,0.002309971023350954,32,0
bert,finnhub,json_manip,bert,1,1467749820,0.0,0.0,0.0,0.0,0.0,45015.88190748617,11.107191035989672,500,500,0,0.26184902526438236,0.0021900050342082977,32,0
bert,openweather,json_manip,bert,1,621174621,0.0,0.0,0.0,0.0,0.0,29019.996453452404,17.229499004315585,500,500,0,0.42535801185294986,0.0019400031305849552,32,0
bert,openf1,qwen,bert,1,299053847,0.9622508841985757,0.9622508841985757,16.723073258500307,16.723073258500307,16.723073258500307,925.1802581249957,540.4352239565924,500,469,31,0.23845903342589736,527.9242209508084,32,589
bert,openf1,schema_alter,bert,1,950004577,1.0000000407821255,1.0,169.35258199616024,169.35258199616024,169.35258199616024,958.0307571781752,521.903912012931,500,497,3,0.22711895871907473,511.0739000374451,32,57
bert,finnhub,qwen,bert,1,1030783141,0.9672338688059857,0.9672338688059857,15.370355406048475,15.370355406048475,15.370355406048475,973.2921907437652,513.7203449849039,500,468,32,0.2689689863473177,500.92710298486054,32,608
bert,finnhub,schema_alter,bert,1,1254572599,1.0000000188225193,1.0,121.61493775784038,121.61493775784038,121.61493775784038,1005.3847139262123,497.3220629617572,500,496,4,0.4458869807422161,489.5992639940232,32,76
bert,spacex,qwen,bert,1,1308520306,0.9826531487384011,0.9826531487384011,28.72349774770555,28.72349774770555,28.72349774770555,1013.1099199249808,493.5298630152829,500,484,16,0.3658089553937316,467.3285519820638,32,448
bert,spacex,schema_alter,bert,1,1374122351,1.0000000447034836,1.0,109.73936325171962,109.73936325171962,109.73936325171962,1082.7461644197108,461.7887519998476,500,496,4,0.32645900500938296,440.6935640145093,32,112
