packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
b0df623652eb,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0082,True
0e28fdf93bfe,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0057,True
904777b9cf99,spielberg_FP1,heart_rate,sensor_dropout,detection,0.006,True
10bcae460927,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.008,True
52e86c74b394,spielberg_FP1,speed,duplicate_timestamp,detection,0.0072,True
8e79a9de5b9f,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0066,True
945e3fa24ed0,spielberg_FP1,throttle_new,schema_drift,detection,0.0077,True
fdf2a2467e1d,spielberg_FP1,brake_temp,null_value,detection,0.0054,True
5821fc681a41,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0099,True
6c878e27e16a,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0073,True
32bb509b4eaf,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0066,True
d34921dd2235,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0097,True
19d4a87b9f14,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0066,True
ab479a01b365,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0067,True
1d7a5b234cec,spielberg_FP1,aero_load,string_in_numeric,detection,0.0041,True
024a94817354,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0035,True
fe97d17e378e,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0063,True
d2bc012e2f50,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0061,True
0a6c1748de7b,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0098,True
fd25fabd2c06,spielberg_FP1,aero_load,bit_flip_low,detection,0.009,True
6b6a3bfcb49d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0061,True
69e3374dd4c6,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0069,True
ef98629b4410,spielberg_FP1,aero_load,null_value,detection,0.0056,True
c3731c7b4728,spielberg_FP1,speed,sensor_dropout,detection,0.0066,True
66ed7412d5c4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0038,True
139aa9710939,spielberg_FP1,ecu_canbus,null_value,detection,0.0056,True
72dd4234b16e,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0072,True
130c4a2c2d9a,spielberg_FP1,brake_temp,null_value,detection,0.0055,True
dd0e25592950,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0098,True
60745aad3c78,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0075,True
3e708a1b2287,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0066,True
