packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
f42ccca0f40c,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0479,True
f68622832f6a,spielberg_FP1,rpm_v2,schema_drift,detection,0.0083,True
2fb4f128fbbb,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0106,True
2e897b35154a,spielberg_FP1,speed,null_value,detection,0.0057,True
21ff9a48c6c6,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0097,True
a03aa35a8ad1,spielberg_FP1,throttle,bit_flip_high,detection,0.0096,True
767ce71c5991,spielberg_FP1,heart_rate,null_value,detection,0.0129,True
af73e8fbcb11,spielberg_FP1,throttle,bit_flip_low,detection,0.0096,True
21c2f921cc50,spielberg_FP1,rpm,null_value,detection,0.0057,True
8db99f18ecc9,spielberg_FP1,brake_temp,null_value,detection,0.0055,True
0c44fcc5bb39,spielberg_FP1,throttle,sensor_dropout,detection,0.0056,True
922e0e9ad9ba,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0095,True
a4e1198ecfae,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0087,True
f14f1cf4a9e5,spielberg_FP1,throttle_raw,schema_drift,detection,0.0076,True
2d1448b9cf7f,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0074,True
4635522291ae,spielberg_FP1,aero_load,null_value,detection,0.0069,True
a19ff54e94dd,spielberg_FP1,rpm,null_value,detection,0.0059,True
b5d80c7aea7b,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0071,True
86281aff8852,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0038,True
8333b2fad9cf,spielberg_FP1,aero_load,string_in_numeric,detection,0.0036,True
ce95642a0249,spielberg_FP1,speed,bit_flip_high,detection,0.0106,True
5ce05f0d5e54,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0057,True
071628572d50,spielberg_FP1,speed_raw,schema_drift,detection,0.0078,True
9384c04987de,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0062,True
