packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
1d68e6838c6e,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0076,True
c58bf58df54b,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0074,True
4e19f4f596f3,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0071,True
13d6b8c0e2cf,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0076,True
cb898de4347f,spielberg_FP1,throttle,bit_flip_high,detection,0.0114,True
70f24eb59a0f,spielberg_FP1,speed_canbus,schema_drift,detection,0.0077,True
8db5d47d35bb,spielberg_FP1,throttle,string_in_numeric,detection,0.004,True
33f938ac8b35,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0096,True
2c0c0d124480,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0041,True
6724dc790193,spielberg_FP1,throttle,null_value,detection,0.0062,True
f8b5bf53af5d,spielberg_FP1,heart_rate,null_value,detection,0.0059,True
db86d297e710,spielberg_FP1,speed,sensor_dropout,detection,0.0073,True
20887d0bd358,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0104,True
7c89bb8f5201,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0059,True
79082afcd085,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0097,True
38fa0c6deb52,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0039,True
552f9fe82bd1,spielberg_FP1,rpm,bit_flip_low,detection,0.0101,True
0c6cf8176c45,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0072,True
5b9228ac7cab,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0064,True
47e7e7e247e3,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.01,True
e18c7c0a2600,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0065,True
68c5ac41941d,spielberg_FP1,speed,bit_flip_low,detection,0.0102,True
f6d29b8872c0,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0048,True
b01c106ae9d2,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.008,True
ef01a88d0119,spielberg_FP1,tyre_pressure,null_value,detection,0.0058,True
2b0d49687b06,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0061,True
55d2146c5772,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0063,True
fa2af9af84af,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0064,True
4ff0f5aa71d7,spielberg_FP1,tyre_pressure,null_value,detection,0.0062,True
a3b85daf83ae,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0103,True
5ee80a633c50,spielberg_FP1,rpm,null_value,detection,0.006,True
195a5c9fe4fc,spielberg_FP1,tyre_pressure,null_value,detection,0.0058,True
4e08153dbc5f,spielberg_FP1,brake_temp,null_value,detection,0.0062,True
939bfa94a686,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0068,True
cd705d5c1643,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0099,True
e68dd1e9b4fa,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0095,True
0c05ad528d6b,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0093,True
6ce63ec3ff4a,spielberg_FP1,heart_rate,null_value,detection,0.0059,True
982409a7bdd8,spielberg_FP1,rpm,bit_flip_low,detection,0.0103,True
3bf02b11bdea,spielberg_FP1,rpm_v2,schema_drift,detection,0.0078,True
c29c5630c20c,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0072,True
4f7eee0cbf8e,spielberg_FP1,engine_temp,null_value,detection,0.0063,True
45e48b910467,spielberg_FP1,throttle,bit_flip_high,detection,0.0101,True
ff8044e0afdd,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0068,True
899bda53d7a8,spielberg_FP1,rpm,null_value,detection,0.006,True
e4145512cf58,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0042,True
8e9cc7f94447,spielberg_FP1,rpm,null_value,detection,0.0059,True
8f20f1dfa5b6,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0098,True
