packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2c2976e9400e,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0041,True
12a696c03575,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
39d291463cab,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0077,True
ce8c67453d86,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.004,True
2060b34cd501,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0038,True
857707570c4f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
0628b43233f0,spielberg_FP1,rpm,string_in_numeric,detection,0.0036,True
6d059020e214,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.007,True
6eb916f5e0e7,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0071,True
56cee8dcb7f4,spielberg_FP3,g_force_lateral,string_in_numeric,detection,0.0038,True
5479802b7371,spielberg_FP3,tyre_pressure,duplicate_timestamp,detection,0.0066,True
35c0ba7c10b0,spielberg_FP3,heart_rate_canbus,schema_drift,detection,0.0082,True
b9bf9d6c0ee3,spielberg_FP3,speed,duplicate_timestamp,detection,0.0069,True
fcf9bb023dca,spielberg_QUALI,aero_load,duplicate_timestamp,detection,0.0069,True
d583134194ff,spielberg_QUALI,aero_load_new,schema_drift,detection,0.0079,True
11cfc21ed48a,spielberg_RACE,engine_temp_new,schema_drift,detection,0.0074,True
347cf90b07c7,silverstone_FP1,speed_canbus,schema_drift,detection,0.0081,True
29e0321e5bb1,silverstone_FP1,rpm,string_in_numeric,detection,0.0036,True
3d9e4987c20b,silverstone_FP2,throttle_canbus,schema_drift,detection,0.0081,True
b60e46242c24,silverstone_FP3,heart_rate,string_in_numeric,detection,0.0038,True
ad80d708e4d6,silverstone_FP3,speed,duplicate_timestamp,detection,0.0068,True
73e7c75889af,silverstone_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0067,True
976471911e82,silverstone_QUALI,heart_rate,string_in_numeric,detection,0.0038,True
ad66f7af45de,silverstone_RACE,heart_rate_alt,schema_drift,detection,0.0079,True
f2eb05b43ea3,budapest_FP1,throttle,duplicate_timestamp,detection,0.0071,True
921a875d791f,budapest_FP1,heart_rate,duplicate_timestamp,detection,0.007,True
f111c62293e4,budapest_FP1,aero_load,string_in_numeric,detection,0.0036,True
d43583d96572,budapest_FP2,engine_temp_alt,schema_drift,detection,0.0075,True
abc9e683dae6,budapest_FP2,rpm,string_in_numeric,detection,0.0037,True
53d1864ed4c2,budapest_FP3,aero_load,duplicate_timestamp,detection,0.0065,True
1cd1b7f61e88,budapest_FP3,throttle_canbus,schema_drift,detection,0.0079,True
f3e20f00402c,budapest_FP3,ecu_canbus,duplicate_timestamp,detection,0.0071,True
26a95875f9f5,budapest_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0068,True
f32cbd47c088,budapest_QUALI,ecu_canbus,string_in_numeric,detection,0.0039,True
2fa9e448d870,budapest_QUALI,speed,string_in_numeric,detection,0.0041,True
21776ac742b4,budapest_RACE,speed_alt,schema_drift,detection,0.0077,True
189c6df03267,budapest_RACE,aero_load_v2,schema_drift,detection,0.0078,True
2c2976e9400e,,,dlq_repair,repair,0.0228,False
12a696c03575,,,dlq_repair,repair,0.0169,False
857707570c4f,,,dlq_repair,repair,0.0161,False
73e7c75889af,,,dlq_repair,repair,0.1078,True
f3e20f00402c,,,dlq_repair,repair,0.035,True
26a95875f9f5,,,dlq_repair,repair,0.0307,True
f32cbd47c088,,,dlq_repair,repair,0.014,False
ce8c67453d86,,,dlq_repair,repair,0.0164,False
2060b34cd501,,,dlq_repair,repair,0.0084,False
0628b43233f0,,,dlq_repair,repair,0.0079,False
6d059020e214,,,dlq_repair,repair,0.0281,True
6eb916f5e0e7,,,dlq_repair,repair,0.0255,True
56cee8dcb7f4,,,dlq_repair,repair,0.0097,False
5479802b7371,,,dlq_repair,repair,0.0245,True
b9bf9d6c0ee3,,,dlq_repair,repair,0.0258,True
fcf9bb023dca,,,dlq_repair,repair,0.0329,True
29e0321e5bb1,,,dlq_repair,repair,0.0094,False
b60e46242c24,,,dlq_repair,repair,0.0092,False
ad80d708e4d6,,,dlq_repair,repair,0.0254,True
976471911e82,,,dlq_repair,repair,0.0085,False
f2eb05b43ea3,,,dlq_repair,repair,0.0263,True
921a875d791f,,,dlq_repair,repair,0.0247,True
f111c62293e4,,,dlq_repair,repair,0.0085,False
abc9e683dae6,,,dlq_repair,repair,0.0097,False
53d1864ed4c2,,,dlq_repair,repair,0.0258,True
2fa9e448d870,,,dlq_repair,repair,0.0081,False
