packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
a99c7dadbc33,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0069,True
79eda3dab83f,spielberg_FP1,throttle,string_in_numeric,detection,0.0038,True
eee9cfadf8c0,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0076,True
eb7212438307,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0075,True
44357c596bc7,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0067,True
e4aeb87d1c0f,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0039,True
ce2dfcfc5a79,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0067,True
33a25f080704,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0075,True
5d659dc458e0,spielberg_FP1,throttle,string_in_numeric,detection,0.0044,True
0e0cd0c415ff,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0038,True
3222416a00ea,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0036,True
f953e8cfdc74,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0035,True
5fd2315a1be6,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0074,True
8514ac483de5,spielberg_FP1,rpm,string_in_numeric,detection,0.0035,True
b725aa273046,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0078,True
524da7ce5a55,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
5fc511df7e7c,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
295779582bf9,spielberg_FP1,throttle,string_in_numeric,detection,0.0034,True
93f57c7e6450,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0076,True
46126218ffef,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0067,True
d0cbc8cdc3c6,spielberg_FP1,speed,duplicate_timestamp,detection,0.0066,True
c329643b18d3,spielberg_FP1,speed_v2,schema_drift,detection,0.0075,True
c6f1c02fef7d,spielberg_FP1,aero_load_new,schema_drift,detection,0.0075,True
e3a7cee3e04a,spielberg_FP1,heart_rate,string_in_numeric,detection,0.004,True
1b22a1251f75,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0077,True
179cb04b4fba,spielberg_FP1,rpm_v2,schema_drift,detection,0.0075,True
b171b5c70d14,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0073,True
49984a5f6cb6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0066,True
ba511f0013f3,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0076,True
d8de1462898f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
5edbce4ff4bf,spielberg_FP1,aero_load,string_in_numeric,detection,0.0037,True
77da8d307b42,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0066,True
4f220baa6fb6,spielberg_FP1,throttle,string_in_numeric,detection,0.0038,True
daaecd877e77,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0065,True
f8dda7766f39,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0062,True
6cabe078c78f,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0036,True
666ef6fa3813,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0065,True
88ca8898aba9,spielberg_FP1,rpm_alt,schema_drift,detection,0.0078,True
fcb0ec5697b4,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0076,True
50973ceaa360,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0074,True
51e609400f91,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
dbe16df2c385,spielberg_FP1,speed_new,schema_drift,detection,0.0077,True
9d8afafb4665,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0067,True
104e1a5a5ce1,spielberg_FP1,speed,duplicate_timestamp,detection,0.0063,True
f507e3f17390,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0074,True
18f9e8b80e94,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0039,True
18dcdeb03524,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0075,True
bf093eb7540d,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0078,True
882bd1cb7009,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
6fd504b88a95,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0065,True
2d3aa832e726,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0076,True
a6d1668da198,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0064,True
9ebe04e4cdcf,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0065,True
9ebf7b8186a0,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0084,True
abeb965309fe,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0086,True
e94330c42f91,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0062,True
986390107316,spielberg_FP1,rpm_raw,schema_drift,detection,0.0077,True
ff6532343647,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0064,True
b1e54af7e881,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0039,True
