packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
367e52d71a71,spielberg_FP1,heart_rate,string_in_numeric,detection,0.004,True
ba24b0006554,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0072,True
84e491cf276c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0047,True
c2c47b9ad0a9,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0069,True
b8593ea30f01,spielberg_FP1,speed,duplicate_timestamp,detection,0.0069,True
ad66c672bb70,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0069,True
903ee2621c99,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0037,True
72a7ab4e9f0f,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0076,True
d603feaffe25,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0067,True
6ebc929fa828,spielberg_FP1,speed,string_in_numeric,detection,0.0038,True
eb27d9ec9b0e,spielberg_FP1,speed,string_in_numeric,detection,0.0037,True
1854518f1b49,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0092,True
82264eca01a3,spielberg_FP1,speed,duplicate_timestamp,detection,0.0069,True
1674d77e5786,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0076,True
3c463512edfe,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0076,True
db9baad691fa,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0067,True
51cb23259d17,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0084,True
4f291dc4091b,spielberg_FP1,throttle,string_in_numeric,detection,0.004,True
f64353f943bc,spielberg_FP1,speed,duplicate_timestamp,detection,0.0069,True
c8e61a0d5a23,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
08af730d94f4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.007,True
70a2182e8bb9,spielberg_FP1,speed,duplicate_timestamp,detection,0.0065,True
0a549d38e5ba,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
30aee853a358,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0036,True
c766512cbb9c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0069,True
77982344364b,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0079,True
34de890d8be6,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0038,True
df9a619841e9,spielberg_FP1,throttle,string_in_numeric,detection,0.0038,True
c68d61c6b318,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0073,True
f66470cd2617,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0067,True
5b1120b40b1e,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0049,True
13716653a41b,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0076,True
6c0b7cf7dd0d,spielberg_FP1,speed,duplicate_timestamp,detection,0.0068,True
3697c3d298f2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0038,True
9a3d2f15779d,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
4aa76f193b0b,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0041,True
935ddf02c635,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0077,True
afa596cb64f0,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
e1b3353c5455,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0077,True
9e3a31b866a5,spielberg_FP1,speed_canbus,schema_drift,detection,0.0095,True
fc8f858f9631,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0078,True
f738461b43ef,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0068,True
c00ef23d0ed2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0041,True
6e4193dc7dd6,spielberg_FP1,speed_alt,schema_drift,detection,0.0073,True
b00c7332188b,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0073,True
ec6f9bd8d2b7,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
551aaacfe72d,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0076,True
f9c14c0eec79,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0077,True
3a1118ae3a37,spielberg_FP1,speed_raw,schema_drift,detection,0.0076,True
7befecfb70b8,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0038,True
af179a7a7553,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0078,True
6c38e5558d8c,spielberg_FP1,speed_v2,schema_drift,detection,0.0087,True
4b0612a6a33e,spielberg_FP1,throttle,string_in_numeric,detection,0.0037,True
9b57fe88be5f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0041,True
8cdf9b39f3da,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0041,True
c0de86e7cbe7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0082,True
93cfbad122b7,spielberg_FP1,aero_load,string_in_numeric,detection,0.0048,True
00e17db2bc7c,spielberg_FP1,speed,string_in_numeric,detection,0.0037,True
e1cdb9e93ce8,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0096,True
4daf4fae9c6f,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0037,True
2dc212bcf7a9,spielberg_FP1,throttle,string_in_numeric,detection,0.004,True
67e6db73bc11,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0068,True
6e1c00bbcbb3,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0087,True
011de0d993c3,spielberg_FP1,speed,string_in_numeric,detection,0.0049,True
479870bc2dc4,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.007,True
b7bdef77eb90,spielberg_FP1,speed_alt,schema_drift,detection,0.0077,True
117b3c98c78f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0046,True
c7e9c0fd44c8,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0067,True
4f7d02a14422,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0071,True
2773201ba7d0,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0082,True
229e8c868be6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0051,True
