packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
4985714bbf88,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0049,True
26dbd3820aab,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0048,True
536a974019cc,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0043,True
3f71552b0bbd,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0039,True
338c2cf9c397,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0044,True
e33775b3bc0a,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0071,True
0a28f277703b,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0034,True
42e2e7650091,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0059,True
427dc0293042,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0058,True
914aafe9c2b6,spielberg_FP1,rpm,null_value,detection,0.0036,True
5e79991870b8,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0063,True
bb1e5fd57455,spielberg_FP1,throttle,string_in_numeric,detection,0.0027,True
8a698a85d9bb,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0038,True
2af95fb9c7d6,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0045,True
ae4b4b8fcce8,spielberg_FP1,heart_rate,null_value,detection,0.0039,True
12dd4c8abf04,spielberg_FP1,speed,bit_flip_low,detection,0.0074,True
6ff7a6f51c3c,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0025,True
dbd9fab42c55,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0074,True
bf4ed7c75a3b,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
6348651efd7d,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0042,True
4763069d4825,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0044,True
6913361fc00e,spielberg_FP1,engine_temp,bit_flip_low,detection,0.013,True
8b374ba5c82d,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0065,True
4ad2fb3c8f04,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0063,True
1d49cb3c2d43,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0038,True
904176a6d549,spielberg_FP1,aero_load,sensor_dropout,detection,0.0031,True
d7dcfe7fa811,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0047,True
cc91c1d76ec9,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0059,True
d3346d92efd0,spielberg_FP1,speed,null_value,detection,0.0034,True
0e1e638a7e65,spielberg_FP1,g_force_lateral,null_value,detection,0.004,True
5aa63f0aa27f,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0032,True
0e9be2de7688,spielberg_FP1,throttle,bit_flip_low,detection,0.0067,True
