packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
7316a7684dfb,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.004,True
67da8fea3542,spielberg_FP1,throttle_v2,schema_drift,detection,0.0046,True
2bab1a315cd9,spielberg_FP1,rpm_alt,schema_drift,detection,0.005,True
0c77c56ecf89,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0043,True
1e6633cbc8a6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0032,True
0b783c717468,spielberg_FP1,throttle_alt,schema_drift,detection,0.0041,True
43e0c0d709a8,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0038,True
b34b755398c1,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0044,True
1b3aea6a6b8d,spielberg_FP2,ecu_canbus_new,schema_drift,detection,0.0048,True
05cf35ef3985,spielberg_FP2,throttle,duplicate_timestamp,detection,0.0032,True
70ccf715811f,spielberg_FP2,throttle_alt,schema_drift,detection,0.0043,True
fd0c209f063b,spielberg_FP2,speed_v2,schema_drift,detection,0.0042,True
927c11e8d935,spielberg_FP2,ecu_canbus_new,schema_drift,detection,0.0037,True
89bc4c4b079d,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0048,True
f1709561d3be,spielberg_FP2,rpm,string_in_numeric,detection,0.002,True
fc498bf82c91,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0023,True
ed59fc311c95,spielberg_FP2,speed,string_in_numeric,detection,0.0022,True
9b74ebaa2bcd,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0021,True
aa402699567b,spielberg_FP2,brake_temp_new,schema_drift,detection,0.0099,True
78702043c101,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0029,True
2d1259cccc88,spielberg_FP2,engine_temp_v2,schema_drift,detection,0.0038,True
35dc1b2954de,spielberg_FP3,tyre_pressure,string_in_numeric,detection,0.002,True
10d5dc992d09,spielberg_FP3,heart_rate,string_in_numeric,detection,0.0022,True
bab437e5f947,spielberg_FP3,rpm,duplicate_timestamp,detection,0.0033,True
d12bde72c1bc,spielberg_FP3,engine_temp_new,schema_drift,detection,0.004,True
985e0a47cbc9,spielberg_FP3,g_force_lateral,duplicate_timestamp,detection,0.0036,True
104e3f78acd8,spielberg_FP3,speed_raw,schema_drift,detection,0.0043,True
3e6484eb95d8,spielberg_FP3,brake_temp,duplicate_timestamp,detection,0.0034,True
46721a626dd0,spielberg_FP3,heart_rate,string_in_numeric,detection,0.0028,True
0a4a95094220,spielberg_FP3,throttle,duplicate_timestamp,detection,0.0034,True
023852d1298a,spielberg_FP3,speed,string_in_numeric,detection,0.002,True
3869fead5e98,spielberg_FP3,throttle,string_in_numeric,detection,0.002,True
