packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
5eb25ac03ce1,spielberg_FP1,heart_rate,null_value,detection,0.0012,True
8018243b3201,spielberg_FP1,rpm,sensor_dropout,detection,0.0011,True
bfb8fe3d9536,spielberg_FP1,engine_temp,null_value,detection,0.0008,True
4523ac85b06b,spielberg_FP1,ecu_canbus,null_value,detection,0.0006,True
61529af5829a,spielberg_FP1,heart_rate,bit_flip_low,detection,0.004,True
f68805fbce50,spielberg_FP1,aero_load,bit_flip_low,detection,0.0026,True
4651c92cfb7d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0009,True
749c63b7c404,spielberg_FP1,speed,bit_flip_high,detection,0.0031,True
a29249204330,spielberg_FP1,rpm,bit_flip_high,detection,0.0027,True
5f74fb68253e,spielberg_FP1,speed,sensor_dropout,detection,0.0008,True
da424dff6125,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0025,True
67ceb5d9239a,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0009,True
3198153d9705,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0025,True
1fe6ef524a92,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0009,True
b2832d40b606,spielberg_FP1,rpm,bit_flip_low,detection,0.0029,True
8b6df8d0718c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.001,False
0a20281a0a50,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.003,True
3214e5e90371,spielberg_FP1,ecu_canbus,null_value,detection,0.0006,True
d0e9dea8da57,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0006,True
dc78b9a0b5db,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0005,True
18f86bb074d5,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0006,True
f9ac017ffa8e,spielberg_FP1,throttle,sensor_dropout,detection,0.0007,True
dd499c259324,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0008,True
fffd5ab04567,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0008,True
b6e21707854a,spielberg_FP1,speed,bit_flip_low,detection,0.0034,True
ed08fbcdcf20,spielberg_FP1,aero_load,bit_flip_high,detection,0.0027,True
00c38ed74bf4,spielberg_FP1,speed,sensor_dropout,detection,0.0007,True
11cb910c0a3c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0009,True
862b19abf5bb,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0013,False
fbec3c2f9ff7,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0031,True
9f0c9d65bdde,spielberg_FP1,throttle,bit_flip_low,detection,0.0025,True
da94ca8582b2,spielberg_FP1,rpm,sensor_dropout,detection,0.0008,True
96c341fc0fb7,spielberg_FP1,aero_load,bit_flip_high,detection,0.003,True
0feeecc36bf8,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0025,True
152b9e706263,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0008,True
3a2affa0c451,spielberg_FP1,throttle,string_in_numeric,detection,0.001,True
507ae05c2c12,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0014,False
2759eda661aa,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0024,True
eba2d10a8ef4,spielberg_FP1,rpm,string_in_numeric,detection,0.0009,True
57b214523552,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0023,True
06502ca502e9,spielberg_FP1,rpm,null_value,detection,0.0007,True
c7a791675779,spielberg_FP1,g_force_lateral,null_value,detection,0.0017,True
0e70dac05500,spielberg_FP1,speed,null_value,detection,0.0009,True
390d7968c015,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0014,True
77794aa8366a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0042,True
a90836fc8b71,spielberg_FP1,rpm,duplicate_timestamp,detection,0.002,False
cefcddc98579,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.001,False
01c7fcd8ea1d,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0011,False
50ec0dd4d6d5,spielberg_FP1,engine_temp,null_value,detection,0.0008,True
c049236e9a62,spielberg_FP1,aero_load,bit_flip_low,detection,0.0029,True
0a078b7905f0,spielberg_FP1,g_force_lateral,null_value,detection,0.0007,True
6cd6a65c0e24,spielberg_FP1,speed,duplicate_timestamp,detection,0.001,False
9ddb098a4c13,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0007,True
358c33412ef2,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0027,True
6dac0e670abd,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0014,False
efb97b53a6f4,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0009,True
054af4f76341,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.001,False
e2ff7fb28563,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0007,True
aa66cf11770e,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0037,True
040543e42bd9,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0008,False
c56b6793bc8b,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0008,True
71250e5c6625,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0006,True
0ded6ff15518,spielberg_FP1,engine_temp,null_value,detection,0.0007,True
94929b232355,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0015,False
78e16c35b2eb,spielberg_FP1,brake_temp,string_in_numeric,detection,0.001,True
0f9350387242,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.001,True
d6992a5f043c,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0033,True
a10b3bb94ee8,spielberg_FP1,speed,bit_flip_high,detection,0.0029,True
2dd0c381f4fa,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0011,False
6c0dd83cc951,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0008,False
b11c72b136bf,spielberg_FP1,throttle,bit_flip_high,detection,0.0026,True
08a2941a1372,spielberg_FP1,heart_rate,null_value,detection,0.0007,True
9bd8b08b092d,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0009,False
d3e79b8921db,spielberg_FP1,throttle,duplicate_timestamp,detection,0.001,False
3539ffb47371,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0012,False
7f34bd81e3cd,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0024,True
a8bd586fed1b,spielberg_FP1,ecu_canbus,null_value,detection,0.0007,True
36789bbe44c3,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0012,False
c74152cd25b3,spielberg_FP1,aero_load,null_value,detection,0.0007,True
35988fe7a173,spielberg_FP1,speed,bit_flip_high,detection,0.0031,True
2af1bf3efcea,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0029,True
4a83e8802ee4,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0026,True
5e5c372ad368,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.001,True
b49b8b2bd1c8,spielberg_FP1,throttle_v2,schema_drift,detection,0.0013,False
12d44ad9d52f,spielberg_FP1,throttle,string_in_numeric,detection,0.001,True
5b04618e8d3d,spielberg_FP1,rpm_new,schema_drift,detection,0.0016,False
3a9580b2986f,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0012,False
5820ce1122c3,spielberg_FP1,throttle,string_in_numeric,detection,0.0007,True
02c0d069a6f1,spielberg_FP1,speed,sensor_dropout,detection,0.0006,True
44a46d4e5917,spielberg_FP1,aero_load,sensor_dropout,detection,0.0007,True
3ef47d67d87c,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0036,True
8959a1a7abaa,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0028,False
def1a7313d64,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0015,True
7cdb86df388d,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0012,True
c278931002cc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0016,False
591300ceabdf,spielberg_FP1,speed,string_in_numeric,detection,0.0019,True
7920d5d5fbe7,spielberg_FP1,rpm,string_in_numeric,detection,0.0016,True
f48d864397b2,spielberg_FP1,brake_temp,null_value,detection,0.0012,True
e4bd83e761b9,spielberg_FP1,brake_temp,bit_flip_high,detection,0.006,True
2c1beecfd10d,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0026,False
94d9c7193e11,spielberg_FP1,speed,duplicate_timestamp,detection,0.0021,False
6dfc730e25e7,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0012,True
f0113b157c39,spielberg_FP1,speed,bit_flip_high,detection,0.0053,True
e68eb80e83c7,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0048,True
e2fb0bb1a08f,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0059,True
7d933b70c158,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0017,False
0512b8d0e1f7,spielberg_FP1,throttle_v2,schema_drift,detection,0.0024,False
ca03d1d4e6d0,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0015,True
38048bec23b3,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0026,False
76dc0fb47712,spielberg_FP1,throttle_v2,schema_drift,detection,0.0018,False
ef47b2bd3ba5,spielberg_FP1,aero_load,string_in_numeric,detection,0.0016,True
29999a68f62f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0015,False
499fd990ac00,spielberg_FP1,rpm,bit_flip_high,detection,0.0059,True
8309f0da536f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0014,False
2ad273522225,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0018,False
5dbcec0a8306,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0049,True
84eec7b2f1eb,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0014,False
987bfb6e96de,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0015,False
816fbeb4f2f0,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0022,False
f106572ac809,spielberg_FP1,throttle,duplicate_timestamp,detection,0.002,False
9965f61697d0,spielberg_FP1,rpm,bit_flip_low,detection,0.0056,True
2cf4a2ddf8c8,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0015,True
7675814dde44,spielberg_FP1,throttle,null_value,detection,0.0013,True
8eaa357273a6,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0017,False
ca8a7ef79f08,spielberg_FP1,brake_temp,bit_flip_low,detection,0.005,True
387d0b173ba0,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0027,True
cc90937641d4,spielberg_FP1,speed,sensor_dropout,detection,0.0014,True
1c9dfbcf2ee4,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0016,False
336da50ecd8f,spielberg_FP1,rpm,string_in_numeric,detection,0.002,True
9e7a9c8247a0,spielberg_FP1,throttle,null_value,detection,0.0013,True
3a7bb81c9b32,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0052,True
606ad30b8495,spielberg_FP1,aero_load,bit_flip_low,detection,0.0046,True
010bd47d4a88,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.002,False
fe7b3c9ca082,spielberg_FP1,tyre_pressure,null_value,detection,0.0012,True
4a5fc21b7117,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0011,True
11e33b9f3c70,spielberg_FP1,rpm,bit_flip_low,detection,0.0055,True
0f7558f8e224,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0015,False
271e4a3aa229,spielberg_FP1,rpm,bit_flip_low,detection,0.0054,True
40d84a765070,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0042,True
befc261b9b22,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0017,False
b4b4d390e39e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0019,False
4fbe1052fb81,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0018,False
ee7c71780919,spielberg_FP1,rpm,bit_flip_high,detection,0.007,True
62be7bb5dbec,spielberg_FP1,aero_load,bit_flip_low,detection,0.0052,True
8f3f1843a906,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0045,True
65581d72f266,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.002,False
02c1610b6501,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0019,True
1dcb676b8124,spielberg_FP1,aero_load,null_value,detection,0.0013,True
926e28daa355,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0021,True
c933f2390b02,spielberg_FP1,throttle,null_value,detection,0.0013,True
27e12e20a995,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0012,True
adce3d7be66e,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0026,False
029c2c992894,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0011,True
8cfd78c89940,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0009,True
68555a0bb608,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0019,False
18c732e6b114,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.002,False
