packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
dda710fe4ad7,spielberg_FP1,heart_rate,null_value,detection,0.0056,True
f17577a7fb54,spielberg_FP1,throttle,bit_flip_high,detection,0.0106,True
0283e4c4da76,spielberg_FP1,aero_load,bit_flip_high,detection,0.0095,True
67b5d0f98007,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0091,True
2756c5bbd6b8,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0054,True
045bf023b9af,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0062,True
823fe4b5b164,spielberg_FP1,g_force_lateral,null_value,detection,0.0052,True
bbc361991724,spielberg_FP1,speed,null_value,detection,0.0052,True
3418229e29e2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0063,True
e58a01d9c136,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0062,True
dc852db93e84,spielberg_FP1,throttle,bit_flip_high,detection,0.0102,True
c41fd93f7f51,spielberg_FP1,rpm,bit_flip_low,detection,0.0097,True
9d5a253d974f,spielberg_FP1,speed,bit_flip_low,detection,0.0098,True
ce1f798bc710,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0103,True
317593630af9,spielberg_FP1,engine_temp,null_value,detection,0.0053,True
60719e4ffa83,spielberg_FP1,speed,null_value,detection,0.0054,True
7e6b13961a25,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0054,True
63b60ea5b2ee,spielberg_FP1,aero_load,bit_flip_low,detection,0.0096,True
30b206f80a08,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0035,True
56193499d198,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.004,True
65414637d57f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0064,True
5bffa409e3b4,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0056,True
975463334c1b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0063,True
6e64e53c9220,spielberg_FP1,speed,sensor_dropout,detection,0.0056,True
7c91b05039d1,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0061,True
8d24d0661dcf,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
a73cb1698a9d,spielberg_FP1,aero_load,bit_flip_high,detection,0.0102,True
e1ce61c85058,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0113,True
df1b96fcdcfc,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0088,True
53e720f534ed,spielberg_FP1,rpm,bit_flip_low,detection,0.0095,True
0d41060e6afe,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0065,True
2c991858f940,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0036,True
cf39f80a08b1,spielberg_FP1,throttle,string_in_numeric,detection,0.0035,True
e97cfc5abdb7,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0062,True
67e79e80a2fc,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0072,True
923ba44d80a5,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0094,True
b001fcafdb80,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0096,True
091915feeaeb,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0101,True
b1cfdde8e359,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0059,True
f4c6ff4e4cf7,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0093,True
ccc72fd91be2,spielberg_FP1,heart_rate,bit_flip_high,detection,0.009,True
29c89e615be8,spielberg_FP1,tyre_pressure,null_value,detection,0.0057,True
aadbbdc24c16,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0097,True
6b4afbc29c36,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0092,True
62f98ff5c6a4,spielberg_FP1,speed,bit_flip_low,detection,0.0109,True
744d07b7ce05,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0054,True
6d934a02102a,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0053,True
cb60ac4dbb1e,spielberg_FP1,speed_v2,schema_drift,detection,0.0069,True
98b727ae5306,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0067,True
5547ad42d665,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0069,True
265a69e06888,spielberg_FP1,speed,duplicate_timestamp,detection,0.0066,True
918a14df9482,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0062,True
e46f953dd816,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0058,True
76ff8cb508b0,spielberg_FP1,rpm,sensor_dropout,detection,0.0054,True
5a56fc608690,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0093,True
178eabaeeb92,spielberg_FP1,speed,string_in_numeric,detection,0.0037,True
966ef4b96eb7,spielberg_FP1,tyre_pressure,null_value,detection,0.0057,True
959baf972066,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0105,True
c97b1cc2a7ae,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0089,True
d977d025b230,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0097,True
c60fb864ea93,spielberg_FP1,speed,sensor_dropout,detection,0.0057,True
a0c4a9bfe456,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0094,True
f85ca29d29d5,spielberg_FP1,tyre_pressure,null_value,detection,0.0055,True
274650f81018,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0073,True
