packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
7c3e3cbf39ec,spielberg_FP1,aero_load_new,schema_drift,detection,0.0031,False
d61f3d3b18f8,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0027,True
94951eb227bf,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0022,True
2026b8a0250d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.002,True
c7fccdd71aec,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0021,True
a8399a9620d0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0023,True
acd40f288f50,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0025,True
942cb39435fd,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0018,True
041b058944a1,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.002,True
a16339c93f66,spielberg_FP1,engine_temp,sensor_dropout,detection,0.002,True
dccc95bb72be,spielberg_FP1,rpm,null_value,detection,0.002,True
1469997c5986,spielberg_FP1,rpm,string_in_numeric,detection,0.0021,True
1effc96022cf,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0026,True
797f4ae1e6f8,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0017,True
f4a9858b5b15,spielberg_FP1,rpm_alt,schema_drift,detection,0.0045,False
70420d69d949,spielberg_FP1,throttle,bit_flip_low,detection,0.0052,True
03052be5f17e,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0041,True
b06f103eb3f0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0023,True
5d7d61942cc7,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0015,True
cd8f8e99c432,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0051,True
98d9e710571d,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.003,False
9c5f1a79a865,spielberg_FP1,throttle,null_value,detection,0.0018,True
6d626e0ff571,spielberg_FP1,throttle,sensor_dropout,detection,0.0015,True
4c831e065778,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0025,False
b17a12e9b607,spielberg_FP1,throttle,bit_flip_high,detection,0.0048,True
dde64b1e5581,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0027,False
5731ccd10cf1,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0028,False
0df9ac8e9c6f,spielberg_FP1,aero_load,bit_flip_high,detection,0.0054,True
72006f520c03,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0041,True
1984e6f5303a,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0042,True
68c149373ff9,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0019,True
46e904ac82ce,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0024,True
243a04826da8,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0026,False
c35ff3847eae,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
f2e354ad6ea7,spielberg_FP1,throttle,bit_flip_high,detection,0.0053,True
39b2ac3effc5,spielberg_FP1,rpm_new,schema_drift,detection,0.0025,False
f17f7e661dc3,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0018,True
b9d05dc9c0e4,spielberg_FP1,throttle_v2,schema_drift,detection,0.0026,False
720b10a9c026,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0043,True
2da39362ec32,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0023,False
407ac5db9b3e,spielberg_FP1,throttle,null_value,detection,0.0019,True
bf587b293689,spielberg_FP1,speed,string_in_numeric,detection,0.002,True
9940da2a8551,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0052,True
01f2b7f6b6cd,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0024,True
19e1f4471a2a,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0072,True
cad54b8492d7,spielberg_FP1,rpm_raw,schema_drift,detection,0.003,False
8d6a1779d231,spielberg_FP1,brake_temp,sensor_dropout,detection,0.002,True
b38da48e4759,spielberg_FP1,aero_load,null_value,detection,0.0016,True
97b16fde38b3,spielberg_FP1,throttle_v2,schema_drift,detection,0.0028,False
bcfccefdda89,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.002,True
2720669e5631,spielberg_FP1,throttle,null_value,detection,0.0018,True
c769f17bfb05,spielberg_FP1,speed,sensor_dropout,detection,0.0018,True
0cb0d3870e82,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0026,True
cf6574f1dc89,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0023,False
194f0b8a335f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0024,True
2db909de0adb,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0028,False
090846146fe2,spielberg_FP1,aero_load,string_in_numeric,detection,0.002,True
e8fd64dfc60c,spielberg_FP1,aero_load,sensor_dropout,detection,0.0018,True
47f6d21c2dea,spielberg_FP1,ecu_canbus,null_value,detection,0.0018,True
a0d1b34c3397,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0019,True
ac1eae2ab63e,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0042,True
1303c0931bca,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0031,False
75837bcdbcf2,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.002,True
6b7df718d201,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0036,True
51e65110a1da,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0031,False
ce09f49142d3,spielberg_FP1,g_force_lateral,null_value,detection,0.0021,True
8ab15334764f,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0027,False
4b2e024edd7a,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0045,True
0ba59b2dc528,spielberg_FP1,speed,string_in_numeric,detection,0.002,True
952038412d58,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0042,True
428756499ec1,spielberg_FP1,ecu_canbus,null_value,detection,0.0021,True
88023859f4e8,spielberg_FP1,speed,sensor_dropout,detection,0.0021,True
2a1cdceccd45,spielberg_FP1,aero_load,bit_flip_high,detection,0.0045,True
960873bc83f7,spielberg_FP1,heart_rate,null_value,detection,0.0019,True
07ef057d161c,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0028,False
2ae58574751a,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0024,False
a09113f4bd42,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0035,False
ed3a2efc8282,spielberg_FP1,engine_temp,null_value,detection,0.0018,True
8c0260e142ad,spielberg_FP1,aero_load,string_in_numeric,detection,0.0023,True
d7a912e979f7,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0045,True
9bfbedaafeda,spielberg_FP1,throttle,string_in_numeric,detection,0.002,True
8a121aa3570f,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0046,True
086b69babfb6,spielberg_FP1,aero_load,sensor_dropout,detection,0.002,True
8516e4549527,spielberg_FP1,ecu_canbus,null_value,detection,0.0021,True
f176b2fc36cc,spielberg_FP1,ecu_canbus,null_value,detection,0.0018,True
9032ec8ac7a1,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0043,True
032af345a97a,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0033,True
d448367adeec,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0032,True
47771073c865,spielberg_FP1,speed,sensor_dropout,detection,0.004,True
351be96782e2,spielberg_FP1,rpm,string_in_numeric,detection,0.002,True
586278e76288,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0046,True
e4418d99f752,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0026,False
b85fec7af418,spielberg_FP1,throttle,sensor_dropout,detection,0.0019,True
4791ada7bf32,spielberg_FP1,speed,duplicate_timestamp,detection,0.0025,True
d8a7e5085d12,spielberg_FP1,throttle,null_value,detection,0.0017,True
6bd02a765912,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0023,True
10c7c49fc531,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0021,True
fa515857dc52,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0051,True
5705058811ba,spielberg_FP2,aero_load_raw,schema_drift,detection,0.0028,False
72f0cce96e45,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0027,True
39a93280ba47,spielberg_FP2,ecu_canbus,sensor_dropout,detection,0.0019,True
49a0916841b6,spielberg_FP2,throttle,string_in_numeric,detection,0.0022,True
44d877038a8a,spielberg_FP2,brake_temp,bit_flip_low,detection,0.0047,True
ab449d7bf107,spielberg_FP2,g_force_lateral,duplicate_timestamp,detection,0.0024,True
0f5e5ca3ad9a,spielberg_FP2,heart_rate,bit_flip_high,detection,0.0035,True
0946f2ff32a7,spielberg_FP2,speed,bit_flip_low,detection,0.005,True
18cf21b8a9b1,spielberg_FP2,engine_temp,bit_flip_high,detection,0.0042,True
5d00c022a823,spielberg_FP2,throttle,null_value,detection,0.0019,True
061e1acb6a15,spielberg_FP2,g_force_lateral,duplicate_timestamp,detection,0.0025,True
af6cccb05f61,spielberg_FP2,heart_rate,null_value,detection,0.002,True
4e95b57c4637,spielberg_FP2,rpm,bit_flip_high,detection,0.0056,True
5977907593c1,spielberg_FP2,speed,duplicate_timestamp,detection,0.0024,True
413709aff59f,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0026,True
47d71d89f1f2,spielberg_FP2,speed,string_in_numeric,detection,0.0019,True
cabdb66c49b9,spielberg_FP2,tyre_pressure,bit_flip_low,detection,0.0043,True
ef179cf94a6d,spielberg_FP2,aero_load,bit_flip_high,detection,0.0036,True
bbe2c306ebff,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0022,True
9d0b70b3de17,spielberg_FP2,engine_temp_alt,schema_drift,detection,0.0024,False
99740d696068,spielberg_FP2,rpm,null_value,detection,0.0019,True
02adce20f486,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0024,True
f2aefac07f5b,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0022,True
5ef2c0b9060c,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0024,True
612eaba23da6,spielberg_FP2,engine_temp_v2,schema_drift,detection,0.0028,False
d4449a931f9d,spielberg_FP2,throttle_v2,schema_drift,detection,0.0028,False
7def04c2774f,spielberg_FP2,ecu_canbus_v2,schema_drift,detection,0.0029,False
2f9a85f0ae95,spielberg_FP2,aero_load,bit_flip_high,detection,0.0058,True
bfcea050b6ec,spielberg_FP2,aero_load,string_in_numeric,detection,0.0023,True
f165f1f2a3a0,spielberg_FP2,engine_temp,bit_flip_high,detection,0.0052,True
b6f463f45d55,spielberg_FP2,rpm_raw,schema_drift,detection,0.0029,False
1435392568d7,spielberg_FP2,speed,null_value,detection,0.002,True
432497f2d655,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0025,True
d442402bd748,spielberg_FP2,speed,sensor_dropout,detection,0.002,True
4c73207ff349,spielberg_FP2,speed,duplicate_timestamp,detection,0.0024,True
5ffd98e9be51,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0025,True
4c84d4bd9297,spielberg_FP2,speed,bit_flip_high,detection,0.005,True
0131952e41ee,spielberg_FP2,speed,string_in_numeric,detection,0.0019,True
cebf8c651a8b,spielberg_FP2,tyre_pressure_v2,schema_drift,detection,0.0026,False
12669da2f278,spielberg_FP2,ecu_canbus,bit_flip_high,detection,0.0041,True
c006d678da6f,spielberg_FP2,throttle,sensor_dropout,detection,0.0016,True
06e74a658927,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0024,True
3d7d4c3d37ab,spielberg_FP2,engine_temp,bit_flip_low,detection,0.0045,True
031f49a21371,spielberg_FP2,heart_rate_alt,schema_drift,detection,0.0026,False
bf0776a09338,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0044,True
273a6df136e4,spielberg_FP2,g_force_lateral,null_value,detection,0.004,True
0f41693c693b,spielberg_FP2,tyre_pressure,bit_flip_low,detection,0.0042,True
c70410a6ddb1,spielberg_FP2,engine_temp,bit_flip_low,detection,0.0036,True
db6188419d83,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0018,True
f176df7bedce,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0022,False
152a2fd1c8e5,spielberg_FP2,tyre_pressure,string_in_numeric,detection,0.0021,True
8df124a371a7,spielberg_FP2,engine_temp_raw,schema_drift,detection,0.0024,False
2f6c06db095b,spielberg_FP2,heart_rate,sensor_dropout,detection,0.0018,True
8daf6c0d1f61,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0019,True
08b4478fc9a2,spielberg_FP2,g_force_lateral_new,schema_drift,detection,0.0025,False
0d3b1651a4ae,spielberg_FP2,aero_load,string_in_numeric,detection,0.0021,True
4d60e7122f70,spielberg_FP2,brake_temp,bit_flip_high,detection,0.0052,True
3f3cc47e1d03,spielberg_FP2,engine_temp,bit_flip_low,detection,0.0042,True
8b910a85641f,spielberg_FP2,tyre_pressure,bit_flip_low,detection,0.0037,True
ec6434264640,spielberg_FP2,ecu_canbus,null_value,detection,0.0365,True
36c621d3af2a,spielberg_FP2,tyre_pressure,sensor_dropout,detection,0.0017,True
151e3f808302,spielberg_FP2,throttle,bit_flip_low,detection,0.0055,True
b58e2e7edaa5,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0023,True
