packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
b1a72ba435a4,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0027,True
02236e54d786,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
cbbafb061d23,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0021,True
4b2a990a5b8d,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0028,True
15eaa5f5cf9a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0026,True
3f8f1b5b4c12,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0032,True
030dc0ca15e2,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.003,True
25e566646711,spielberg_FP1,throttle,string_in_numeric,detection,0.0023,True
067f779bb23f,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0027,True
5c90c2580160,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0025,True
9ce172c24695,spielberg_FP1,speed_alt,schema_drift,detection,0.0025,True
d5d589e0e209,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0026,True
cb39679e796d,spielberg_FP2,rpm,string_in_numeric,detection,0.0019,True
7e34b65bf751,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0042,True
103ee3364cf4,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0022,True
959ea7a8ea5f,spielberg_FP2,aero_load_raw,schema_drift,detection,0.0032,True
ce987609cda7,spielberg_FP3,tyre_pressure,string_in_numeric,detection,0.0024,True
b20dbc5e5f01,spielberg_FP3,rpm_new,schema_drift,detection,0.0029,True
7b02dc26096b,spielberg_FP3,throttle,string_in_numeric,detection,0.0027,True
7b5c48bca5b0,spielberg_FP3,rpm,string_in_numeric,detection,0.0023,True
00fabc82028c,spielberg_FP3,engine_temp_canbus,schema_drift,detection,0.0033,True
a619f273ad5a,spielberg_FP3,throttle,duplicate_timestamp,detection,0.0026,True
d5e9ea48526c,spielberg_FP3,aero_load_alt,schema_drift,detection,0.003,True
7bf1ae006efa,spielberg_FP3,aero_load_raw,schema_drift,detection,0.004,True
16f0c0047694,spielberg_FP3,g_force_lateral,duplicate_timestamp,detection,0.0027,True
33c789fcb51c,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0024,True
4d2336ae33c8,spielberg_QUALI,heart_rate_v2,schema_drift,detection,0.0029,True
8cc8b67422c0,spielberg_QUALI,aero_load,string_in_numeric,detection,0.0024,True
95d4ec4e3944,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0026,True
31a90e8db257,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.0025,True
85076aa4e8dc,spielberg_RACE,throttle,string_in_numeric,detection,0.0023,True
59536a6f5850,spielberg_RACE,ecu_canbus_raw,schema_drift,detection,0.0026,True
442f3e47b39b,spielberg_RACE,ecu_canbus_canbus,schema_drift,detection,0.0033,True
a494b4487548,spielberg_RACE,throttle,string_in_numeric,detection,0.0023,True
31630eb3aaf3,spielberg_RACE,ecu_canbus,string_in_numeric,detection,0.0023,True
c3b7f1370a69,spielberg_RACE,throttle,duplicate_timestamp,detection,0.0025,True
1f8e80fc509a,spielberg_RACE,aero_load,duplicate_timestamp,detection,0.003,True
8ca68739a504,spielberg_RACE,heart_rate,string_in_numeric,detection,0.0028,True
76a2af6db8cd,spielberg_RACE,ecu_canbus,string_in_numeric,detection,0.0025,True
e5ad09ea2f5b,spielberg_RACE,ecu_canbus_canbus,schema_drift,detection,0.0045,True
9e34c09f7154,silverstone_FP1,ecu_canbus,string_in_numeric,detection,0.0024,True
1e8f189655d9,silverstone_FP1,ecu_canbus,duplicate_timestamp,detection,0.0033,True
b39b2da1a762,silverstone_FP1,g_force_lateral,duplicate_timestamp,detection,0.0029,True
8ef1fb683098,silverstone_FP1,speed,string_in_numeric,detection,0.0024,True
ce29e46acc67,silverstone_FP1,rpm,string_in_numeric,detection,0.0023,True
c79af9fc72d2,silverstone_FP1,throttle_alt,schema_drift,detection,0.0029,True
7caf7488babe,silverstone_FP1,rpm,duplicate_timestamp,detection,0.0055,True
81ed0990fae5,silverstone_FP1,engine_temp,duplicate_timestamp,detection,0.0022,True
80e219f4489d,silverstone_FP1,g_force_lateral_alt,schema_drift,detection,0.0032,True
d95a65c8229c,silverstone_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
e496be43290b,silverstone_FP1,engine_temp_canbus,schema_drift,detection,0.003,True
21561b5fd1b2,silverstone_FP1,aero_load_v2,schema_drift,detection,0.0032,True
