packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
236d38afa622,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.003,True
b8ad57b1027f,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0032,True
7de1817629db,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0024,True
a51bac9ff034,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0028,True
ca36ac9c2309,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
4464e26249cf,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0031,True
d12bd13d50f8,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0027,True
598da49e210b,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0025,True
112d59f91ae5,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0024,True
6792ee180e8d,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0025,True
f4850081069b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0024,True
2b1a96cc1a1b,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0024,True
4322ec140e11,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
15b0a628bffc,spielberg_FP1,aero_load,string_in_numeric,detection,0.0026,True
cf3fae92a0e5,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
75c6f2245824,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0024,True
6c7aafa880fe,spielberg_FP1,aero_load,string_in_numeric,detection,0.0023,True
56965fb95e10,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0029,True
af0c40078de2,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0034,True
54af634487f1,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0023,True
fe7148e01219,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
ae1552cf8f49,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0025,True
b0727cf1beb7,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0025,True
996891d53c4f,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0022,True
cca0dafd5454,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0027,True
f07bdd1818da,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0031,True
2999280cbb03,spielberg_FP1,throttle_alt,schema_drift,detection,0.0026,True
7391f5272647,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0028,True
507e3d6b8c9e,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
6cd25d45ab84,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0031,True
f0cbf869f3b2,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0029,True
9046f9429b5e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
730ca4eb9374,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0032,True
8a7ce6666916,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0026,True
866383d21024,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0023,True
34171e135204,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0028,True
51f89e27f248,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
1f0f2582c1a7,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0255,True
f2bcf0400e64,spielberg_FP1,speed,string_in_numeric,detection,0.0025,True
d962af43e45b,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0027,True
0a258c3f7271,spielberg_FP1,aero_load,string_in_numeric,detection,0.0042,True
a23e64bb6b1a,spielberg_FP1,aero_load,string_in_numeric,detection,0.0027,True
f76258ad6b2b,spielberg_FP1,speed,duplicate_timestamp,detection,0.0026,True
bb766ed45f05,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0024,True
7f2485dadcc3,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
9f4c5304d478,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0024,True
689bc13138b7,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0037,True
081fca608aba,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0022,True
adcb4c10263a,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0023,True
3ca2129063cb,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0027,True
06da448c461c,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0027,True
16e54d08bd0b,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0026,True
62f2b3fb5951,spielberg_FP1,throttle_raw,schema_drift,detection,0.0028,True
41ae8c6eeb00,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0029,True
b9018764b2a6,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0024,True
3bbb676526d0,spielberg_FP1,speed,duplicate_timestamp,detection,0.0023,True
b060178599ad,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0025,True
b79e551cb619,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0021,True
618c80e86e72,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0029,True
cbf061725319,spielberg_FP1,throttle,string_in_numeric,detection,0.0023,True
ce4cabc748a7,spielberg_FP1,speed,string_in_numeric,detection,0.002,True
45c735f091c9,spielberg_FP1,aero_load,string_in_numeric,detection,0.0021,True
62014a2dae24,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0023,True
f41fb2b24f3d,spielberg_FP1,speed,string_in_numeric,detection,0.0024,True
1b113e55dcad,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
f162d81882e3,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0024,True
7354434f736a,spielberg_FP1,rpm_raw,schema_drift,detection,0.005,True
b2fa2d971a8c,spielberg_FP1,aero_load,string_in_numeric,detection,0.0022,True
3ab09aee5a1a,spielberg_FP1,rpm,string_in_numeric,detection,0.005,True
43dab082a5f7,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0025,True
ef1ba34e8063,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0029,True
6bc90963548e,spielberg_FP1,rpm,string_in_numeric,detection,0.0195,True
15c7cd3fed86,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0026,True
c2d19deffcfa,spielberg_FP1,brake_temp,string_in_numeric,detection,0.002,True
2c91a475313c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0022,True
600ca6931c58,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0035,True
f4b959e3741a,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0025,True
2298a6831038,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
058ef4772b69,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0049,True
51cc8ec6de92,spielberg_FP1,throttle,string_in_numeric,detection,0.0026,True
491746fa8b4d,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0029,True
d36aeb0ab289,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0029,True
