packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
a97d247f9f8d,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0024,True
7495ca3a61eb,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0028,True
e9aff1e2519d,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0011,False
d84fae5f0987,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0006,False
d37a0b9e49c7,spielberg_FP1,rpm,bit_flip_low,detection,0.0031,True
5d97068f522b,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0008,True
111ea3e2d0fe,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0004,True
92a94f62eea2,spielberg_FP1,aero_load,bit_flip_low,detection,0.0019,True
290788fae986,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0007,False
a64c786b3d95,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0022,True
a1c4c05464d8,spielberg_FP1,tyre_pressure,null_value,detection,0.0005,True
fea91605e988,spielberg_FP1,rpm,bit_flip_low,detection,0.0029,True
e72e79d16c64,spielberg_FP1,aero_load,bit_flip_low,detection,0.0019,True
7a75a21fc6eb,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0005,False
69ccab11133b,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0007,False
ae754944c83d,spielberg_FP1,brake_temp,null_value,detection,0.0006,True
03375fd412bf,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0006,False
41063b45e278,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0005,True
ae9008d30660,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0009,False
1099284628bf,spielberg_FP1,rpm_canbus,schema_drift,detection,0.001,False
e86237365938,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0006,False
44d67b7b78e5,spielberg_FP1,aero_load,sensor_dropout,detection,0.0005,True
b7dc7d94a5b4,spielberg_FP1,aero_load,bit_flip_low,detection,0.0026,True
97ba328817e6,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0005,False
f72f9f794cd8,spielberg_FP1,brake_temp,null_value,detection,0.0004,True
adbeee7ab27b,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0025,True
230aa8c4d0da,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0005,False
e2d683357f08,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0006,False
136091548755,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0008,False
34587d37a680,spielberg_FP1,rpm,null_value,detection,0.0006,True
b7ac80818add,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0013,False
31c533a50508,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0036,True
b57d7f505d5d,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0013,False
1fc3e0b02da0,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
4419bebc30ed,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0006,False
e89d9f900da3,spielberg_FP1,rpm,sensor_dropout,detection,0.0005,True
77a99cd9d701,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0006,False
278733e482d9,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0008,True
4e0b97e65e5b,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0035,True
0ea917162288,spielberg_FP1,speed,null_value,detection,0.0006,True
a11985590200,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0005,True
