packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e8a348593be7,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0047,True
889fdaed1403,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0046,True
cad5d2a2d88a,spielberg_FP1,throttle,string_in_numeric,detection,0.0023,True
042a01d13980,spielberg_FP1,throttle_v2,schema_drift,detection,0.0051,True
d01e11b28662,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0023,True
0415dc583d02,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0048,True
5fbe6aef65ca,spielberg_FP1,throttle,string_in_numeric,detection,0.0027,True
ff484719167c,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0052,True
accede7abb72,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0045,True
2e3fbb64d9bc,spielberg_FP1,throttle_v2,schema_drift,detection,0.0054,True
8378aa6f8b1c,spielberg_FP1,throttle_new,schema_drift,detection,0.0052,True
9dff321a869c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0029,True
c9c78bcb2ba6,spielberg_FP2,rpm,string_in_numeric,detection,0.0028,True
914e8933faea,spielberg_FP2,aero_load_canbus,schema_drift,detection,0.0055,True
fa70a6d5a013,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.003,True
acf10678b79e,spielberg_FP2,engine_temp_canbus,schema_drift,detection,0.0054,True
235b52b8abd7,spielberg_FP2,aero_load_new,schema_drift,detection,0.0051,True
bcd776f7c164,spielberg_FP2,engine_temp,duplicate_timestamp,detection,0.0046,True
aed61ab4078d,spielberg_FP2,aero_load,string_in_numeric,detection,0.0029,True
8836377985b4,spielberg_FP2,heart_rate_canbus,schema_drift,detection,0.0053,True
3e7f613d1f5d,spielberg_FP2,g_force_lateral_new,schema_drift,detection,0.0053,True
ae9822f61ba2,spielberg_FP3,brake_temp_new,schema_drift,detection,0.005,True
241030a83313,spielberg_FP3,g_force_lateral,duplicate_timestamp,detection,0.0043,True
395b6d53ed24,spielberg_FP3,heart_rate,string_in_numeric,detection,0.003,True
a87652247ef8,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0044,True
7ded17da1170,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.0023,True
dd69d9b1c458,spielberg_FP3,aero_load,duplicate_timestamp,detection,0.0045,True
b141d6d5edea,spielberg_FP3,brake_temp,string_in_numeric,detection,0.0031,True
734b54314fdc,spielberg_FP3,speed_v2,schema_drift,detection,0.0058,True
21ddc2b571e7,spielberg_FP3,aero_load,string_in_numeric,detection,0.0025,True
e40eaf4397b6,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.004,True
519517a1e330,spielberg_QUALI,rpm,duplicate_timestamp,detection,0.0043,True
1841014259b3,spielberg_QUALI,tyre_pressure,string_in_numeric,detection,0.0024,True
e74e857fc79d,spielberg_QUALI,speed,duplicate_timestamp,detection,0.0038,True
764218a54503,spielberg_QUALI,tyre_pressure,string_in_numeric,detection,0.0029,True
6edd852aecba,spielberg_QUALI,engine_temp,duplicate_timestamp,detection,0.0054,True
31eeee9c0d7e,spielberg_QUALI,engine_temp_raw,schema_drift,detection,0.0047,True
bcc589f6b683,spielberg_QUALI,g_force_lateral_alt,schema_drift,detection,0.0045,True
f47ed14fd27b,spielberg_QUALI,speed,duplicate_timestamp,detection,0.0047,True
075dd745944f,spielberg_QUALI,brake_temp_new,schema_drift,detection,0.0051,True
a5831d30053c,spielberg_QUALI,brake_temp_v2,schema_drift,detection,0.0044,True
e04ae55c0e10,spielberg_RACE,speed,string_in_numeric,detection,0.0024,True
9483f411c07c,spielberg_RACE,speed,string_in_numeric,detection,0.0022,True
b870d8c21359,spielberg_RACE,engine_temp,duplicate_timestamp,detection,0.0042,True
2f19eca144bb,spielberg_RACE,brake_temp_raw,schema_drift,detection,0.005,True
42a3a48099a7,spielberg_RACE,heart_rate,string_in_numeric,detection,0.0028,True
4bc5251c73a8,spielberg_RACE,speed,string_in_numeric,detection,0.0029,True
915928f320bf,spielberg_RACE,heart_rate_canbus,schema_drift,detection,0.0052,True
cbb6c55d9a1b,spielberg_RACE,aero_load,duplicate_timestamp,detection,0.0067,True
061f3f7445db,spielberg_RACE,ecu_canbus,duplicate_timestamp,detection,0.0043,True
86636e509091,spielberg_RACE,aero_load,string_in_numeric,detection,0.0021,True
079b1f2911dc,silverstone_FP1,throttle,string_in_numeric,detection,0.0026,True
6c73bb42c68a,silverstone_FP1,brake_temp,string_in_numeric,detection,0.0028,True
8627a5ce8e63,silverstone_FP1,aero_load_alt,schema_drift,detection,0.0049,True
ba9b59975234,silverstone_FP1,tyre_pressure,string_in_numeric,detection,0.0024,True
fd9175333214,silverstone_FP1,g_force_lateral,duplicate_timestamp,detection,0.0043,True
22c39512a8b7,silverstone_FP1,aero_load,string_in_numeric,detection,0.0022,True
1f226d5cd2a0,silverstone_FP2,heart_rate,string_in_numeric,detection,0.0027,True
2ea57023af8a,silverstone_FP2,aero_load_raw,schema_drift,detection,0.005,True
e83cc12f3980,silverstone_FP2,engine_temp,string_in_numeric,detection,0.0026,True
a29e695ef6ab,silverstone_FP2,throttle_raw,schema_drift,detection,0.0052,True
ee131fb1b6d4,silverstone_FP2,tyre_pressure,duplicate_timestamp,detection,0.0046,True
3dbaf778fcbc,silverstone_FP2,throttle,duplicate_timestamp,detection,0.0041,True
e98674fdc697,silverstone_FP2,throttle,duplicate_timestamp,detection,0.004,True
c5cd9820e6ae,silverstone_FP2,g_force_lateral,duplicate_timestamp,detection,0.0046,True
9db8f6b34d7d,silverstone_FP2,heart_rate_v2,schema_drift,detection,0.0171,True
c35f923d398f,silverstone_FP2,ecu_canbus,string_in_numeric,detection,0.0028,True
a349d1352662,silverstone_FP2,throttle,duplicate_timestamp,detection,0.005,True
7345a8d7778e,silverstone_FP2,speed_canbus,schema_drift,detection,0.0051,True
d91cd9cb12e7,silverstone_FP2,g_force_lateral,duplicate_timestamp,detection,0.0043,True
132c60f294f4,silverstone_FP3,speed,duplicate_timestamp,detection,0.0048,True
5a0ec59e3c0b,silverstone_FP3,tyre_pressure,duplicate_timestamp,detection,0.0043,True
207a220da013,silverstone_FP3,speed,string_in_numeric,detection,0.0027,True
a86ed1389bae,silverstone_FP3,speed,string_in_numeric,detection,0.0027,True
adc550c99d78,silverstone_FP3,speed,string_in_numeric,detection,0.0028,True
8a0bb58261b9,silverstone_FP3,ecu_canbus_canbus,schema_drift,detection,0.0053,True
9bca8a443855,silverstone_FP3,brake_temp,string_in_numeric,detection,0.0026,True
e90a0527b971,silverstone_FP3,ecu_canbus,duplicate_timestamp,detection,0.0057,True
fff80ed832c9,silverstone_FP3,rpm,duplicate_timestamp,detection,0.0043,True
c679643bdb7d,silverstone_FP3,tyre_pressure_alt,schema_drift,detection,0.0053,True
17c5b2061175,silverstone_FP3,engine_temp_new,schema_drift,detection,0.0047,True
9f9e7c9e4f42,silverstone_FP3,speed,duplicate_timestamp,detection,0.0042,True
5231eb75c961,silverstone_FP3,speed_new,schema_drift,detection,0.0043,True
0c37f131ec97,silverstone_QUALI,rpm,duplicate_timestamp,detection,0.0046,True
7113acd14fc2,silverstone_QUALI,g_force_lateral,duplicate_timestamp,detection,0.0051,True
4f6ffecf6dde,silverstone_QUALI,engine_temp_new,schema_drift,detection,0.0047,True
4b1fb12906c2,silverstone_QUALI,tyre_pressure_v2,schema_drift,detection,0.0048,True
ebda247455ee,silverstone_QUALI,engine_temp_new,schema_drift,detection,0.0051,True
3523ce9fdbc6,silverstone_QUALI,g_force_lateral,duplicate_timestamp,detection,0.0056,True
abd526ddff4e,silverstone_QUALI,ecu_canbus,string_in_numeric,detection,0.0028,True
9d30ace90d64,silverstone_QUALI,aero_load,string_in_numeric,detection,0.0033,True
623e54301279,silverstone_QUALI,rpm,duplicate_timestamp,detection,0.0043,True
db023cb2fb98,silverstone_RACE,g_force_lateral,string_in_numeric,detection,0.0026,True
876f631b252a,silverstone_RACE,tyre_pressure,string_in_numeric,detection,0.0023,True
c82b21a39f20,silverstone_RACE,ecu_canbus,string_in_numeric,detection,0.0025,True
7b47882d4f23,silverstone_RACE,throttle,string_in_numeric,detection,0.0024,True
6db82089eb19,silverstone_RACE,ecu_canbus,string_in_numeric,detection,0.0027,True
94f592623d01,silverstone_RACE,aero_load,string_in_numeric,detection,0.003,True
cc8b0b72e234,silverstone_RACE,brake_temp,string_in_numeric,detection,0.0029,True
332b1e7c7a88,silverstone_RACE,rpm_alt,schema_drift,detection,0.0054,True
dd93fdcb1e16,silverstone_RACE,engine_temp,string_in_numeric,detection,0.0031,True
550993d50ca9,budapest_FP1,g_force_lateral,string_in_numeric,detection,0.0028,True
1a2ce863f97c,budapest_FP1,brake_temp_v2,schema_drift,detection,0.0047,True
9ad26aef53c1,budapest_FP1,rpm,string_in_numeric,detection,0.0027,True
f8762d140b9c,budapest_FP1,rpm,string_in_numeric,detection,0.0026,True
244fbb852a28,budapest_FP1,heart_rate,string_in_numeric,detection,0.0024,True
