packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
1a396adc63e3,spielberg_FP1,speed,null_value,detection,0.005,True
5d78e60cf5fc,spielberg_FP1,rpm,bit_flip_low,detection,0.0126,True
187833dac511,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0067,True
c2f1c182e77e,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.005,True
fc5f540a9d58,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
2ff45c652a88,spielberg_FP1,rpm_new,schema_drift,detection,0.0066,True
3c75818e6744,spielberg_FP1,heart_rate,null_value,detection,0.0045,True
e116565ce422,spielberg_FP1,speed,bit_flip_high,detection,0.0086,True
8f4cc771fea0,spielberg_FP1,rpm,bit_flip_low,detection,0.0244,True
1be5bfeda72b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0073,True
30a5ae51518a,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0049,True
1c6d06395510,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0088,True
b54b0dfd595c,spielberg_FP1,brake_temp,bit_flip_low,detection,0.008,True
8019324bf37e,spielberg_FP1,aero_load,bit_flip_high,detection,0.0072,True
d34e73704f13,spielberg_FP1,g_force_lateral,null_value,detection,0.0046,True
ac1bca1af5f6,spielberg_FP1,tyre_pressure,null_value,detection,0.0043,True
a3fd74d0ad81,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0073,True
c0abb296fac7,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0059,True
20672ba4e734,spielberg_FP1,aero_load,sensor_dropout,detection,0.0043,True
ee07ebdebfdf,spielberg_FP1,throttle,bit_flip_low,detection,0.0085,True
953651a737d6,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0047,True
663c57d3e086,spielberg_FP1,aero_load,string_in_numeric,detection,0.0029,True
5269bba71b86,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.006,True
b51178d07b48,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0062,True
05614fc2d3da,spielberg_FP1,aero_load,bit_flip_high,detection,0.0089,True
b1934f3f415b,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0049,True
f67549101f44,spielberg_FP1,throttle,null_value,detection,0.0047,True
6070cc558a62,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0057,True
518241b7636f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0027,True
2ad2e97f875b,spielberg_FP1,throttle_alt,schema_drift,detection,0.0063,True
1ab1a7926f82,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0084,True
7197ca63db29,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0059,True
68753bcb073b,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0074,True
12c362a5e539,spielberg_FP1,rpm,null_value,detection,0.0046,True
96a67f2dc951,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0071,True
21c58ef183c2,spielberg_FP1,speed,null_value,detection,0.0046,True
1ac05ad7e9a7,spielberg_FP1,throttle,null_value,detection,0.0045,True
9b5dd2190f2b,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0041,True
bec2452dfd3c,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0072,True
4e77ee77ee31,spielberg_FP1,aero_load_raw,schema_drift,detection,0.006,True
13ff3e3bd106,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0054,True
a6a29ce9f9c2,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
9f7e8d686025,spielberg_FP1,aero_load,string_in_numeric,detection,0.0041,True
4e855fcf90c7,spielberg_FP1,rpm,string_in_numeric,detection,0.0032,True
69ad0cbf797d,spielberg_FP1,throttle,sensor_dropout,detection,0.0051,True
a4fdce542566,spielberg_FP1,aero_load,bit_flip_low,detection,0.009,True
faa1233e77b9,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0079,True
c459d9b767ce,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0069,True
833bf8d0b095,spielberg_FP1,heart_rate,bit_flip_low,detection,0.009,True
d5c58cc91ccb,spielberg_FP1,aero_load_new,schema_drift,detection,0.0064,True
badb9223edb7,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0092,True
3bca59716b11,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0092,True
a5bd3eefaade,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0057,True
ffb4537c6196,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0081,True
2f55bd638207,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
a177c3677b1a,spielberg_FP1,g_force_lateral,null_value,detection,0.0049,True
a2f0090d986c,spielberg_FP1,throttle,bit_flip_high,detection,0.0085,True
2106ef9290b7,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0074,True
951567733f37,spielberg_FP1,rpm,sensor_dropout,detection,0.005,True
8593c4fc6c35,spielberg_FP1,throttle,sensor_dropout,detection,0.0048,True
01e397401d5e,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0031,True
68e9915ff350,spielberg_FP1,heart_rate,null_value,detection,0.0047,True
10fcb9e75571,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0089,True
fac802d5f819,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0066,True
1a5488d11756,spielberg_FP1,rpm,sensor_dropout,detection,0.0047,True
06ef38430577,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0059,True
dba52d289950,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.006,True
28edba026f32,spielberg_FP1,brake_temp,null_value,detection,0.0045,True
d22288533b12,spielberg_FP1,speed,bit_flip_low,detection,0.0082,True
e0a32ee41ec4,spielberg_FP1,aero_load,sensor_dropout,detection,0.0047,True
de46004de8dc,spielberg_FP1,rpm_alt,schema_drift,detection,0.0067,True
8c3f72e6eb3d,spielberg_FP1,speed,string_in_numeric,detection,0.0039,True
240a9b50c600,spielberg_FP1,rpm,bit_flip_high,detection,0.0103,True
59765b85db8a,spielberg_FP1,throttle_new,schema_drift,detection,0.0072,True
1534f18776e1,spielberg_FP1,tyre_pressure,null_value,detection,0.0049,True
24f83e624741,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0031,True
faad2fbaf7ec,spielberg_FP1,throttle,bit_flip_high,detection,0.0083,True
910f1aab2ebb,spielberg_FP1,speed_canbus,schema_drift,detection,0.0077,True
3d294056e6da,spielberg_FP1,g_force_lateral,null_value,detection,0.0047,True
812d705c138a,spielberg_FP1,throttle_canbus,schema_drift,detection,0.008,True
b86237ebeb9a,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0092,True
77389873b87c,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0077,True
fbc4af14aacc,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0051,True
2938a568fe4d,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0043,True
0c65061ca9f1,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0051,True
87aeeefa3e75,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0081,True
3716d95dcdeb,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0047,True
1aefed58db35,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0072,True
1aff5981f7be,spielberg_FP1,rpm,null_value,detection,0.0045,True
93ada52fda8f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0031,True
26b8699b020c,spielberg_FP1,throttle,bit_flip_low,detection,0.0086,True
4451608dcf80,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0055,False
de00ce74fd66,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0036,True
bb850a71b789,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0054,True
