packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e03f598e602f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0027,False
f398c7fea9e8,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0017,False
5c6f1e3febd4,spielberg_FP1,speed,sensor_dropout,detection,0.0012,True
9214f18f789e,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0055,True
5ec186f44fe7,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0017,False
5fac4dbecafa,spielberg_FP1,speed,bit_flip_high,detection,0.0038,True
c6771eeb643f,spielberg_FP1,tyre_pressure,null_value,detection,0.0011,True
5e2f52f4d2be,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
2206ab24934b,spielberg_FP1,aero_load,bit_flip_high,detection,0.0038,True
eef7e775d28c,spielberg_FP1,rpm,string_in_numeric,detection,0.0013,True
ae88afedfed7,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0012,False
71b1ae74c86e,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0016,False
8569554dee61,spielberg_FP1,speed,sensor_dropout,detection,0.0012,True
5b7795b16f0f,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0026,False
d44aa84b4e0e,spielberg_FP1,speed,null_value,detection,0.0011,True
a1f18a2481bf,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0041,True
4557d2057d1b,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0035,True
3419d3abd61c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0013,True
cd5dc674bd1e,spielberg_FP1,brake_temp,sensor_dropout,detection,0.001,True
fb16cbaf5689,spielberg_FP1,throttle,null_value,detection,0.0009,True
d8721d762970,spielberg_FP1,aero_load,bit_flip_high,detection,0.0043,True
3c01e2e00f26,spielberg_FP1,rpm,sensor_dropout,detection,0.0008,True
4a3dfdab8f47,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0034,True
0ddcf179d8a8,spielberg_FP1,brake_temp,sensor_dropout,detection,0.001,True
4e7a42e18bf0,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0015,False
e8702e707455,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0015,False
eba75a1ae0fa,spielberg_FP1,rpm_new,schema_drift,detection,0.0018,False
940331e1ffaa,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0016,False
d1fe8a637017,spielberg_FP1,aero_load,bit_flip_high,detection,0.0038,True
844f693af740,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0023,False
ab54b19890f8,spielberg_FP1,ecu_canbus,null_value,detection,0.0013,True
7b07aeccd789,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0041,True
4802e301868c,spielberg_FP1,speed,sensor_dropout,detection,0.001,True
b3647a3b0871,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0015,False
3c707582d3c9,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0018,False
3366c5282ab0,spielberg_FP1,speed_v2,schema_drift,detection,0.0017,False
182303a5520c,spielberg_FP1,rpm,bit_flip_low,detection,0.005,True
16631d7a4da2,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0013,True
aed5fe84daed,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0011,True
864b63dd8301,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0012,False
b71cc804b0d6,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0012,True
f8833c6638fb,spielberg_FP1,rpm,string_in_numeric,detection,0.0014,True
33ad6784137f,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0046,True
71d092e8bca1,spielberg_FP1,engine_temp,sensor_dropout,detection,0.001,True
7ef1387d0e62,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0043,True
5da0606103df,spielberg_FP1,g_force_lateral,null_value,detection,0.0011,True
15c4aa23cf77,spielberg_FP1,throttle,string_in_numeric,detection,0.0013,True
be881325c919,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0018,False
a991e9e293dc,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0013,False
01edc28a6dd7,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0013,False
052da69876cf,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0017,False
692fa3b33888,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0012,True
14eb0bdf1297,spielberg_FP1,ecu_canbus,null_value,detection,0.0009,True
ef9c4ebcdc9a,spielberg_FP1,rpm_raw,schema_drift,detection,0.0022,False
b4bc9fbe5840,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.001,True
b682828058cb,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0041,True
7d83e72259cf,spielberg_FP1,speed_canbus,schema_drift,detection,0.0017,False
e8f6a7f5b551,spielberg_FP1,rpm,sensor_dropout,detection,0.0011,True
3c343b85e074,spielberg_FP1,speed,duplicate_timestamp,detection,0.0015,False
4de3ffdc1a5e,spielberg_FP1,tyre_pressure,null_value,detection,0.0011,True
81bf16efd683,spielberg_FP1,throttle_alt,schema_drift,detection,0.0016,False
19864c658133,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0012,True
be81acc5999c,spielberg_FP1,speed,string_in_numeric,detection,0.0011,True
1fd8740a479c,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0009,True
4710768ff47e,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0011,True
3adc16b88fa2,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0009,True
052d5b97e0e8,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0045,True
12bbbd833dd3,spielberg_FP1,throttle,sensor_dropout,detection,0.0008,True
e47fd2cf62dd,spielberg_FP1,aero_load,null_value,detection,0.0009,True
55e5a926735e,spielberg_FP1,ecu_canbus,null_value,detection,0.0007,True
1566fc7b494d,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0006,True
1393e0c93787,spielberg_FP1,throttle,bit_flip_high,detection,0.0043,True
f6b070ee9db5,spielberg_FP1,rpm,duplicate_timestamp,detection,0.002,False
e70bd752aacf,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0036,True
be901007df6a,spielberg_FP1,rpm,bit_flip_low,detection,0.0038,True
334c91b90c2b,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0009,True
f54a7c4e19e3,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0031,True
d539fe422793,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0013,True
84589d7414fa,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0014,True
085666810859,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0036,True
4fc9b598cf7a,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0012,False
6de0c4201774,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0011,True
0c76e5a4ad67,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0016,False
5f842934ed06,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0047,True
51d5b6856511,spielberg_FP1,rpm,bit_flip_high,detection,0.0038,True
246d35e31455,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0012,True
167e127e93ef,spielberg_FP1,throttle,bit_flip_high,detection,0.0039,True
d6f00583b9b8,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0014,False
a5145496247a,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.001,False
8f8b3125c198,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0012,True
67037e991d84,spielberg_FP1,engine_temp,string_in_numeric,detection,0.001,True
a1d3f7e80d3e,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0018,False
0c09ab965030,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0012,True
6f46ccefde41,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0014,False
