packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
75a2e2aa4f47,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
e42f08e35680,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0057,True
3f91f8748602,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0032,True
3576ae9fecfa,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0059,True
e1c4f1d1f1f1,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0054,True
94e0d90f5318,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0052,True
be3b85a2a414,spielberg_FP1,aero_load,string_in_numeric,detection,0.0033,True
479c80479c9c,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0032,True
956bad402366,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0049,True
e16e027e751b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0033,True
c4af433e6597,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0053,True
9e642399627a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0051,True
b326f09757b2,spielberg_FP1,aero_load,string_in_numeric,detection,0.0035,True
9a06529557fe,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0068,True
6cfd1ed772d4,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0062,True
1c91cc4f4192,spielberg_FP1,throttle_raw,schema_drift,detection,0.0063,True
2998527cca2c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0065,True
c051b69c131e,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0066,True
f0649c298aea,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0032,True
104ccfc57e71,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0051,True
a1997d77c0dd,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0062,True
4a032e75ce76,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0054,True
a665118c102b,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.006,True
008f797e0c6a,spielberg_FP1,speed_v2,schema_drift,detection,0.0071,True
fcca5fffafe8,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0059,True
de34940a1a85,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
0c208c1f7093,spielberg_FP1,aero_load,string_in_numeric,detection,0.0031,True
10349aeb0ada,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0058,True
ebaa8fb5a8af,spielberg_FP1,throttle_raw,schema_drift,detection,0.0072,True
7f9ba0512de6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0029,True
eee1ace89766,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0065,True
1fd42b0f76f1,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0058,True
3b817c541261,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0062,True
f14ab0a9e5db,spielberg_FP1,rpm_new,schema_drift,detection,0.0063,True
70e218451e3e,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0036,True
739ce5b49278,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0068,True
ac3bbc7159da,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0069,True
f7df5c118c61,spielberg_FP1,aero_load,string_in_numeric,detection,0.0032,True
f3a47b002e7e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.006,True
59dae1c82a1b,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0067,True
714fc8da37f1,spielberg_FP1,aero_load,string_in_numeric,detection,0.0035,True
51e79df4fac0,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0058,True
64bcf74b04a2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0053,True
0ef72c980b14,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0029,True
210dec077521,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0039,True
