packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
d5462cd02868,spielberg_FP1,speed_v2,schema_drift,detection,0.0063,True
f6dbd0ed62e2,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0065,True
9c577a5ca48e,spielberg_FP1,rpm,string_in_numeric,detection,0.0031,True
8e06307f8000,spielberg_FP1,throttle_new,schema_drift,detection,0.0064,True
0ebc4694aa15,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.006,True
7006e0b4e642,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0074,True
54d0cd63b01b,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0061,True
b24f1de45f45,spielberg_FP2,throttle,string_in_numeric,detection,0.0029,True
55d685e06cf4,spielberg_FP2,speed,duplicate_timestamp,detection,0.005,True
4bd870337904,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.0033,True
53d847941c1f,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0036,True
3b37d27a52b7,spielberg_FP2,aero_load,string_in_numeric,detection,0.003,True
a423c20d3ca4,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0089,True
ad76ac2d4917,spielberg_FP2,rpm,string_in_numeric,detection,0.0035,True
d9b019e96d07,spielberg_FP2,heart_rate_canbus,schema_drift,detection,0.0063,True
0e8917491088,spielberg_FP2,tyre_pressure_new,schema_drift,detection,0.0067,True
9e75ed3e41a9,spielberg_FP2,speed,string_in_numeric,detection,0.0035,True
e95981e6359e,spielberg_FP3,g_force_lateral,string_in_numeric,detection,0.0031,True
075bc132a29d,spielberg_FP3,speed_new,schema_drift,detection,0.0067,True
fda421916e60,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.003,True
f46f3daeecac,spielberg_FP3,brake_temp,string_in_numeric,detection,0.004,True
6e5d0bbf1769,spielberg_FP3,tyre_pressure,duplicate_timestamp,detection,0.0059,True
878d5a2d8a1b,spielberg_FP3,speed_new,schema_drift,detection,0.007,True
1a8c41a5d89b,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.0032,True
b8c1de8a7312,spielberg_FP3,throttle,string_in_numeric,detection,0.0033,True
870539001b13,spielberg_FP3,heart_rate,duplicate_timestamp,detection,0.0066,True
eb6df2edfbde,spielberg_FP3,rpm,string_in_numeric,detection,0.0031,True
a3ea7965326e,spielberg_FP3,heart_rate_raw,schema_drift,detection,0.0067,True
81787cde5c67,spielberg_FP3,throttle_v2,schema_drift,detection,0.0069,True
efa533db0b7a,spielberg_QUALI,ecu_canbus,duplicate_timestamp,detection,0.0053,True
af2baa4efee0,spielberg_QUALI,g_force_lateral,duplicate_timestamp,detection,0.0144,True
ff68192d92e2,spielberg_QUALI,tyre_pressure,duplicate_timestamp,detection,0.0058,True
228f9378a30c,spielberg_QUALI,throttle,duplicate_timestamp,detection,0.0061,True
36c2530175a2,spielberg_QUALI,brake_temp_raw,schema_drift,detection,0.0059,True
a68ede525330,spielberg_QUALI,aero_load_new,schema_drift,detection,0.0066,True
758fb9f2db3b,spielberg_QUALI,brake_temp,string_in_numeric,detection,0.0032,True
7bd93d87df7b,spielberg_QUALI,engine_temp,string_in_numeric,detection,0.0035,True
7ab0622ef8c7,spielberg_RACE,brake_temp,duplicate_timestamp,detection,0.0053,True
dd99d2d2d738,spielberg_RACE,speed,string_in_numeric,detection,0.0029,True
d0c158e77b69,spielberg_RACE,engine_temp_new,schema_drift,detection,0.006,True
abaa90354f06,spielberg_RACE,g_force_lateral_v2,schema_drift,detection,0.0064,True
8af99222804f,spielberg_RACE,aero_load,string_in_numeric,detection,0.0032,True
e90577aa620f,silverstone_FP1,heart_rate,duplicate_timestamp,detection,0.0042,True
d7713da620aa,silverstone_FP1,tyre_pressure,duplicate_timestamp,detection,0.0067,True
4cc3d5bb1b24,silverstone_FP1,brake_temp,string_in_numeric,detection,0.0034,True
03b289890675,silverstone_FP1,brake_temp,duplicate_timestamp,detection,0.0054,True
416bc339c0d3,silverstone_FP1,g_force_lateral,string_in_numeric,detection,0.0034,True
4461383c0f72,silverstone_FP1,engine_temp,string_in_numeric,detection,0.0086,True
f635a5999d1c,silverstone_FP1,rpm_v2,schema_drift,detection,0.0063,True
f36e115a0459,silverstone_FP1,ecu_canbus,string_in_numeric,detection,0.0033,True
e208407f4d37,silverstone_FP1,speed,duplicate_timestamp,detection,0.0052,True
b851baf9dd35,silverstone_FP1,aero_load,duplicate_timestamp,detection,0.0058,True
52dba907b491,silverstone_FP1,g_force_lateral,duplicate_timestamp,detection,0.0056,True
