=== MISSED DETECTIONS BY SENSOR ===
sensor_id,miss_count,total_injected,miss_rate
ecu_canbus,19,764,0.0249
g_force_lateral,1,730,0.0014

=== MISSED DETECTIONS BY CHAOS MODE ===
chaos_mode,miss_count,total_injected,miss_rate
bit_flip_low,16,1026,0.0156
bit_flip_high,4,981,0.0041

=== MISSED DETECTIONS BY SESSION ===
session,miss_count,total_injected,miss_rate
budapest_FP3,4,494,0.0081
budapest_QUALI,4,474,0.0084
budapest_FP2,2,494,0.0040
silverstone_FP1,2,475,0.0042
silverstone_FP3,2,522,0.0038
silverstone_RACE,2,500,0.0040
spielberg_QUALI,2,497,0.0040
silverstone_FP2,1,481,0.0021
silverstone_QUALI,1,494,0.0020

=== MISSED DETECTIONS BY SENSOR + CHAOS MODE ===
sensor_id,chaos_mode,miss_count,total_injected,miss_rate
ecu_canbus,bit_flip_low,16,106,0.1509
ecu_canbus,bit_flip_high,3,120,0.0250
g_force_lateral,bit_flip_high,1,105,0.0095
