packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
69bfcaf753ee,spielberg_FP1,heart_rate,null_value,detection,0.0054,True
b0e0c5500b8c,spielberg_FP1,rpm,bit_flip_low,detection,0.0095,True
058e5c78bcb4,spielberg_FP1,speed,string_in_numeric,detection,0.0038,True
a030340cde48,spielberg_FP1,throttle,bit_flip_low,detection,0.0086,True
4c519bc8e855,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.008,True
739c7244acd6,spielberg_FP1,throttle,bit_flip_high,detection,0.0076,True
a07e1384ee67,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0046,True
91f5569dea3c,spielberg_FP1,throttle,null_value,detection,0.0042,True
76a0147e7649,spielberg_FP1,aero_load,sensor_dropout,detection,0.0049,True
c5dd582dfa14,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.007,True
8711b330a193,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0054,False
a8656a2b6e70,spielberg_FP1,speed,null_value,detection,0.0044,True
8ff44a2f8e88,spielberg_FP1,rpm,bit_flip_high,detection,0.0133,True
9d0ee8d1914a,spielberg_FP1,aero_load,null_value,detection,0.0042,True
d39d122cec07,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0091,True
8d20b9015dc8,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.008,True
c62a7bda4d8c,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0072,True
9010a24c1ae2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0031,True
5aede334c834,spielberg_FP1,rpm,bit_flip_high,detection,0.0079,True
1369918515c2,spielberg_FP1,speed,string_in_numeric,detection,0.003,True
42108cc5d8c0,spielberg_FP1,brake_temp_new,schema_drift,detection,0.007,True
631f902d9656,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0055,True
ed4ddc1899a7,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0052,True
b635bf5af2eb,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0054,True
92150969b720,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0059,True
65c9a2cfcbe8,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0087,True
42b3c5233fbc,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0045,True
1a4d0fbd4228,spielberg_FP1,heart_rate,null_value,detection,0.0037,True
f920c5922e66,spielberg_FP1,speed,null_value,detection,0.005,True
94b62e4d999d,spielberg_FP1,engine_temp,null_value,detection,0.0065,True
9ce187837377,spielberg_FP1,g_force_lateral,null_value,detection,0.0049,True
f7d67de52f91,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0056,True
784f23ab31ad,spielberg_FP1,brake_temp,bit_flip_high,detection,0.009,True
fdb221b082b1,spielberg_FP1,rpm,null_value,detection,0.0048,True
