packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
784957acd914,spielberg_FP1,rpm_v2,schema_drift,detection,0.0071,True
3e43b6a41814,spielberg_FP1,aero_load,string_in_numeric,detection,0.0037,True
58178db7046e,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0094,True
fc2b435eb4f8,spielberg_FP1,speed,sensor_dropout,detection,0.0051,True
cf8dd1120625,spielberg_FP1,throttle,sensor_dropout,detection,0.0051,True
0b3965e7e4b9,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0087,True
0a9dc22ee294,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0078,True
f82397a8e2fd,spielberg_FP1,rpm_new,schema_drift,detection,0.0063,True
5a79e3f33baa,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0088,True
eb388850ec13,spielberg_FP1,aero_load,bit_flip_low,detection,0.008,True
731ffd2be0f7,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.008,True
0c4c74b1e1a5,spielberg_FP1,g_force_lateral,null_value,detection,0.0046,True
a874a4f32a26,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0089,True
82d0673b648e,spielberg_FP1,speed,string_in_numeric,detection,0.0032,True
4f32bab00121,spielberg_FP1,rpm,bit_flip_high,detection,0.009,True
d419345123cb,spielberg_FP1,speed_canbus,schema_drift,detection,0.0081,True
d4bfe1830fdd,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0065,True
301e5d7a5ce1,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0062,True
cdb11d0f1d94,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0049,True
9480b22f6e78,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0089,True
9978fb897956,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0073,True
176cd87c2e3e,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.005,True
4a62498afca4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0033,True
f1e6e2be6029,spielberg_FP1,aero_load,sensor_dropout,detection,0.0047,True
b1296bf97234,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0083,True
a11619040ec0,spielberg_FP1,g_force_lateral,null_value,detection,0.0062,True
d47d3d3ab883,spielberg_FP1,throttle,string_in_numeric,detection,0.0031,True
0214c1630b5d,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0053,True
cc59fcbfe9de,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0091,True
4795992a7497,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0048,True
9a82f5750f77,spielberg_FP1,throttle,bit_flip_high,detection,0.0089,True
f17f7d201a09,spielberg_FP1,rpm,bit_flip_high,detection,0.0077,True
09fefe10fc98,spielberg_FP1,speed,duplicate_timestamp,detection,0.0047,True
e5485c804376,spielberg_FP1,throttle_v2,schema_drift,detection,0.0068,True
5ec65db06471,spielberg_FP1,brake_temp,sensor_dropout,detection,0.005,True
4c4b5c4394e4,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0059,True
221baecaf086,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0047,True
1964bea8da14,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.005,True
5d54d92e0006,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0092,True
f0cbe965cd30,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0043,True
3ab45236119b,spielberg_FP1,aero_load,string_in_numeric,detection,0.003,True
fb089f241103,spielberg_FP1,throttle,bit_flip_low,detection,0.0086,True
a638743b686d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
4e0353fb9158,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0064,True
aab5b23088a9,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0136,True
6fb227d59756,spielberg_FP1,speed,null_value,detection,0.005,True
dc5758dad279,spielberg_FP1,engine_temp,null_value,detection,0.0049,True
304c847a0413,spielberg_FP1,throttle,bit_flip_high,detection,0.0091,True
10ad94f96ea9,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.006,True
0f58ebff9914,spielberg_FP1,speed,string_in_numeric,detection,0.0033,True
9b58213b4e4a,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0055,True
65192894afe9,spielberg_FP1,speed,string_in_numeric,detection,0.0034,True
74e5bb712598,spielberg_FP1,speed,string_in_numeric,detection,0.0032,True
bb8391ca6d54,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0033,True
a917752754be,spielberg_FP1,rpm,bit_flip_high,detection,0.0095,True
f625a4cd3ac7,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0043,True
1a1c14d895f0,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0052,True
f1056de165b9,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0032,True
e2698c6fa485,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0031,True
98c8ae283cd2,spielberg_FP1,rpm,string_in_numeric,detection,0.003,True
4272d03b1831,spielberg_FP1,speed,null_value,detection,0.0054,True
94c91131929f,spielberg_FP1,tyre_pressure,null_value,detection,0.0054,True
6d51032d8df0,spielberg_FP1,speed,bit_flip_high,detection,0.0087,True
9e98200c4d28,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0065,True
7e60cd778f01,spielberg_FP1,throttle,string_in_numeric,detection,0.0039,True
540f3a1958d1,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0089,True
c715d2f6513b,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0031,True
1950c7912fd1,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0059,True
acaf737d3659,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0054,True
d602f69dc582,spielberg_FP1,speed,bit_flip_low,detection,0.0092,True
da25738d10fe,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0057,True
bbee87196947,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0058,True
6e8ad780d68b,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0032,True
7c71dacc644c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0052,True
d7ed40b13d23,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0033,True
