packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
df27bde516d0,spielberg_FP1,aero_load,bit_flip_high,detection,0.0131,True
b30caa359e53,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0292,True
e3cfa0584ad9,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0083,True
46bc90fb389a,spielberg_FP1,rpm,bit_flip_low,detection,0.0084,True
ff2a270f8aed,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0066,True
3d7a2b22ded9,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0068,True
674fb43a4d53,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0051,True
fcffaee6260d,spielberg_FP1,aero_load,bit_flip_low,detection,0.0086,True
8e7f50ee7bb1,spielberg_FP1,aero_load,sensor_dropout,detection,0.0047,True
18e9ab3a0a3c,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0052,True
c03300f4d3ff,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0077,True
1a78e21646ce,spielberg_FP1,speed,sensor_dropout,detection,0.0047,True
bfeb13a9cd2d,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0054,True
bb1c238fc3c1,spielberg_FP1,ecu_canbus,null_value,detection,0.0046,True
ad2df1b2653f,spielberg_FP1,throttle_v2,schema_drift,detection,0.0086,True
93bb873e013e,spielberg_FP1,speed_alt,schema_drift,detection,0.0062,True
a543256e976c,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0087,True
21edc735b392,spielberg_FP1,tyre_pressure,null_value,detection,0.0047,True
f1c3f0cdeaef,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0066,True
7e566c59dcb7,spielberg_FP1,rpm,null_value,detection,0.0045,True
8b9d618b2855,spielberg_FP1,brake_temp,null_value,detection,0.0042,True
1a93ccc9d551,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0058,True
8180db2f519d,spielberg_FP1,rpm,string_in_numeric,detection,0.0031,True
08f54e39c5ae,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0058,True
359d7b06af23,spielberg_FP1,speed,null_value,detection,0.0067,True
2b33b3f2d29b,spielberg_FP1,speed,bit_flip_high,detection,0.0094,True
64652416aaf3,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0084,True
baa6d89ef33c,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0049,True
aa02b5b0f209,spielberg_FP1,speed,bit_flip_low,detection,0.0072,True
60ed6af8f6cf,spielberg_FP1,rpm,bit_flip_high,detection,0.0066,True
d7789f6c6caf,spielberg_FP1,engine_temp,null_value,detection,0.0066,True
9763b826aa37,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0093,True
3be79e500aca,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0083,True
0b02c4fb5d28,spielberg_FP1,engine_temp,null_value,detection,0.0046,True
0833058f8ee6,spielberg_FP1,tyre_pressure,null_value,detection,0.0043,True
59339c209ccd,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0042,True
6d9946f191d9,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0032,True
9e74e10ee0e3,spielberg_FP1,speed,bit_flip_high,detection,0.008,True
d7585a09fd4e,spielberg_FP1,throttle,bit_flip_low,detection,0.007,True
708011a6f94b,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.008,True
cdda50f88913,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0029,True
1393d5061853,spielberg_FP1,throttle,sensor_dropout,detection,0.0054,True
2d35690397b8,spielberg_FP1,speed,duplicate_timestamp,detection,0.0059,True
0f98afba3809,spielberg_FP1,engine_temp,null_value,detection,0.0049,True
4a9543c772da,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0066,True
6cae375022e7,spielberg_FP1,heart_rate,null_value,detection,0.0044,True
3fe99ccdc04d,spielberg_FP1,throttle,sensor_dropout,detection,0.0044,True
09e4030badc6,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0088,True
2d3c3c11752b,spielberg_FP1,speed,duplicate_timestamp,detection,0.005,True
e38707a193d6,spielberg_FP1,aero_load,bit_flip_high,detection,0.0091,True
12676a15e03c,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0047,True
624bd060be14,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0046,True
4005e78888fb,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0161,True
ae16be0642dc,spielberg_FP1,throttle,null_value,detection,0.0044,True
0cc39bdef6f6,spielberg_FP1,aero_load,sensor_dropout,detection,0.0037,True
9cbfac8911aa,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0056,True
03cbe8172c20,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0077,True
023c6ad202e1,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0068,True
fc35f50150dc,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0088,True
939bf38c2fdc,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0064,True
09d7e892ff0b,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0054,True
9d4b696ecabd,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0061,True
8af0957fed88,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0057,True
072faf8c2fa4,spielberg_FP1,throttle_raw,schema_drift,detection,0.0068,True
9f2fc200b2e3,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
e029ce597435,spielberg_FP1,speed,sensor_dropout,detection,0.005,True
1ca8d6ba2bc3,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.006,True
85a54df72a17,spielberg_FP1,heart_rate,null_value,detection,0.0051,True
9ea4b2c824fa,spielberg_FP1,speed,string_in_numeric,detection,0.0034,True
f689f4f2b435,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0062,True
e779df2e8e49,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0082,True
fa29c73eccaa,spielberg_FP1,aero_load,sensor_dropout,detection,0.0043,True
7a6df67bcfcc,spielberg_FP1,rpm,bit_flip_high,detection,0.0076,True
d2e37be487ef,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0087,True
aac611e0ea22,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0084,True
f494be223324,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0054,True
3862108b0856,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0064,True
b8dc73caf5e9,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0061,True
1f0ed443dc77,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0064,True
47223f922104,spielberg_FP1,speed,bit_flip_low,detection,0.0087,True
37f84e169c1d,spielberg_FP1,aero_load,null_value,detection,0.0042,True
76490c349d68,spielberg_FP1,rpm,string_in_numeric,detection,0.003,True
4c8faaef7da8,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0064,True
0291835511ed,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0064,True
8ea6f73f7cf3,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0034,True
5093abde4add,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0067,True
60562ebc2f23,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0094,True
50b176ecc170,spielberg_FP1,throttle,bit_flip_high,detection,0.0086,True
d7fd0da98325,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0061,True
aa3bc9453411,spielberg_FP1,speed_canbus,schema_drift,detection,0.0065,True
86723e6fa768,spielberg_FP1,rpm,bit_flip_low,detection,0.0095,True
cb64f0919342,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0034,True
0c412d8855ba,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0052,True
6101364d5354,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0419,True
d21ca29343f1,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.004,True
1172e2dd43be,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0077,True
0e452302a56f,spielberg_FP1,g_force_lateral,null_value,detection,0.004,True
cf37501070ea,spielberg_FP1,rpm,bit_flip_low,detection,0.0073,True
c2d6e1a2a6fb,spielberg_FP1,throttle,duplicate_timestamp,detection,0.005,True
10dd93a6bf03,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0076,True
70804deb53cc,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0077,True
1b9104a84569,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0071,True
884fd5ef2d63,spielberg_FP1,throttle,null_value,detection,0.0064,True
6ce8933b01c2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0047,True
c6dad50bcb88,spielberg_FP1,rpm,string_in_numeric,detection,0.0029,True
08cd12c3dd7c,spielberg_FP1,rpm,string_in_numeric,detection,0.0033,True
c5868af36438,spielberg_FP1,heart_rate,null_value,detection,0.0048,True
61044870c142,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0033,True
