packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3d81db16be73,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0076,True
28125cb53a0e,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0037,True
c64165e30e04,spielberg_FP1,rpm_raw,schema_drift,detection,0.0064,True
a5aaa79201b0,spielberg_FP1,speed,string_in_numeric,detection,0.0033,True
1559fcd9e6a5,spielberg_FP1,rpm,duplicate_timestamp,detection,0.006,True
e94e8dd92510,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0034,True
36a04b564576,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0067,True
8a50767686f1,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0051,True
d938dd5f2952,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0066,True
1a72f3b681e0,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0051,True
9b57a1ccd531,spielberg_FP1,throttle,duplicate_timestamp,detection,0.005,True
74ac1fe4b004,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0069,True
ccffce678c03,spielberg_FP1,rpm,duplicate_timestamp,detection,0.006,True
c5fe14a3ac4f,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0048,True
c00d4b8ddda1,spielberg_FP1,speed,duplicate_timestamp,detection,0.0053,True
e054f501e5cf,spielberg_FP1,engine_temp,string_in_numeric,detection,0.003,True
98e84087765a,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0055,True
4ae6ac21cf2d,spielberg_FP1,speed,string_in_numeric,detection,0.0033,True
53054fae7192,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0031,True
312e3d02127f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0033,True
35a0ecdfba89,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0054,True
66a1b47a1b06,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0055,True
2826f11469d8,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0035,True
7b0333229bdd,spielberg_FP1,speed,string_in_numeric,detection,0.004,True
fbac52152e3d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0034,True
bf8575d6f99f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0061,True
bd02c74ac957,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0033,True
5f650242583a,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0069,True
77cf60e01503,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0054,True
339cb25c9a50,spielberg_FP1,aero_load,string_in_numeric,detection,0.003,True
74cc5b4aad7d,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0055,True
7f251628fd7c,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0066,True
5e02dadce714,spielberg_FP1,aero_load_raw,schema_drift,detection,0.007,True
786ebbe5af88,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0058,True
0325cd711036,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0071,True
cb759ee8e7c0,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0067,True
dc28a58fc6f5,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0055,True
f61980bffac6,spielberg_FP1,speed,string_in_numeric,detection,0.0032,True
7eba4f179f33,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0061,True
f4040c7f349f,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0058,True
4883b93366bb,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0071,True
6bbc00337586,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0053,True
c2d8c4afa77b,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0037,True
d0c4379d11f1,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0065,True
24df0bb57a9a,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0037,True
65385e3b0371,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0027,True
ce35eb01682e,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0052,True
7019c020ed3a,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0062,True
88607b4dfe87,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0065,True
7b4078d68474,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0059,True
e852a6440710,spielberg_FP1,aero_load,string_in_numeric,detection,0.0033,True
181815e38992,spielberg_FP1,throttle_alt,schema_drift,detection,0.0067,True
703905b99a10,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0056,True
b2da798072d6,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0034,True
311812b9e5ad,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0029,True
eda864ac042d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0054,True
4984aca17314,spielberg_FP1,throttle,string_in_numeric,detection,0.0043,True
aa78334a2021,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0051,True
13de1bb697f1,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0034,True
73423cea5fe0,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0073,True
e8127c5f13c2,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0071,True
644920d5bc69,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0066,True
136ccd0d590b,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0059,True
68de0f95e47d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0035,True
1e22f6df77c2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0042,True
65d7fa732c02,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0525,True
