packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
04fd7098128a,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0071,True
677bfc98a05e,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0057,True
37aa1db711d8,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0065,True
d22d4c8bcc5e,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0062,True
b9ba209bc67c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0059,True
7f9b348bf28c,spielberg_FP1,throttle,string_in_numeric,detection,0.0034,True
c0982cf05bb9,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0062,True
6ac8028e0a91,spielberg_FP1,throttle_v2,schema_drift,detection,0.0058,True
2cf85fee95e2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0057,True
f875d682a2e2,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0031,True
46aeb71122bf,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0064,True
66f1d9fc5ccc,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0034,True
2ffecb6542dd,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0036,True
4b4e2340d150,spielberg_FP1,speed_alt,schema_drift,detection,0.0063,True
4e3c0a50c53c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0057,True
af385ff8bab8,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0053,True
017bc9c05993,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0036,True
17a6e8201777,spielberg_FP1,throttle_alt,schema_drift,detection,0.0066,True
930db83a157e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0032,True
ec65a754e42d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0032,True
69637db301d7,spielberg_FP1,rpm_alt,schema_drift,detection,0.0068,True
8ef3288a84c3,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0062,True
7b9ec3b0fbc3,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0065,True
68f9ef1d204f,spielberg_FP1,throttle,string_in_numeric,detection,0.0042,True
40bd60ae271c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0029,True
2aeab40187c1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0069,True
d2f9f1619c6c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0059,True
d90bbe112206,spielberg_FP1,aero_load,string_in_numeric,detection,0.004,True
6f9c94ab02b8,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0041,True
ab5ab42679e4,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0052,True
db275a3c91ae,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0034,True
213db8d4f020,spielberg_FP1,speed,duplicate_timestamp,detection,0.0056,True
960927a645c0,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0053,True
2cdc30579ff7,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0036,True
f19d1cd85b89,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0034,True
dd8ec6d1bf35,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0032,True
8213135435e9,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0069,True
ee9dad423c23,spielberg_FP1,rpm,string_in_numeric,detection,0.0038,True
f0c4105b8d40,spielberg_FP1,rpm_alt,schema_drift,detection,0.0081,True
e2f4b143c35c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0056,True
a59e15505799,spielberg_FP1,rpm_v2,schema_drift,detection,0.0064,True
7c5601dddda8,spielberg_FP1,speed,duplicate_timestamp,detection,0.0198,True
ed1d853d2295,spielberg_FP1,rpm,string_in_numeric,detection,0.0026,True
dc2f1b81bcb7,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0057,True
02efc486eb28,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0062,True
468e75950d93,spielberg_FP1,speed_raw,schema_drift,detection,0.0066,True
04ac03aac234,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0031,True
b9bcb88965a6,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0069,True
3722d5aabe05,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0056,True
16fc9dda0ef8,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0055,True
62481aecf6ac,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0062,True
4d5b24c93869,spielberg_FP1,throttle_v2,schema_drift,detection,0.0068,True
dfc23b25a56d,spielberg_FP1,speed,string_in_numeric,detection,0.0032,True
7190fe696a4e,spielberg_FP1,speed_alt,schema_drift,detection,0.0071,True
c316e2a49c23,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0035,True
ac6e0ed5eb84,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.005,True
4a71fa0ee0dd,spielberg_FP1,rpm,string_in_numeric,detection,0.0033,True
76d1411645fc,spielberg_FP1,speed_alt,schema_drift,detection,0.0064,True
c7f77507bf98,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
d2d28c29f37c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0036,True
afb6e4e1be71,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0064,True
627283e32e9e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0031,True
82b81a254893,spielberg_FP1,speed,string_in_numeric,detection,0.0032,True
757a3988394b,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0036,True
278c3b627131,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0059,True
67e76ce38cea,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0033,True
e58b2730bc55,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0059,True
c38f88fd1fef,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0031,True
475f8892062a,spielberg_FP1,rpm,string_in_numeric,detection,0.0041,True
6b47baf10747,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0034,True
f6146a9ccb3c,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0069,True
f706045b15c1,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0061,True
8e50fd4207e1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0055,True
cfaeec071ebe,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0071,True
be57368b1f6c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0033,True
7fdd6c2a3b27,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0059,True
e3ece56efd43,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0066,True
7eab17948fe2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0043,True
474eee4bae6c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0059,True
38680e8b0b74,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0037,True
88f8662a53bd,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0068,True
02c7331714f6,spielberg_FP1,rpm_raw,schema_drift,detection,0.0058,True
6a6cc07a3d3f,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.006,True
2d281bae7fe2,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0055,True
27dfec6ba355,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0051,True
12308a027895,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0033,True
1724830f5e08,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0073,True
a8c77af99703,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0054,True
a730d6b066de,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0199,True
bfdbdf9b62b6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.005,True
b0b18870f142,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0062,True
961587f55e5e,spielberg_FP1,rpm_canbus,schema_drift,detection,0.006,True
e9127202d50e,spielberg_FP1,throttle_alt,schema_drift,detection,0.0065,True
fa431530f5fa,spielberg_FP1,throttle,string_in_numeric,detection,0.0028,True
08f777f9a7e8,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0066,True
f7fa6875cdb7,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0033,True
9395a51a25f3,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0051,True
5d2dc0ddeb2d,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0058,True
dde1bd506e6f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0055,True
91fd9f0663ba,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.005,True
9fd26ccc45db,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0078,True
f602e9e756c9,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0068,True
2f10fc61b32c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.005,True
a0c7e4b3c192,spielberg_FP1,aero_load,string_in_numeric,detection,0.0038,True
8692277001c6,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0032,True
5e29fe2972b2,spielberg_FP1,rpm,string_in_numeric,detection,0.0035,True
915b4359d6c4,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0052,True
60bbdd664b8b,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0063,True
111f21fcd945,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0066,True
6486d2b0b8c0,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0064,True
e58cd80e3e63,spielberg_FP1,speed_alt,schema_drift,detection,0.0066,True
bed619b1ad61,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0066,True
76d91a48e984,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0035,True
02215888dc01,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0057,True
1241f16a3fe3,spielberg_FP1,aero_load_new,schema_drift,detection,0.007,True
8a3ac0cef4bf,spielberg_FP1,aero_load,string_in_numeric,detection,0.0031,True
b3312bda71b0,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0077,True
8d97914d1907,spielberg_FP1,rpm_raw,schema_drift,detection,0.0065,True
ecbcfe448482,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0059,True
ab9db3ba5ea4,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0063,True
c8bfb71439b6,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0069,True
fdfcb7b75f36,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.007,True
a0ad4c5a65bc,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0066,True
495b78083b57,spielberg_FP1,rpm,string_in_numeric,detection,0.0037,True
af2da83cabce,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0031,True
3413a7300a2e,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0037,True
01277a39df51,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0068,True
8c17af941800,spielberg_FP1,speed,duplicate_timestamp,detection,0.0056,True
f925dae11c9b,spielberg_FP1,speed_new,schema_drift,detection,0.0068,True
beedb1b0769c,spielberg_FP1,rpm_v2,schema_drift,detection,0.0066,True
237d9a0e07e0,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0063,True
28e1d06c8688,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0055,True
6e7c2581b34b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0055,True
754b968205c5,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.006,True
77533a83359e,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0067,True
c5f6159cb1ce,spielberg_FP1,throttle_alt,schema_drift,detection,0.0067,True
d65582597443,spielberg_FP1,aero_load_new,schema_drift,detection,0.0076,True
c3500389fedd,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0033,True
5d6384522ba9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0034,True
146b9372e47f,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0032,True
6548bd27940b,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0033,True
00ac2c0bfe03,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0036,True
4baf57c42e12,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0066,True
644b8404be03,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0059,True
61cc43f5ba83,spielberg_FP1,rpm_alt,schema_drift,detection,0.0074,True
6ef400f0f6d5,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0051,True
137618588e15,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0058,True
915b16a7905b,spielberg_FP1,speed_v2,schema_drift,detection,0.0065,True
5b55a0587b7c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0059,True
32119f1da69a,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0068,True
4e5ebb699055,spielberg_FP1,rpm,string_in_numeric,detection,0.0039,True
cc848263e6a6,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0056,True
b459738756c4,spielberg_FP1,rpm_v2,schema_drift,detection,0.0064,True
eb34745d3de2,spielberg_FP1,aero_load,string_in_numeric,detection,0.0034,True
96d971f61c79,spielberg_FP1,rpm_alt,schema_drift,detection,0.0071,True
55de6285c58a,spielberg_FP1,speed_alt,schema_drift,detection,0.0063,True
cc4638c9f958,spielberg_FP1,speed,duplicate_timestamp,detection,0.0058,True
c2bbc1e0037b,spielberg_FP1,rpm,string_in_numeric,detection,0.0029,True
354a6292a5b7,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0054,True
2c080b9f4356,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0077,True
cffdf91c14e1,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0037,True
ec78c78ae60c,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0061,True
28cd87f72c94,spielberg_FP1,throttle_v2,schema_drift,detection,0.007,True
f44b6da639d8,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0056,True
674f068c04fc,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0064,True
dfbe8a822567,spielberg_FP1,throttle_new,schema_drift,detection,0.0108,True
5987cee0e597,spielberg_FP1,aero_load,string_in_numeric,detection,0.0035,True
dd3183227c2c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0034,True
45a3d545c806,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0057,True
2fdeff76707f,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.007,True
5020c1a95456,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0054,True
4a1e625ed9f1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0072,True
b2432e8ce7a0,spielberg_FP1,rpm_alt,schema_drift,detection,0.0065,True
b8a83a9dd500,spielberg_FP1,rpm,string_in_numeric,detection,0.0038,True
c8e0453af608,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0063,True
0b3bc9167baa,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0061,True
f73aab74c9c9,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0068,True
3fcb9fccf647,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0091,True
078e5d005368,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0053,True
089675b0f2b4,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0056,True
fe7a2d3e1071,spielberg_FP1,speed,duplicate_timestamp,detection,0.0067,True
5275f6e2a628,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0032,True
6984374dbafa,spielberg_FP1,engine_temp,string_in_numeric,detection,0.02,True
9b5d4a4d8116,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0032,True
3f51d547b4e3,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0073,True
89b0a4a4cce7,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0067,True
0626171b5e3f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0057,True
e31406dcf6bb,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0033,True
