packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2f698f296a14,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0069,True
44c6551f7e61,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0103,True
fd598bb9e43a,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0116,True
e2bdbc6641c3,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0149,True
5d3ebe89ffef,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.015,True
3597182ef548,spielberg_FP1,throttle,bit_flip_high,detection,0.0149,True
d74ec304769f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0097,True
21aff19666aa,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0055,True
93f4809e51ee,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0145,True
805d2303482b,spielberg_FP1,throttle,sensor_dropout,detection,0.0085,True
7d85ecbec120,spielberg_FP1,speed,bit_flip_low,detection,0.0145,True
79e4052917a7,spielberg_FP1,aero_load,bit_flip_high,detection,0.0141,True
068b9b99aa4e,spielberg_FP1,speed,bit_flip_high,detection,0.0143,True
dd8fe6e403e9,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0106,True
7ff245add0e1,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0109,True
759c5886183e,spielberg_FP1,rpm_raw,schema_drift,detection,0.0108,True
9350c7cb605e,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0148,True
e305d864ec88,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0199,True
27a41dd430a0,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0097,True
ceb279138663,spielberg_FP1,speed,null_value,detection,0.0084,True
2cc6c3e64929,spielberg_FP1,speed,string_in_numeric,detection,0.054,True
5052969cb842,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0141,True
ed6bed3a3376,spielberg_FP1,heart_rate,string_in_numeric,detection,0.006,True
3a8de1a0b984,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0087,True
d5090c785b7c,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0102,True
5cc537a3f29f,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0106,True
40feff927c21,spielberg_FP1,brake_temp,null_value,detection,0.0086,True
c9e87c20f4cc,spielberg_FP1,rpm,sensor_dropout,detection,0.0085,True
36563745d32d,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0105,True
eebe1dd962bd,spielberg_FP1,throttle,bit_flip_low,detection,0.0146,True
930d13a15c79,spielberg_FP1,aero_load,null_value,detection,0.0087,True
5d94b224f648,spielberg_FP1,ecu_canbus,null_value,detection,0.0087,True
1a3c5bcaf16e,spielberg_FP1,speed,bit_flip_low,detection,0.0148,True
f31292a8296a,spielberg_FP1,rpm,sensor_dropout,detection,0.0087,True
dbb7fcd8509a,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.009,True
1513ac4f2c34,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0111,True
48b0a2d5e839,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0098,True
4b665788133c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0095,True
377b8940c500,spielberg_FP1,speed,null_value,detection,0.0085,True
fb8c136b6f0a,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0056,True
c5f8be97c1ab,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0105,True
267c4f3690ef,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.014,True
cae5d2601d85,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0142,True
01f5d06a037d,spielberg_FP1,aero_load,bit_flip_high,detection,0.0212,True
649bdd2a74e0,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0058,True
915d6866495a,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0057,True
935c90974b7c,spielberg_FP1,speed,null_value,detection,0.0088,True
6cc93a743967,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.01,True
41f3e44b3f2c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0102,True
71a0ac4b9171,spielberg_FP1,engine_temp,null_value,detection,0.0088,True
8b2ed0d8be90,spielberg_FP1,g_force_lateral,null_value,detection,0.009,True
beb51e326a73,spielberg_FP1,speed_canbus,schema_drift,detection,0.0111,True
8f140ffedd9a,spielberg_FP1,speed,sensor_dropout,detection,0.0091,True
29c9351aae2a,spielberg_FP1,rpm,bit_flip_low,detection,0.015,True
a43a0d8274c7,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0106,True
d1471e16f779,spielberg_FP1,rpm,string_in_numeric,detection,0.0056,True
bfcf01e06ee2,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0175,True
4ca8c54357e2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0105,True
64174e1ab022,spielberg_FP1,brake_temp,null_value,detection,0.0099,True
82788bb39d1b,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0085,True
3252cc9906ff,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0104,True
e7585914f830,spielberg_FP1,tyre_pressure,null_value,detection,0.0086,True
a8a94e5ae963,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0085,True
b1f8dda4bd6b,spielberg_FP1,speed,sensor_dropout,detection,0.0093,True
379b731cc93e,spielberg_FP1,g_force_lateral,null_value,detection,0.0088,True
dc7ea9391161,spielberg_FP1,throttle,bit_flip_low,detection,0.0146,True
f0848214ad3b,spielberg_FP1,rpm,null_value,detection,0.0088,True
e05e5135bfd4,spielberg_FP1,rpm,string_in_numeric,detection,0.0058,True
d68661fe555d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0096,True
325fa30879ef,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0088,True
3e2bb4d9342d,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0111,True
e51511ee550c,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0098,True
16e346facf7f,spielberg_FP1,engine_temp,null_value,detection,0.0086,True
becdac6defc2,spielberg_FP1,rpm,bit_flip_low,detection,0.0165,True
0a693c8dc3b3,spielberg_FP1,rpm,null_value,detection,0.0092,True
c8f9a997fc03,spielberg_FP1,aero_load,sensor_dropout,detection,0.0091,True
afa9c3baa25a,spielberg_FP1,throttle_v2,schema_drift,detection,0.0119,True
85fb2257a60e,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0058,True
1cc2fb1c58ea,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.011,True
26dcff567f32,spielberg_FP1,speed,null_value,detection,0.0095,True
24236d059da6,spielberg_FP1,rpm,null_value,detection,0.0089,True
ace3656d6eff,spielberg_FP1,rpm,null_value,detection,0.009,True
a913ade9c8ef,spielberg_FP1,throttle,string_in_numeric,detection,0.006,True
c0049b811c73,spielberg_FP1,speed,bit_flip_low,detection,0.0152,True
049cb25d89fa,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0159,True
bd8abd8d9d92,spielberg_FP1,aero_load,bit_flip_low,detection,0.0145,True
e7c1afb8dccb,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0106,True
f806e80440a3,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0147,True
e6ab7727a0db,spielberg_FP1,speed,string_in_numeric,detection,0.0056,True
b42e2c8f18d8,spielberg_FP1,aero_load,bit_flip_low,detection,0.0141,True
0b7c09eb63e7,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0056,True
e4835ee0bf33,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0142,True
9ec9851871d7,spielberg_FP1,throttle,sensor_dropout,detection,0.0086,True
fec5e2c8be7e,spielberg_FP1,aero_load,null_value,detection,0.009,True
63f3af0f99c7,spielberg_FP1,throttle,null_value,detection,0.0092,True
93458d849794,spielberg_FP1,tyre_pressure,null_value,detection,0.0086,True
2e5b2038cee3,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0099,True
3bba5035bef4,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0085,True
ab4792c64332,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0085,True
97a6ed0515bb,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0141,True
969bedb69e02,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.01,True
74b9c87b3580,spielberg_FP1,ecu_canbus,null_value,detection,0.0086,True
342b482607cc,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0143,True
2c6308258bac,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0097,True
9e1b742351f4,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0102,False
b9f99fb5e070,spielberg_FP1,rpm,sensor_dropout,detection,0.0087,True
ff7efa5e98f7,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0098,True
395abfa24018,spielberg_FP1,aero_load,string_in_numeric,detection,0.0057,True
063aff5ecbf1,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.015,True
8bc8a45da31c,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0143,True
0bcb864efc87,spielberg_FP1,speed_alt,schema_drift,detection,0.0109,True
50daf2c5cad9,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0119,True
ce6088129c5a,spielberg_FP1,tyre_pressure,null_value,detection,0.0094,True
9e9996ab35be,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0102,True
4606b272ff44,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0102,True
17b09c5e2c3b,spielberg_FP1,heart_rate,null_value,detection,0.0088,True
11ec2b53b3af,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0102,True
81265c63bc4e,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0101,True
7a789393b479,spielberg_FP1,aero_load,string_in_numeric,detection,0.0057,True
6131ba0b2b22,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0055,True
7424f89c2f26,spielberg_FP1,throttle,bit_flip_low,detection,0.0145,True
ca9da1d546bd,spielberg_FP1,speed,null_value,detection,0.0085,True
2a11785d612b,spielberg_FP1,rpm,sensor_dropout,detection,0.0087,True
c90617893d51,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0145,True
862f33dc0017,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0153,True
b02466a9edb9,spielberg_FP1,rpm,null_value,detection,0.0085,True
98bc881696b5,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0098,True
3c70bf935244,spielberg_FP1,ecu_canbus,null_value,detection,0.0088,True
63d9758ba258,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0111,True
4e5c5eeb29d4,spielberg_FP1,speed,bit_flip_high,detection,0.0147,True
b67fcce6d631,spielberg_FP1,aero_load,null_value,detection,0.0085,True
9244dc7142dd,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0147,True
28495c1c15bd,spielberg_FP1,throttle,string_in_numeric,detection,0.0056,True
2d0dc3dafafe,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0109,True
0523538ae948,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0142,True
a50ad3a7b2cb,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0111,True
c390a2fd07b5,spielberg_FP1,throttle,null_value,detection,0.0092,True
7cf96652ac91,spielberg_FP1,heart_rate,null_value,detection,0.0088,True
ad3b30f14aa4,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0142,True
701bf7bc45b0,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0101,True
79a4aa6e57ce,spielberg_FP1,speed,bit_flip_low,detection,0.0152,True
4cfb2a6ff73f,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0146,True
04b058e89a13,spielberg_FP1,speed,bit_flip_high,detection,0.0144,True
49b6450e978c,spielberg_FP1,speed,null_value,detection,0.0096,True
1b8a872d7b8f,spielberg_FP1,throttle,bit_flip_low,detection,0.0166,True
e8478304cce8,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0056,True
9950a52455ca,spielberg_FP1,brake_temp,sensor_dropout,detection,0.009,True
ae843569fa37,spielberg_FP1,rpm,bit_flip_low,detection,0.0164,True
8a0ee3898c37,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0152,True
620fcc453afb,spielberg_FP1,throttle,sensor_dropout,detection,0.0093,True
374014a33df3,spielberg_FP1,aero_load,sensor_dropout,detection,0.0085,True
659df0d5bcab,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0097,True
cd092b334c8b,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0114,True
ca1b97e3130b,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0104,True
85118ae789bf,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0148,True
6158e3062bc7,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0058,True
2fd705303099,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0096,True
09f36d400abd,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0097,True
c60ae2a11f1f,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.011,True
28a28aac25dc,spielberg_FP1,aero_load,null_value,detection,0.0099,True
d21336451bde,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.009,True
b326ec993f1c,spielberg_FP1,throttle_canbus,schema_drift,detection,0.011,True
cc7a2e482fe7,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0142,True
abbda9bb9b71,spielberg_FP1,throttle,string_in_numeric,detection,0.0058,True
ca408d83332c,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0089,True
80af12c7cc0f,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0109,True
d94cc7a1573c,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0144,True
014dc700e2c4,spielberg_FP1,rpm,sensor_dropout,detection,0.0092,True
8a716e9e6d36,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0099,True
4081412d33ad,spielberg_FP1,g_force_lateral,null_value,detection,0.0205,True
5211923e729a,spielberg_FP1,aero_load_raw,schema_drift,detection,0.0117,True
4c19f94d8dda,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0098,True
2582f68d43ea,spielberg_FP1,rpm_alt,schema_drift,detection,0.0117,True
63df3029030e,spielberg_FP1,rpm,bit_flip_high,detection,0.016,True
fba73e667e35,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0118,True
28a66f92231b,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0098,True
28335ba56298,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0098,True
d03c882698b0,spielberg_FP1,heart_rate,null_value,detection,0.0087,True
5881f37a4ba0,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0142,True
4c66cf7d6e53,spielberg_FP1,speed,bit_flip_low,detection,0.0207,True
4ef6ae1e7721,spielberg_FP1,aero_load,sensor_dropout,detection,0.0088,True
ee341546a057,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.01,True
57760511e6ff,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0112,True
3e1f59d64e75,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0098,True
b1bce9a61f5b,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0097,True
