packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
e0216b1b1d32,spielberg_FP1,throttle_canbus,schema_drift,detection,0.014,True
ed6aaf21878c,spielberg_FP1,ecu_canbus,null_value,detection,0.0109,True
037376d18479,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0134,True
594fa4b35558,spielberg_FP1,aero_load,bit_flip_low,detection,0.0182,True
cbf4be828ba5,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.014,True
c60c6f30c4b8,spielberg_FP1,tyre_pressure,null_value,detection,0.0107,True
0b2b373cd853,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0128,True
582179e33374,spielberg_FP1,aero_load,string_in_numeric,detection,0.0071,True
d9ff503d0716,spielberg_FP1,throttle_alt,schema_drift,detection,0.0132,True
6d99e2cbccd0,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0296,True
e715ee5827c8,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0121,True
b222271f30fe,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0108,True
3ec2ce0cef7f,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0138,True
39bcf851f550,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.018,True
a7b9b8fd67b6,spielberg_FP1,speed_v2,schema_drift,detection,0.0135,True
82cb9f5878ea,spielberg_FP1,heart_rate,null_value,detection,0.0111,True
32fcbb4bed23,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0134,True
6a4bcbd490d6,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0172,True
d8b75c983cf8,spielberg_FP1,rpm,sensor_dropout,detection,0.0107,True
7f0842dd82eb,spielberg_FP1,aero_load,null_value,detection,0.0105,True
837290e9afa4,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0118,True
c3e72d0da8ff,spielberg_FP1,rpm,bit_flip_low,detection,0.0245,True
1d332d3ede62,spielberg_FP1,throttle,null_value,detection,0.0109,True
c58ee62229e3,spielberg_FP1,engine_temp,string_in_numeric,detection,0.007,True
1ab926d293f6,spielberg_FP1,aero_load,bit_flip_high,detection,0.0179,True
6a95e80e093b,spielberg_FP1,rpm,null_value,detection,0.0106,True
643ff6ce12a3,spielberg_FP1,rpm,null_value,detection,0.0112,True
abf2e6d39e72,spielberg_FP1,heart_rate,null_value,detection,0.0111,True
d5a97a89e8c7,spielberg_FP1,speed,bit_flip_high,detection,0.0192,True
726766259e6f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0121,True
ae71e5f8c076,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0125,True
e95d9ce08baf,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0124,True
1f5feefef406,spielberg_FP1,speed,string_in_numeric,detection,0.007,True
b0d75b3ab6a5,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0117,True
4aa86a4a80ab,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0134,True
