packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
63e8e092d3e2,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0068,True
9ac105f72806,spielberg_FP1,rpm,bit_flip_low,detection,0.008,True
238e466c630e,spielberg_FP1,rpm,bit_flip_low,detection,0.0066,True
0e9e8621243b,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.003,False
43d134832479,spielberg_FP1,throttle,bit_flip_high,detection,0.0082,True
c2f550dd853c,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0059,True
018da7b7545e,spielberg_FP1,rpm,bit_flip_high,detection,0.0066,True
ab55ebb9b64a,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0062,True
7833362d6c26,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0033,False
0a6d9c9e1ccb,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0068,True
dafd15fee3a8,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0019,True
917a038de07f,spielberg_FP1,throttle,bit_flip_low,detection,0.0069,True
0f016f70d821,spielberg_FP1,ecu_canbus,null_value,detection,0.002,True
1d9cb9aaae3c,spielberg_FP1,aero_load,null_value,detection,0.0018,True
bc8545247085,spielberg_FP1,throttle_new,schema_drift,detection,0.0032,False
91371dc0c01d,spielberg_FP1,rpm_raw,schema_drift,detection,0.0036,False
ea0891aa9b0a,spielberg_FP1,rpm,sensor_dropout,detection,0.0022,True
ed95ea0ec1d1,spielberg_FP1,throttle,bit_flip_high,detection,0.0088,True
6d8725ff9f36,spielberg_FP1,speed,bit_flip_high,detection,0.0082,True
49e56f1c2365,spielberg_FP1,rpm,bit_flip_low,detection,0.0085,True
28a411b4e2ef,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0026,False
3c4938f932da,spielberg_FP1,speed,duplicate_timestamp,detection,0.003,False
b730e6a0c8d1,spielberg_FP1,tyre_pressure,null_value,detection,0.0018,True
1fcb0e316b45,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0027,False
d9cbe2f58455,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0025,False
677b052ccf75,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0063,True
6870c5e000e0,spielberg_FP1,rpm,string_in_numeric,detection,0.0021,True
277fd3ad9cd5,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0026,True
2a29a97f1b77,spielberg_FP1,throttle_v2,schema_drift,detection,0.0069,False
70de1438870c,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0035,False
c7c44a8c6b30,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0032,False
54ca4e0867f9,spielberg_FP1,speed,string_in_numeric,detection,0.0026,True
889006cbc12d,spielberg_FP1,aero_load,bit_flip_high,detection,0.0088,True
7cbf4c6f8862,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0031,False
6de71a2f11b1,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0198,True
82bc02469070,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0018,True
1b83840f4760,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0056,True
7b5c9c956af2,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0028,False
587cc23fcf07,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
2a8985b9b148,spielberg_FP1,throttle,string_in_numeric,detection,0.0022,True
fb03dbf0c5e3,spielberg_FP1,aero_load,string_in_numeric,detection,0.002,True
70efee72081e,spielberg_FP1,rpm,string_in_numeric,detection,0.0018,True
3d9462980c20,spielberg_FP1,rpm,sensor_dropout,detection,0.0019,True
16fec4a8d90e,spielberg_FP1,brake_temp,bit_flip_low,detection,0.007,True
0f2376bd7185,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0057,True
5384a19458ff,spielberg_FP1,heart_rate,null_value,detection,0.0019,True
51df0e84ddda,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0027,False
df7974bd4e3a,spielberg_FP1,engine_temp,null_value,detection,0.0018,True
99537bb72308,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0016,True
5406275e9689,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0017,True
65f6528a007e,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
bd290391968f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0034,False
02faa3c710df,spielberg_FP1,speed,bit_flip_low,detection,0.0065,True
17107fdd8d90,spielberg_FP1,g_force_lateral,null_value,detection,0.0018,True
fdcaf5dc8a8b,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0016,True
1747a8da15da,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0025,False
eb35fec86c88,spielberg_FP1,throttle,bit_flip_high,detection,0.006,True
f58d679ce6c8,spielberg_FP1,g_force_lateral,null_value,detection,0.0022,True
59bb23999974,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0024,True
ad1aef75c1a6,spielberg_FP1,rpm,string_in_numeric,detection,0.0025,True
62ff880e6588,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0077,True
6fa3ca01774a,spielberg_FP1,throttle,bit_flip_high,detection,0.0076,True
ffed84d66a30,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0031,False
27b4546664fe,spielberg_FP1,rpm,sensor_dropout,detection,0.0019,True
a45d69ac3829,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0026,False
3e064be7355f,spielberg_FP1,heart_rate,null_value,detection,0.0017,True
63dc52f0ea6e,spielberg_FP1,speed,bit_flip_high,detection,0.0065,True
4f43a00338d5,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0019,True
8615b320f2a1,spielberg_FP1,heart_rate,null_value,detection,0.0016,True
bf66ceb5c99e,spielberg_FP1,aero_load,sensor_dropout,detection,0.0016,True
cef588d56ee9,spielberg_FP1,aero_load,bit_flip_high,detection,0.0062,True
2b57c093d501,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0021,True
88a79aadd317,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
9a46d85cb378,spielberg_FP1,throttle,bit_flip_low,detection,0.0071,True
1870b2b9f070,spielberg_FP1,rpm_v2,schema_drift,detection,0.0029,False
c1ba3aea4536,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0058,True
6d12dbbf63c2,spielberg_FP1,throttle,string_in_numeric,detection,0.0019,True
f93bb7252e2e,spielberg_FP1,throttle,bit_flip_high,detection,0.0061,True
d1b3ad737317,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0021,True
3342e272214b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0058,False
2727ef059018,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0056,False
548a3dffa538,spielberg_FP1,throttle,bit_flip_high,detection,0.0159,True
1ec1badc375b,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0044,True
2a510e6a49ab,spielberg_FP1,aero_load,null_value,detection,0.002,True
