packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
58a96ae7effb,spielberg_FP1,aero_load,bit_flip_high,detection,0.0202,True
54c5a4b05ca5,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0154,True
8a1be21f2ffd,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0111,True
de5f52ed4f85,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0138,True
0cf25e79abb8,spielberg_FP1,speed,string_in_numeric,detection,0.0073,True
ea79efcbea1c,spielberg_FP1,throttle,sensor_dropout,detection,0.0113,True
d95744637fdf,spielberg_FP1,engine_temp,null_value,detection,0.0116,True
a55a170b3a07,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0147,True
4905fe618b7f,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0256,True
642c521f6f35,spielberg_FP1,throttle,duplicate_timestamp,detection,0.012,True
7ebb6aca6d50,spielberg_FP1,brake_temp,sensor_dropout,detection,0.011,True
8993fda3a076,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0071,True
c43314ce10b5,spielberg_FP1,ecu_canbus,null_value,detection,0.0118,True
50ca4f0e46a9,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0119,True
5915a2bf5660,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0196,True
3983123cee87,spielberg_FP1,rpm,bit_flip_low,detection,0.0189,True
592891d371bf,spielberg_FP1,tyre_pressure,null_value,detection,0.0106,True
2189728f3dee,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0156,True
a301938d2c17,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0192,True
21f34a9438f2,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0114,True
37a4dbf4f736,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0185,True
cf4683a69190,spielberg_FP1,speed,null_value,detection,0.0104,True
4e7442ba01a7,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0185,True
d2fd2c9b048e,spielberg_FP1,rpm_alt,schema_drift,detection,0.0145,True
961e584b40b8,spielberg_FP1,throttle_raw,schema_drift,detection,0.0138,True
4bd775e1dcff,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0183,True
744b0ccaba9d,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0138,True
299887924237,spielberg_FP1,speed_canbus,schema_drift,detection,0.0155,True
f0f6216c429b,spielberg_FP1,aero_load,sensor_dropout,detection,0.0124,True
ff9aa0e3e4a4,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0149,True
1d7e0bbddccb,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0122,True
561c490b6415,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0086,True
744a07415d8e,spielberg_FP1,brake_temp,bit_flip_high,detection,0.015,True
9110ca98298a,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0097,True
f8da50eab90c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0094,True
00a2261ea6b7,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0146,True
95ce9d9ed87c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0091,True
2bce50d545f9,spielberg_FP1,speed,string_in_numeric,detection,0.0052,True
d0780aa76fcd,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0084,True
2a7d61b9ab6b,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0089,True
fcff977e8d1a,spielberg_FP1,aero_load,string_in_numeric,detection,0.0062,True
05e7f11716d6,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0139,True
67ca6eeb70a4,spielberg_FP1,rpm,null_value,detection,0.0089,True
0b468d22cb86,spielberg_FP1,aero_load,null_value,detection,0.0093,True
cc366ccaf9a6,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0136,True
b02d08c5ff05,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0082,True
4f106098c2bd,spielberg_FP1,rpm,duplicate_timestamp,detection,0.01,True
bf12359f7fbf,spielberg_FP1,aero_load,string_in_numeric,detection,0.0059,True
e86842c3529b,spielberg_FP1,rpm,null_value,detection,0.008,True
325f5f140399,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0205,True
c18aa70152c4,spielberg_FP1,speed,bit_flip_high,detection,0.014,True
73b3ba838cb7,spielberg_FP1,rpm,string_in_numeric,detection,0.005,True
5a92dd5b5a2e,spielberg_FP1,heart_rate,null_value,detection,0.008,True
453b85283409,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0091,True
728298818c72,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0142,True
33004a42b5f3,spielberg_FP1,aero_load,null_value,detection,0.0082,True
545a24d2990f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0086,True
6542aa6c9a27,spielberg_FP1,speed,string_in_numeric,detection,0.0052,True
bc917dcb983f,spielberg_FP1,throttle_raw,schema_drift,detection,0.0107,True
c089ba3320cc,spielberg_FP1,aero_load,sensor_dropout,detection,0.0089,True
9fff6da215ad,spielberg_FP1,tyre_pressure,null_value,detection,0.0086,True
d4a6f0987b5d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0053,True
87848c6a14b2,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0132,True
91cb991f33f9,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0134,True
ed337fd8084e,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0079,True
aca8b75904f6,spielberg_FP1,speed,bit_flip_high,detection,0.0132,True
5204b61a23d7,spielberg_FP1,heart_rate,null_value,detection,0.0077,True
554c1192247c,spielberg_FP1,speed_alt,schema_drift,detection,0.0097,True
1fcf7efd3450,spielberg_FP1,throttle,bit_flip_high,detection,0.0133,True
11510524e42d,spielberg_FP1,throttle,string_in_numeric,detection,0.0049,True
d7b7d5203c94,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0085,True
19ab8243cdeb,spielberg_FP1,aero_load,bit_flip_low,detection,0.0135,True
03679dd90d34,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0075,True
f84e9af7389a,spielberg_FP1,aero_load,bit_flip_low,detection,0.0127,True
0a1c69a04f52,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0096,True
325741be07ff,spielberg_FP1,engine_temp,sensor_dropout,detection,0.011,True
a270c1be3938,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.005,True
8ddef901c920,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.009,True
b3ec7fcb6ec6,spielberg_FP1,engine_temp,null_value,detection,0.0075,True
a50c9efc1b1d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0046,True
ef12bbf8654f,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.013,True
bdc9c4f0c647,spielberg_FP1,g_force_lateral,null_value,detection,0.0078,True
b08d7c295c9b,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0096,True
237e351a2db0,spielberg_FP1,speed,bit_flip_high,detection,0.0138,True
642aa4b0ec62,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0096,True
9620e7658eaa,spielberg_FP1,throttle,sensor_dropout,detection,0.0081,True
30f5bbf917a2,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0133,True
dc9f30024d9b,spielberg_FP1,aero_load,string_in_numeric,detection,0.0054,True
1a8258b33653,spielberg_FP1,throttle,string_in_numeric,detection,0.0047,True
a4407cf5985b,spielberg_FP1,tyre_pressure,null_value,detection,0.0078,True
820a7f2fb43b,spielberg_FP1,rpm,bit_flip_high,detection,0.0133,True
76d85f6846d2,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0047,True
c9dbeda47d52,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0093,True
8ee05f1f79f7,spielberg_FP1,aero_load,null_value,detection,0.0073,True
c7c83a45a791,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0181,True
9e26887d7341,spielberg_FP1,speed,bit_flip_high,detection,0.0173,True
566113bb753b,spielberg_FP1,aero_load,null_value,detection,0.008,True
b03f0032f028,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0086,True
f7da59ee76d1,spielberg_FP1,speed,sensor_dropout,detection,0.0074,True
bf0894e76977,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0133,True
72a4c096965d,spielberg_FP1,speed_v2,schema_drift,detection,0.0096,True
ac022962fc3d,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0073,True
6c61f273da6e,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0126,True
8313e9cebeef,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0084,True
2ef58741c726,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0087,True
a57760afc70c,spielberg_FP1,brake_temp,null_value,detection,0.0078,True
620fccc19ab5,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0045,True
81657a7ded20,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0122,True
8d48dd22a7bb,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0136,True
ec860e7fe73c,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0098,True
4ae66e0b9d01,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.008,True
7bfd99ded296,spielberg_FP1,aero_load,bit_flip_high,detection,0.0131,True
410c3fbf823c,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0091,True
022152b7f916,spielberg_FP1,rpm,bit_flip_high,detection,0.0134,True
f37fad073ec7,spielberg_FP1,aero_load,null_value,detection,0.0076,True
cc613ab05f01,spielberg_FP1,throttle,null_value,detection,0.0071,True
57e417267f91,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0053,True
8d30bf7f8485,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0068,True
d40f16e99add,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0107,True
9a57cd618fbf,spielberg_FP1,aero_load,bit_flip_low,detection,0.0156,True
0f956483cc95,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0124,True
3c579dd8936b,spielberg_FP1,aero_load,string_in_numeric,detection,0.0056,True
085d23ae13c2,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0237,True
ff2c1b0e548b,spielberg_FP1,speed,bit_flip_high,detection,0.0161,True
538a79316427,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0145,True
7c649c5ec36b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0095,True
f5bb447b5864,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0136,True
b0e48b40073f,spielberg_FP1,aero_load,null_value,detection,0.0126,True
5115b57e7c8e,spielberg_FP1,heart_rate,null_value,detection,0.0082,True
7d9d81784bad,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.01,True
43fbe55efd3c,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.01,True
889cec795c3c,spielberg_FP1,aero_load,null_value,detection,0.0076,True
99defb7769df,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0084,True
3f01ef9a8962,spielberg_FP1,rpm,null_value,detection,0.0073,True
7089028f1452,spielberg_FP1,aero_load,bit_flip_high,detection,0.0157,True
de0754f1069d,spielberg_FP1,rpm,sensor_dropout,detection,0.0077,True
d2bf3754cdd4,spielberg_FP1,g_force_lateral,null_value,detection,0.008,True
7d6d051e2640,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0085,True
2b9eb56d4318,spielberg_FP1,aero_load,null_value,detection,0.0088,True
bdbb3cf2f185,spielberg_FP1,heart_rate,null_value,detection,0.0078,True
0ccbf3db8ae3,spielberg_FP1,rpm,null_value,detection,0.0081,True
4e629c6ef553,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0152,True
e85afdbd539a,spielberg_FP1,speed,duplicate_timestamp,detection,0.0103,True
5410e46169b5,spielberg_FP1,aero_load,bit_flip_high,detection,0.0172,True
1f3c795fc6ec,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0117,True
1e6f31f899e9,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0118,True
6ab07a48071a,spielberg_FP1,speed,bit_flip_high,detection,0.0161,True
92b39c0d7f55,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0064,True
b9a8c5c26887,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0109,True
a710fa182cae,spielberg_FP1,aero_load,string_in_numeric,detection,0.0058,True
df5c3500d3ee,spielberg_FP1,throttle,null_value,detection,0.0095,True
