packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
143be22fcf81,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0071,True
a0976542429b,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0112,True
6354600f50a4,spielberg_FP1,rpm,string_in_numeric,detection,0.0048,True
5a3af3cba4e9,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0045,True
2fefab3e9f4b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0155,True
3799d31599e1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0089,True
bd4ece16ce4e,spielberg_FP1,speed,string_in_numeric,detection,0.0051,True
235dd220b232,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.01,True
ac30f6a6d2f8,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0092,True
5f7c36122a29,spielberg_FP1,speed_v2,schema_drift,detection,0.0244,True
c0f6a0730201,spielberg_FP1,rpm_new,schema_drift,detection,0.0093,True
74dde32abf29,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0191,True
7d53e1fc756f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0072,True
9105eceabe3b,spielberg_FP1,aero_load_alt,schema_drift,detection,0.014,True
b1bb81553d13,spielberg_FP1,speed,duplicate_timestamp,detection,0.0089,True
a89fabce5069,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0088,True
ecae66d81716,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0085,True
793752c340d9,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0049,True
7c6c75d10a43,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0099,True
b4d153684215,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0093,True
80854896210f,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0126,True
b2b68474ba21,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0108,True
3af72294c1f4,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0085,True
f16b8cca0a31,spielberg_FP1,rpm,string_in_numeric,detection,0.0058,True
afb8ba0f0c68,spielberg_FP1,speed,string_in_numeric,detection,0.0052,True
fc7c77c026ae,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0066,True
aaea3b642bcb,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.01,True
2016181e3ba2,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0055,True
932b124ffc44,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0088,True
e2c0c42fcc8f,spielberg_FP1,throttle_alt,schema_drift,detection,0.0098,True
a93d27101960,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0175,True
b1985409fd9f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0077,True
7a256fe6ded7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.01,True
8b0bbb3604a2,spielberg_FP1,speed,string_in_numeric,detection,0.0059,True
fdf520ef30d2,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0101,True
2e746938b417,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0047,True
3bfce3dfe58f,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0088,True
c6907be84629,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0048,True
4551d97efa16,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0092,True
10f8f799967e,spielberg_FP1,throttle_alt,schema_drift,detection,0.0108,True
efc762094e73,spielberg_FP1,throttle,string_in_numeric,detection,0.0059,True
236b3e2dd582,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0055,True
178df2ca454e,spielberg_FP1,aero_load,string_in_numeric,detection,0.0053,True
4d296d063d01,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0091,True
2058461a4cce,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.1074,True
b076a747f46b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0097,True
13d50c3faac8,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0188,True
cdfaa4b77fe3,spielberg_FP1,throttle,duplicate_timestamp,detection,0.013,True
57228d37d530,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0121,True
afc317e36a16,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0082,True
11b389727ec2,spielberg_FP1,rpm_new,schema_drift,detection,0.0111,True
74d67807322d,spielberg_FP1,aero_load,string_in_numeric,detection,0.0122,True
691767a4261b,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0226,True
a4a18d19fa16,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0148,True
36fda52e63d8,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0104,True
8b6db3d9094a,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0095,True
4fe5bf9565b1,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0054,True
b1fcafb88140,spielberg_FP1,aero_load_new,schema_drift,detection,0.0142,True
ea180ac0597e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0054,True
d6ad644d5e67,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0104,True
675c006e03c2,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0145,True
cf99ecc3e015,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0069,True
671164143463,spielberg_FP1,throttle_canbus,schema_drift,detection,0.013,True
d75e32a40ae2,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0099,True
162bb6419497,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0106,True
3f60b2d13358,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0097,True
bffd375300af,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.007,True
ce6f8b3883fc,spielberg_FP1,aero_load,string_in_numeric,detection,0.0078,True
92b0a8f8b707,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.007,True
095321e2f056,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0138,True
11f626c57de6,spielberg_FP1,aero_load,string_in_numeric,detection,0.0066,True
8ce2a8da7a97,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0098,True
4212d01ec1a9,spielberg_FP1,rpm_raw,schema_drift,detection,0.0096,True
1f27e2363735,spielberg_FP1,rpm,string_in_numeric,detection,0.0112,True
2e9a3c8267cf,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0053,True
5c3435262372,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0091,True
6b275b896f89,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0101,True
ca9fdd1c46c5,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0086,True
0faaa8d8854c,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0047,True
9096d4755c1c,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.005,True
f7cc5b2bc54c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0052,True
134129e692bf,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0049,True
3b41edbc3c78,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0082,True
106e6107759e,spielberg_FP1,throttle,string_in_numeric,detection,0.0049,True
021691ace489,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0089,True
e5bbbc86c35c,spielberg_FP1,throttle,string_in_numeric,detection,0.0046,True
eee01acf0ab9,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0083,True
a156de66f325,spielberg_FP1,aero_load,string_in_numeric,detection,0.0051,True
36d9a3387e94,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.009,True
f72e90802419,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0099,True
efaed73ba57e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0105,True
07bbf1f1a3e1,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0087,True
8151cd4a3f3c,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0107,True
90fae9aaebee,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0096,True
c4696408c643,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0105,True
a02c61b844bb,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0101,True
aae560c39b31,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0087,True
d29fb6004ad0,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0089,True
e2927eb162e2,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0056,True
4ea371dbb9fe,spielberg_FP1,speed,string_in_numeric,detection,0.0051,True
cb0895be6844,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0087,True
032f84a70083,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0101,True
ade15551b170,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0059,True
d805deec54c6,spielberg_FP1,throttle,string_in_numeric,detection,0.005,True
42b7e6672f9e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0096,True
8e5b2cc39c75,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0097,True
ad52af4fa9e0,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0096,True
519338da9ae7,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0108,True
e7c6d62f241e,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0093,True
16cafa717a94,spielberg_FP1,aero_load,string_in_numeric,detection,0.005,True
d8aafd6a19b7,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0054,True
e9bc9fea086b,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0411,True
fc96155c8834,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0138,True
c69a756f04a5,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0062,True
