packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
1a2d2ec8992b,spielberg_FP1,engine_temp,null_value,detection,0.009,True
5700e4f14384,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0092,True
37608ee584c6,spielberg_FP1,speed,duplicate_timestamp,detection,0.0101,True
4a1966f6a3fd,spielberg_FP1,aero_load,bit_flip_high,detection,0.0153,True
0606c1a27203,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0056,True
ee9464a5b7e9,spielberg_FP1,heart_rate,sensor_dropout,detection,0.009,True
2a5cb8d2e92f,spielberg_FP1,rpm_new,schema_drift,detection,0.0116,True
ae060855c945,spielberg_FP1,speed_raw,schema_drift,detection,0.0112,True
cd69762942c4,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0087,True
5b0fd2a7c988,spielberg_FP1,rpm,bit_flip_low,detection,0.0149,True
9286b4a6d07c,spielberg_FP1,throttle,null_value,detection,0.0087,True
6cc5d2202819,spielberg_FP1,throttle,bit_flip_low,detection,0.0147,True
b4f9825b4f51,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0086,True
4535d3779a6a,spielberg_FP1,aero_load,bit_flip_high,detection,0.0144,True
d81a320101f4,spielberg_FP1,ecu_canbus,null_value,detection,0.0084,True
aaa1576414eb,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0117,True
4476add4b384,spielberg_FP1,throttle_alt,schema_drift,detection,0.0121,True
2292e35750da,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0156,True
0c63525652de,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0137,True
f61b3a257e1f,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0154,True
c7179c8f2bc0,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0105,True
2abb69eb8fd8,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0054,True
5072f6a1752e,spielberg_FP1,aero_load,null_value,detection,0.0082,True
41810087a742,spielberg_FP1,speed,null_value,detection,0.0081,True
