packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
ebee29cc0c32,spielberg_FP1,rpm,sensor_dropout,detection,0.0033,True
fb539122bf76,spielberg_FP1,speed,duplicate_timestamp,detection,0.0059,False
f07b7238415e,spielberg_FP1,heart_rate,null_value,detection,0.0025,True
287005858189,spielberg_FP1,aero_load,bit_flip_high,detection,0.0118,True
f8ac7f9afee6,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0026,True
dd013124b036,spielberg_FP1,speed,sensor_dropout,detection,0.0025,True
430b345d08c9,spielberg_FP1,rpm,string_in_numeric,detection,0.0029,True
778bbc8a0a2c,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0031,True
2ed6cb44f8bf,spielberg_FP1,speed,sensor_dropout,detection,0.0024,True
f755716e3ab2,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0048,False
74ab3318120d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0028,True
a556857445d2,spielberg_FP1,speed,sensor_dropout,detection,0.0031,True
ff778d6d30ed,spielberg_FP1,ecu_canbus,null_value,detection,0.0028,True
fedf39be9299,spielberg_FP1,speed,bit_flip_low,detection,0.0105,True
33f3be986d88,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0036,False
1849cf39f0ee,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0035,False
fadb4e67ba4e,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0024,True
6812bdaec9fc,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0042,False
3a5dec705806,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0028,True
3ed208d85d16,spielberg_FP1,aero_load,string_in_numeric,detection,0.0032,True
c0c77c68caaf,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0052,False
c1b4d52975bf,spielberg_FP1,throttle,bit_flip_low,detection,0.0096,True
6eea2f76ad18,spielberg_FP1,throttle,bit_flip_low,detection,0.0091,True
8530df03d66c,spielberg_FP1,speed,sensor_dropout,detection,0.0024,True
1302b58a8445,spielberg_FP1,throttle,string_in_numeric,detection,0.0053,True
256a5d1b6f01,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0088,True
22bbeb567595,spielberg_FP1,aero_load,string_in_numeric,detection,0.0033,True
77eef7c3b833,spielberg_FP1,speed,string_in_numeric,detection,0.0031,True
b8ab9a5a0013,spielberg_FP1,rpm,bit_flip_low,detection,0.0107,True
6de0c0fa3015,spielberg_FP1,brake_temp,null_value,detection,0.0028,True
14b15ba17005,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0034,True
0d3f075e665c,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0101,True
95acefaa20ba,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0039,False
bdd4e78903d4,spielberg_FP1,rpm_alt,schema_drift,detection,0.0048,False
5b469599e617,spielberg_FP1,aero_load,null_value,detection,0.0025,True
78ef1c84d602,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0035,False
b1c96c2c14ef,spielberg_FP1,tyre_pressure,null_value,detection,0.0023,True
473ab122691b,spielberg_FP1,speed,bit_flip_high,detection,0.0095,True
7cdb84f75390,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0088,True
41c8f4626fb3,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0057,False
356a12fa7446,spielberg_FP1,heart_rate,bit_flip_low,detection,0.009,True
4055f482af89,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0026,True
cfcc06ff0ed2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.003,True
492ac6eed601,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0041,False
bdf222a7b4ef,spielberg_FP1,g_force_lateral,null_value,detection,0.003,True
aa3e07ad0567,spielberg_FP1,aero_load,bit_flip_high,detection,0.0089,True
9a7b2006f34a,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0041,False
694240b660cf,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0024,True
9c2d0f13fb5d,spielberg_FP1,throttle,bit_flip_high,detection,0.0096,True
