packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
4247412524be,spielberg_FP1,aero_load,string_in_numeric,detection,0.0054,True
2f9043262f4c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0056,True
d1cb9be2440f,spielberg_FP1,aero_load,string_in_numeric,detection,0.0053,True
fc858839ecde,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0103,True
b8bbab7f8f45,spielberg_FP1,speed_new,schema_drift,detection,0.0269,True
78d84077b7f7,spielberg_FP1,rpm,string_in_numeric,detection,0.0053,True
bd59f6fdbb49,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0097,True
bc75b1c40d2c,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0092,True
0894bb77c3c9,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0105,True
e068ca918310,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0111,True
b285d4acadc7,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.01,True
0ddb5f8d4eca,spielberg_FP2,brake_temp_alt,schema_drift,detection,0.0107,True
1ba230565a7e,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0056,True
1dde04889a1e,spielberg_FP2,g_force_lateral_raw,schema_drift,detection,0.01,True
932e872a4e94,spielberg_FP2,engine_temp,string_in_numeric,detection,0.0069,True
05aad286e15a,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0088,True
8bfabc516471,spielberg_FP2,aero_load,duplicate_timestamp,detection,0.0126,True
c7c4b1cbf95e,spielberg_FP2,g_force_lateral_canbus,schema_drift,detection,0.0099,True
8151ee852ef1,spielberg_FP2,throttle_alt,schema_drift,detection,0.0103,True
60e2421cad33,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0049,True
bafe88bbb1a0,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0129,True
4b70a977aa92,spielberg_FP2,rpm,string_in_numeric,detection,0.0075,True
6fe609ea7bb2,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0129,True
baa6fa43ea43,spielberg_FP3,throttle_alt,schema_drift,detection,0.0103,True
7b712896eb2c,spielberg_FP3,ecu_canbus,duplicate_timestamp,detection,0.0092,True
182f4c81db04,spielberg_FP3,speed_v2,schema_drift,detection,0.0098,True
a188bd6e0b5c,spielberg_FP3,speed_canbus,schema_drift,detection,0.01,True
3f2eb361de89,spielberg_FP3,tyre_pressure,string_in_numeric,detection,0.0051,True
5c8f7046d08d,spielberg_FP3,aero_load_raw,schema_drift,detection,0.0118,True
3eeb56c3b27e,spielberg_FP3,g_force_lateral_new,schema_drift,detection,0.0106,True
bc8e45abf278,spielberg_FP3,g_force_lateral,string_in_numeric,detection,0.005,True
0616cc6a6677,spielberg_QUALI,heart_rate,duplicate_timestamp,detection,0.0094,True
26a4c1ee0f52,spielberg_QUALI,throttle_new,schema_drift,detection,0.0107,True
d39b6aa56012,spielberg_QUALI,tyre_pressure,string_in_numeric,detection,0.0062,True
09adc81acc4e,spielberg_QUALI,tyre_pressure_canbus,schema_drift,detection,0.0106,True
132dbd4614cc,spielberg_RACE,speed,duplicate_timestamp,detection,0.0095,True
16716bc808be,spielberg_RACE,throttle,duplicate_timestamp,detection,0.0085,True
03cdc52c311b,spielberg_RACE,aero_load,string_in_numeric,detection,0.005,True
1a58817b05c7,spielberg_RACE,engine_temp,string_in_numeric,detection,0.007,True
a80aed8ac357,silverstone_FP1,brake_temp,duplicate_timestamp,detection,0.0095,True
3b444bb56423,silverstone_FP1,g_force_lateral,duplicate_timestamp,detection,0.0091,True
8892dbf477c1,silverstone_FP1,brake_temp_raw,schema_drift,detection,0.013,True
d7e6f46a7dd1,silverstone_FP1,g_force_lateral_new,schema_drift,detection,0.0134,True
e7355f91f7da,silverstone_FP1,engine_temp,string_in_numeric,detection,0.0069,True
a2f8cad518e0,silverstone_FP1,g_force_lateral_v2,schema_drift,detection,0.0109,True
4445f9ec08c5,silverstone_FP1,rpm_v2,schema_drift,detection,0.0097,True
54fa779d618b,silverstone_FP2,heart_rate,string_in_numeric,detection,0.0078,True
e5c3bf5027fa,silverstone_FP2,rpm_alt,schema_drift,detection,0.0103,True
3e0d875f22a5,silverstone_FP2,g_force_lateral_alt,schema_drift,detection,0.0096,True
98511715b50f,silverstone_FP2,brake_temp_v2,schema_drift,detection,0.01,True
7385c5dc7612,silverstone_FP2,g_force_lateral,duplicate_timestamp,detection,0.0094,True
0c093235467b,silverstone_FP2,tyre_pressure,string_in_numeric,detection,0.0052,True
31c454e5a68d,silverstone_FP2,ecu_canbus_canbus,schema_drift,detection,0.0108,True
e4c1976b5bbc,silverstone_FP2,heart_rate_new,schema_drift,detection,0.0117,True
26f71cbc0009,silverstone_FP2,speed_new,schema_drift,detection,0.0107,True
500290423afa,silverstone_FP3,heart_rate,duplicate_timestamp,detection,0.008,True
ef12c9aa90a6,silverstone_FP3,speed,string_in_numeric,detection,0.0057,True
483b6b038b1b,silverstone_FP3,ecu_canbus,duplicate_timestamp,detection,0.0085,True
4d8256ed5620,silverstone_FP3,throttle,string_in_numeric,detection,0.0054,True
bfcbd8f55a1f,silverstone_FP3,brake_temp,duplicate_timestamp,detection,0.0082,True
e779f94b7fa3,silverstone_FP3,g_force_lateral_v2,schema_drift,detection,0.0089,True
f5c959a7e9f0,silverstone_FP3,ecu_canbus_canbus,schema_drift,detection,0.0101,True
9cfb775fd91d,silverstone_FP3,throttle,string_in_numeric,detection,0.0052,True
be144615311d,silverstone_FP3,heart_rate_v2,schema_drift,detection,0.011,True
b64f08f4c88b,silverstone_FP3,throttle_canbus,schema_drift,detection,0.0105,True
f2126778d405,silverstone_FP3,g_force_lateral,duplicate_timestamp,detection,0.0087,True
808dafd4fbf2,silverstone_FP3,throttle,duplicate_timestamp,detection,0.0079,True
259e66b0c7a1,silverstone_QUALI,ecu_canbus,string_in_numeric,detection,0.024,True
073274d078dd,silverstone_QUALI,ecu_canbus_alt,schema_drift,detection,0.0106,True
320f9f871ef7,silverstone_QUALI,tyre_pressure_alt,schema_drift,detection,0.0114,True
d78ad3ceab8c,silverstone_QUALI,brake_temp,string_in_numeric,detection,0.0058,True
58a725d110ba,silverstone_QUALI,ecu_canbus_alt,schema_drift,detection,0.0249,True
ce36eb0e14f8,silverstone_RACE,g_force_lateral,duplicate_timestamp,detection,0.0094,True
f155a751e504,silverstone_RACE,brake_temp,duplicate_timestamp,detection,0.009,True
9d4b8a866d5a,silverstone_RACE,tyre_pressure,duplicate_timestamp,detection,0.0125,True
744a037e6419,silverstone_RACE,aero_load_canbus,schema_drift,detection,0.0094,True
6f77269f98bc,silverstone_RACE,aero_load,string_in_numeric,detection,0.0062,True
a339f4e4e5f1,silverstone_RACE,speed,string_in_numeric,detection,0.0058,True
83f545daa229,silverstone_RACE,rpm,string_in_numeric,detection,0.0048,True
76a382cf4765,silverstone_RACE,heart_rate_canbus,schema_drift,detection,0.0127,True
6d05a0933cfe,silverstone_RACE,brake_temp,duplicate_timestamp,detection,0.0085,True
12eac4af94a7,budapest_FP1,brake_temp,duplicate_timestamp,detection,0.0095,True
484c27afaf41,budapest_FP1,throttle,string_in_numeric,detection,0.0056,True
a8fb5eafc0aa,budapest_FP1,brake_temp,string_in_numeric,detection,0.0057,True
fa4bd15f2c3e,budapest_FP1,brake_temp,duplicate_timestamp,detection,0.0083,True
678143857405,budapest_FP1,tyre_pressure_new,schema_drift,detection,0.0098,True
e1d46ca96a60,budapest_FP2,rpm,string_in_numeric,detection,0.0052,True
d8d8dcc87338,budapest_FP2,g_force_lateral,string_in_numeric,detection,0.0054,True
864dfba0df44,budapest_FP2,engine_temp,string_in_numeric,detection,0.0051,True
a1f5121b0e5a,budapest_FP2,rpm_raw,schema_drift,detection,0.0434,True
1f8e22f42844,budapest_FP2,throttle,string_in_numeric,detection,0.0054,True
35d19798e72e,budapest_FP2,brake_temp,string_in_numeric,detection,0.0054,True
476c71f61eb3,budapest_FP2,aero_load,duplicate_timestamp,detection,0.0243,True
8cca518dd1c6,budapest_FP2,tyre_pressure,string_in_numeric,detection,0.0052,True
2ae806cc883a,budapest_FP2,throttle_v2,schema_drift,detection,0.0265,True
31bf51beccf9,budapest_FP2,ecu_canbus_new,schema_drift,detection,0.0101,True
116831bc0d4e,budapest_FP2,rpm_raw,schema_drift,detection,0.0101,True
c6886f398711,budapest_FP2,ecu_canbus,duplicate_timestamp,detection,0.0086,True
2949567a3e88,budapest_FP2,tyre_pressure,string_in_numeric,detection,0.0051,True
ef2e0d1edc81,budapest_FP2,g_force_lateral_alt,schema_drift,detection,0.01,True
ea8f850cd05f,budapest_FP2,tyre_pressure_canbus,schema_drift,detection,0.0096,True
1283a91f0321,budapest_FP3,rpm,duplicate_timestamp,detection,0.0102,True
f0a68fb35396,budapest_FP3,g_force_lateral_canbus,schema_drift,detection,0.01,True
8bb111eabe7f,budapest_FP3,throttle,duplicate_timestamp,detection,0.0092,True
3131ba161baf,budapest_FP3,aero_load,string_in_numeric,detection,0.0049,True
a95f70095c17,budapest_FP3,rpm,duplicate_timestamp,detection,0.0089,True
c9d023c1272f,budapest_FP3,engine_temp_v2,schema_drift,detection,0.0249,True
9fcabe6fa236,budapest_FP3,ecu_canbus,duplicate_timestamp,detection,0.0092,True
6cea74c74e62,budapest_FP3,aero_load,duplicate_timestamp,detection,0.0091,True
c26d7b1f9be4,budapest_FP3,rpm_raw,schema_drift,detection,0.012,True
3a9d8e12045a,budapest_FP3,rpm_v2,schema_drift,detection,0.0112,True
747380a6112c,budapest_FP3,speed,string_in_numeric,detection,0.0059,True
65cb9c0484ac,budapest_QUALI,ecu_canbus_canbus,schema_drift,detection,0.0246,True
82872ff7c63f,budapest_QUALI,brake_temp,string_in_numeric,detection,0.0048,True
898d5e97a80a,budapest_QUALI,brake_temp,duplicate_timestamp,detection,0.0082,True
