packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
692ef546c9c3,spielberg_FP2,heart_rate,duplicate_timestamp,detection,0.0097,True
25ac1fdbd1c5,spielberg_FP2,heart_rate_alt,schema_drift,detection,0.0109,True
581db4a45638,spielberg_FP2,speed_canbus,schema_drift,detection,0.0105,True
5a4e0c158205,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.006,True
9018a324a56a,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.0056,True
1e05347a9c4c,spielberg_FP3,engine_temp,duplicate_timestamp,detection,0.0093,True
70d70780efdd,spielberg_FP3,rpm_new,schema_drift,detection,0.0114,True
ee88ee01d6ed,spielberg_QUALI,tyre_pressure,string_in_numeric,detection,0.0059,True
bab7611cd28f,spielberg_QUALI,throttle_canbus,schema_drift,detection,0.0119,True
57ef1c78f2ef,spielberg_QUALI,brake_temp,string_in_numeric,detection,0.0062,True
d4d232544339,spielberg_QUALI,heart_rate_v2,schema_drift,detection,0.0128,True
091c37c9f1b2,spielberg_RACE,tyre_pressure_alt,schema_drift,detection,0.0104,True
77436d030d7b,spielberg_RACE,throttle,string_in_numeric,detection,0.0072,True
c259b12f1415,silverstone_FP1,g_force_lateral_new,schema_drift,detection,0.0116,True
fe9bae235540,silverstone_FP1,speed_alt,schema_drift,detection,0.0147,True
29542b0826aa,silverstone_FP1,g_force_lateral,duplicate_timestamp,detection,0.0107,True
542c3f4a1b14,silverstone_FP2,throttle,duplicate_timestamp,detection,0.0103,True
55702cf9d0ca,silverstone_FP2,heart_rate_v2,schema_drift,detection,0.0162,True
c2d6ed291219,silverstone_FP2,brake_temp,string_in_numeric,detection,0.0061,True
3f4206f69b45,silverstone_FP2,tyre_pressure_new,schema_drift,detection,0.0106,True
ed95c3e3c693,silverstone_FP3,throttle_raw,schema_drift,detection,0.0103,True
1c802c3c3996,silverstone_QUALI,g_force_lateral,duplicate_timestamp,detection,0.0274,True
524b035d1ee8,silverstone_QUALI,rpm,string_in_numeric,detection,0.0051,True
9662a4669f9e,silverstone_QUALI,heart_rate_raw,schema_drift,detection,0.0114,True
1faa9f9e7765,silverstone_QUALI,throttle,string_in_numeric,detection,0.0054,True
a3c1c06dc4e9,silverstone_RACE,speed,duplicate_timestamp,detection,0.0095,True
8c1298b17149,silverstone_RACE,heart_rate,string_in_numeric,detection,0.0055,True
d95236fac88d,budapest_FP1,aero_load,duplicate_timestamp,detection,0.013,True
2d59d18db715,budapest_FP1,heart_rate,string_in_numeric,detection,0.0072,True
0a3d1aa5bdd3,budapest_FP1,g_force_lateral,duplicate_timestamp,detection,0.0109,True
12c3dc6390a4,budapest_FP3,speed,duplicate_timestamp,detection,0.0093,True
57d37946c91b,budapest_FP3,g_force_lateral,duplicate_timestamp,detection,0.0126,True
cb0324ed7d88,budapest_FP3,brake_temp,duplicate_timestamp,detection,0.0096,True
050659ad08f8,budapest_QUALI,tyre_pressure,string_in_numeric,detection,0.0057,True
17f5c9603c9c,budapest_QUALI,brake_temp,string_in_numeric,detection,0.0051,True
234f65aaa991,budapest_QUALI,brake_temp,duplicate_timestamp,detection,0.0134,True
2675ca1e9922,budapest_RACE,ecu_canbus_alt,schema_drift,detection,0.0098,True
ff371328229d,budapest_RACE,engine_temp_v2,schema_drift,detection,0.0097,True
5a4e0c158205,,,dlq_repair,repair,0.0466,False
9018a324a56a,,,dlq_repair,repair,0.0268,False
1e05347a9c4c,,,dlq_repair,repair,0.2337,True
57ef1c78f2ef,,,dlq_repair,repair,0.0357,False
c2d6ed291219,,,dlq_repair,repair,0.029,False
cb0324ed7d88,,,dlq_repair,repair,0.0961,False
17f5c9603c9c,,,dlq_repair,repair,0.0557,False
234f65aaa991,,,dlq_repair,repair,0.0854,False
692ef546c9c3,,,dlq_repair,repair,0.0939,True
ee88ee01d6ed,,,dlq_repair,repair,0.0336,False
77436d030d7b,,,dlq_repair,repair,0.0354,False
29542b0826aa,,,dlq_repair,repair,0.1156,True
542c3f4a1b14,,,dlq_repair,repair,0.1046,True
1c802c3c3996,,,dlq_repair,repair,0.0689,True
524b035d1ee8,,,dlq_repair,repair,0.0231,False
1faa9f9e7765,,,dlq_repair,repair,0.0329,False
a3c1c06dc4e9,,,dlq_repair,repair,0.0702,True
8c1298b17149,,,dlq_repair,repair,0.0274,False
d95236fac88d,,,dlq_repair,repair,0.0804,True
2d59d18db715,,,dlq_repair,repair,0.0237,False
0a3d1aa5bdd3,,,dlq_repair,repair,0.0795,True
12c3dc6390a4,,,dlq_repair,repair,0.0972,True
57d37946c91b,,,dlq_repair,repair,0.0919,True
050659ad08f8,,,dlq_repair,repair,0.0227,False
