packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
cef5ccda6dba,spielberg_FP1,brake_temp,string_in_numeric,detection,0.006,True
bb27a772761d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0059,True
406deb37e041,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0056,True
181cbef2014c,spielberg_FP1,speed_alt,schema_drift,detection,0.0125,True
854663b32458,spielberg_FP1,speed,duplicate_timestamp,detection,0.0097,True
3a673b4c39a6,spielberg_FP1,rpm,string_in_numeric,detection,0.0059,True
3673a88188f0,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0103,True
fe9672733ea9,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0143,True
3716473c7eb2,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0057,True
add7f4651e01,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0105,True
4a2c465113ba,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0098,True
795db9ee4a30,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0059,True
248b03b269d5,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0062,True
e2e14e5f4843,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0061,True
833f87b90639,spielberg_FP1,throttle,string_in_numeric,detection,0.0063,True
893b0283ed41,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0098,True
5fbb9f3ea007,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0061,True
6ff2cd1b9856,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0062,True
19e17f8a7cd5,spielberg_FP1,rpm_v2,schema_drift,detection,0.0113,True
8e637980adfc,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0062,True
899204bdee98,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0111,True
561db9a976b5,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0104,True
f03ed857c2ee,spielberg_FP1,rpm,string_in_numeric,detection,0.006,True
574edf66c6fd,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0057,True
d7fe8a0d3ea4,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0059,True
1fa386ca9fe3,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0097,True
006b8dc13cbd,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0098,True
c96a60ad502b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0098,True
875d32a917df,spielberg_FP1,speed,duplicate_timestamp,detection,0.0101,True
0060b14a11fe,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.01,True
eb4fd5ef90af,spielberg_FP1,throttle_v2,schema_drift,detection,0.0108,True
348f6fc7b9cd,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0454,True
9a0d2c43e54e,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0096,True
dba451e05298,spielberg_FP1,speed,string_in_numeric,detection,0.0058,True
5b7c38a8f9e2,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0095,True
7def0141ee53,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0061,True
4009485fc133,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0068,True
a587eb0b82f4,spielberg_FP1,speed_canbus,schema_drift,detection,0.0111,True
552be8732261,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0098,True
e8e0213ac103,spielberg_FP1,aero_load,string_in_numeric,detection,0.0062,True
179e87d9bd8f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.011,True
a84ef55be681,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0128,True
78e6fefc93d0,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0098,True
085134e1a153,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.01,True
7a8e56b895f7,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0098,True
fe05f98879e8,spielberg_FP1,speed_alt,schema_drift,detection,0.0121,True
25c7b6256d00,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0111,True
fe59d923dc70,spielberg_FP1,speed,duplicate_timestamp,detection,0.013,True
52b84c6739b4,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0109,True
16aa9511916f,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0135,True
1c89df035494,spielberg_FP1,rpm,string_in_numeric,detection,0.006,True
4d51c2ab9f16,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0098,True
eed32f613f21,spielberg_FP1,rpm_new,schema_drift,detection,0.0117,True
cbf21b39b469,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0129,True
e3a21865ae3f,spielberg_FP1,engine_temp_new,schema_drift,detection,0.011,True
52895b282f52,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0099,True
913a1ff8075a,spielberg_FP1,throttle,string_in_numeric,detection,0.0064,True
a5ee6254dd85,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0123,True
bf5037e02869,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0098,True
afb5f3864345,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0098,True
bac613714c8a,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0097,True
2d2212dd92f1,spielberg_FP1,speed_canbus,schema_drift,detection,0.0111,True
0a7c8ccb013a,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.011,True
20990c97f4ad,spielberg_FP1,rpm_new,schema_drift,detection,0.0111,True
e2548fd2cb0c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0097,True
65c9bb21bb03,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0058,True
28fa321df89d,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0112,True
efc74b56a8c8,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0113,True
e4af509194c5,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0116,True
53501fe26413,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0107,True
a62016e50906,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0059,True
3a4e94dcb582,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.01,True
4e07d6c057f9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0111,True
33ecbcf1ef80,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0113,True
f64ba2eb859e,spielberg_FP1,speed_canbus,schema_drift,detection,0.0112,True
e787404546b2,spielberg_FP1,throttle,string_in_numeric,detection,0.0096,True
a544bbb5dd6b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0124,True
60a0438b8ee5,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0149,True
806fdedc44f1,spielberg_FP1,throttle_v2,schema_drift,detection,0.0118,True
4509e8a7b563,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.011,True
526d0fddc1ba,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0105,True
