packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
23b43e4d1737,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0075,True
635ac68b0ccb,spielberg_FP1,aero_load,bit_flip_low,detection,0.019,True
aa18e11d5b94,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0197,True
332aa6adc567,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0191,True
b0d0e570d20c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0127,True
06393c26211f,spielberg_FP1,rpm,sensor_dropout,detection,0.0305,True
ee1f79ef87b8,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.013,True
e2260a88608f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0052,True
98b40bcc7a69,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0098,True
19c87e5f2609,spielberg_FP1,g_force_lateral,null_value,detection,0.0087,True
b72901234db8,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0133,True
10b211ebf386,spielberg_FP1,aero_load,bit_flip_high,detection,0.0406,True
86a4cae881d1,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0329,True
30f1d86eac40,spielberg_FP1,rpm,null_value,detection,0.0081,True
898abc9db76f,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0102,True
d02d85a1af77,spielberg_FP1,throttle,null_value,detection,0.0079,True
449019538cc1,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.008,True
7fb12b6edb85,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0051,True
3ddb2fc40870,spielberg_FP1,rpm,null_value,detection,0.0076,True
0c8f1ef10415,spielberg_FP1,g_force_lateral,null_value,detection,0.0076,True
1168fdc44afa,spielberg_FP1,aero_load,bit_flip_high,detection,0.013,True
484162a4bd02,spielberg_FP1,rpm,null_value,detection,0.0082,True
2247b09eba3f,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0095,True
01ad13b96073,spielberg_FP1,speed,duplicate_timestamp,detection,0.0085,True
e7acc0f8db99,spielberg_FP1,rpm,string_in_numeric,detection,0.0049,True
5242891c14cc,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0095,True
c7024456b080,spielberg_FP1,speed,bit_flip_low,detection,0.0147,True
486c866d5db1,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0093,True
4b3bd4de62fd,spielberg_FP1,speed,string_in_numeric,detection,0.0047,True
3780682203b4,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0125,True
cbf4b7f66757,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0103,True
1762b1821c12,spielberg_FP1,g_force_lateral,null_value,detection,0.008,True
f4718b237112,spielberg_FP1,aero_load,bit_flip_high,detection,0.0142,True
fadc93f052b6,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0126,True
0dc721ecd31c,spielberg_FP1,throttle,bit_flip_high,detection,0.0298,True
15d782751cd1,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0129,True
c11d857a7698,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0051,True
292f8d9b66ee,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0188,True
ac579ed9634e,spielberg_FP1,throttle_v2,schema_drift,detection,0.0101,True
a3b94821bc3f,spielberg_FP1,rpm,bit_flip_high,detection,0.0138,True
e57a009133ba,spielberg_FP1,aero_load,bit_flip_low,detection,0.0139,True
e46218c753ff,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0099,True
8795c3cc944b,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0095,True
0b33d035f093,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0098,True
7f66202dcde7,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0128,True
6301d9ed943c,spielberg_FP1,speed,duplicate_timestamp,detection,0.0093,True
207ed312b7c1,spielberg_FP1,speed,bit_flip_high,detection,0.0136,True
67c490447447,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0084,True
06ec8b6c6ec0,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0053,True
6aa6a18fc3a9,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0088,True
99dc5734a62e,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0075,True
2e28b37cd404,spielberg_FP1,throttle,sensor_dropout,detection,0.0079,True
80817e497fa3,spielberg_FP1,aero_load,null_value,detection,0.008,True
5cf881cc1ed4,spielberg_FP1,tyre_pressure_alt,schema_drift,detection,0.0106,True
92e4d5ceb8b6,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0046,True
abf92fe02b3d,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0084,True
8188de859d36,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0125,True
3a761318c02c,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.01,True
0255d3d32286,spielberg_FP1,heart_rate,null_value,detection,0.0079,True
ea07c36338ba,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0085,True
