packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
6b9b02551109,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0114,True
c66a71e51cf0,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0096,True
26f916569883,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0107,True
cff39105f3df,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0056,True
6a0b6a9f85af,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0108,True
bf3e41712278,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0058,True
b08c7609b264,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0124,True
7880a98087d2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0102,True
905e7e23db15,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0145,True
16a2b59eaeca,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0107,True
79b506360554,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0057,True
997d55c379be,spielberg_FP1,throttle,string_in_numeric,detection,0.0061,True
872c1253bf8a,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0105,True
d891d0da9429,spielberg_FP1,rpm_raw,schema_drift,detection,0.0111,True
cf2aae0e8d63,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0107,True
145d09231f71,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.01,True
9b5b81c6b6cf,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0062,True
c669a9e17551,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0105,True
a773b3fe7df1,spielberg_FP1,heart_rate,string_in_numeric,detection,0.006,True
3b69d787d286,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0108,True
133284cb277c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0111,True
1dc95241e368,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.013,True
0dd1efb247d5,spielberg_FP1,speed,duplicate_timestamp,detection,0.0099,True
8a5eccb255b0,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0061,True
0bb0af7ebd1b,spielberg_FP1,speed,string_in_numeric,detection,0.0056,True
e80a6f8b59a1,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0119,True
c2680af701b2,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0096,True
673ba5e787bc,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0107,True
ffb6d78c694a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0099,True
92fa38c4c302,spielberg_FP1,throttle,string_in_numeric,detection,0.0059,True
cea8e582bf83,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0059,True
f875a400f0f0,spielberg_FP1,rpm,duplicate_timestamp,detection,0.01,True
a68146680d16,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0099,True
793772e1ad45,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0057,True
f58ae4e40fa1,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0056,True
98d680b40d8c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0062,True
5f47f325fff0,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0138,True
920168e8180f,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0099,True
64606aefe3e7,spielberg_FP1,aero_load_new,schema_drift,detection,0.0111,True
ab7a41e46089,spielberg_FP1,speed,duplicate_timestamp,detection,0.0098,True
826500cfc9d4,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0097,True
011177564dbf,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0097,True
1fdc86fd2ba8,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0057,True
439cee2c963c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0102,True
a333fa76186e,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0096,True
2e5c1f84a2f0,spielberg_FP1,rpm,string_in_numeric,detection,0.0086,True
cfc48ef942f8,spielberg_FP1,throttle_alt,schema_drift,detection,0.0112,True
0c8bcc764eba,spielberg_FP1,rpm_raw,schema_drift,detection,0.0114,True
dc30ebd11c6d,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0056,True
cf4f6283b07f,spielberg_FP1,speed,duplicate_timestamp,detection,0.0102,True
6aecb6bcd403,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0056,True
e4916772f069,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0099,True
54112d48d2c0,spielberg_FP1,engine_temp,string_in_numeric,detection,0.006,True
4dc6b6b6cc84,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0101,True
0f1b2ee63a13,spielberg_FP1,speed,string_in_numeric,detection,0.006,True
1a2059a75def,spielberg_FP1,speed,string_in_numeric,detection,0.0055,True
3f92ba7ee2e3,spielberg_FP1,throttle,duplicate_timestamp,detection,0.01,True
ad04ef926238,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0105,True
325a473f83ba,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0114,True
2c0308518ea5,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0114,True
c8bddaf34339,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0102,True
da5c36e68032,spielberg_FP1,aero_load,string_in_numeric,detection,0.0056,True
69b0bdbbd1c1,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0099,True
2099a5fefb2c,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0104,True
6fca3b346f02,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0104,True
443e5262c61b,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0099,True
3317ecd88ebe,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0111,True
a3c6ee051ef8,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0113,True
19a403e02cd0,spielberg_FP1,rpm,string_in_numeric,detection,0.0056,True
79a3578d723d,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0105,True
80934cea704a,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0108,True
7f22945989da,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0112,True
0e9e6b18c8f7,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0104,True
3c399d2e13c7,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0113,True
a4d518bd68af,spielberg_FP1,rpm_alt,schema_drift,detection,0.0113,True
1a838aa1b134,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0101,True
66764799ed38,spielberg_FP1,rpm,string_in_numeric,detection,0.0056,True
b3534e85ecac,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0117,True
87cdae46197c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0058,True
2e53b892c9ab,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0113,True
5a03cd8b2035,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0101,True
4e6f3b639022,spielberg_FP1,speed,duplicate_timestamp,detection,0.0101,True
804715e2627a,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0108,True
31a936954c95,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0203,True
65a360e3fe6b,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0101,True
eb64b68893a4,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.006,True
33f55c2fa696,spielberg_FP1,speed,duplicate_timestamp,detection,0.011,True
bc8b0b35227e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0058,True
bc7c46a6b102,spielberg_FP1,rpm_v2,schema_drift,detection,0.0122,True
acf423a7733c,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0107,True
5c06d9d4eced,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0111,True
44b9f445cfb0,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0121,True
b004d3531e38,spielberg_FP1,aero_load,string_in_numeric,detection,0.0063,True
1644f954475f,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0171,True
5d35b81eae57,spielberg_FP1,speed_alt,schema_drift,detection,0.011,True
027c40e94a6c,spielberg_FP1,rpm,string_in_numeric,detection,0.0064,True
2ef8398d7c12,spielberg_FP1,speed,duplicate_timestamp,detection,0.0101,True
53a8a2316a0e,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0058,True
dd299ca67dac,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.006,True
fd672349e9be,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0063,True
1af3c12506ab,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0101,True
63b4e0775ac8,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0102,True
c307f0aeccb6,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0109,True
19ad3278f837,spielberg_FP1,speed,string_in_numeric,detection,0.0061,True
08231f3a8345,spielberg_FP1,rpm_v2,schema_drift,detection,0.0113,True
c44b307a0c24,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.01,True
d97e70be7c00,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0059,True
4c56f32c81c6,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0075,True
902a2da8a664,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0057,True
c3ca7353f5e1,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0062,True
962cd9973408,spielberg_FP1,speed_canbus,schema_drift,detection,0.0111,True
f3a33f20f4a3,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0101,True
ff53213442d4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0104,True
88c797f56db1,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0109,True
64657b6da83c,spielberg_FP1,throttle,string_in_numeric,detection,0.0063,True
42305a6e60f4,spielberg_FP1,rpm,string_in_numeric,detection,0.0056,True
dc73f408a96e,spielberg_FP1,speed,string_in_numeric,detection,0.0056,True
1d002cc8f773,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0056,True
b155a1543bce,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0058,True
d15be6da3768,spielberg_FP1,speed,duplicate_timestamp,detection,0.0099,True
93cb1c7bc5cc,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0142,True
89a90aa20189,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0111,True
600348cb49da,spielberg_FP1,speed_alt,schema_drift,detection,0.0114,True
ed77d7918717,spielberg_FP1,aero_load_new,schema_drift,detection,0.0116,True
a3010d768181,spielberg_FP1,aero_load,string_in_numeric,detection,0.0058,True
dcdce6db68bf,spielberg_FP1,aero_load,string_in_numeric,detection,0.009,True
6c3a5337ab25,spielberg_FP1,rpm,string_in_numeric,detection,0.0057,True
7c491177ea33,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0102,True
4992a866c5fe,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.018,True
5e2a9ef02473,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0141,True
48f146ed1868,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0114,True
04dacdd2e5f2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0103,True
a62b63a0da3a,spielberg_FP1,throttle_v2,schema_drift,detection,0.0129,True
43dcffb79906,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0063,True
d6c332127417,spielberg_FP1,speed_raw,schema_drift,detection,0.0117,True
ce81865ee9df,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0112,True
e5f39b99a66b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0059,True
295629713427,spielberg_FP1,speed,string_in_numeric,detection,0.0059,True
0a61d080341d,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0116,True
a77bceaf2527,spielberg_FP1,tyre_pressure_raw,schema_drift,detection,0.0115,True
1d1ae99325d0,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0059,True
29585b76f382,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0058,True
951dd4edfdb1,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0108,True
0551e809fa3f,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.01,True
9bda3e45d211,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0112,True
77c7240abb70,spielberg_FP1,rpm,duplicate_timestamp,detection,0.013,True
3ccd2b243138,spielberg_FP1,throttle,duplicate_timestamp,detection,0.01,True
c768ed23edc1,spielberg_FP1,rpm_raw,schema_drift,detection,0.0113,True
0879af57cadd,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0113,True
abbe10c4e77c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0105,True
f7f95c9d74d0,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.006,True
fe2b1781ac5f,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0062,True
f02f9c8d4d89,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0057,True
0d0ea7b9c7a2,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0107,True
9dd824383f6b,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0059,True
7d741baae724,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0102,True
a13078830fdf,spielberg_FP1,aero_load,string_in_numeric,detection,0.0064,True
a562c0f42343,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0105,True
4a07bc4fdcee,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0057,True
308191f5f7cf,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0104,True
685e06a396d9,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0111,True
8f52216bf7a1,spielberg_FP1,speed,duplicate_timestamp,detection,0.0106,True
a9c21451724c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0105,True
ae9546bbee7d,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0068,True
7168f09d770a,spielberg_FP1,speed,string_in_numeric,detection,0.0059,True
8458bdd15759,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0109,True
f73ae2974b84,spielberg_FP1,aero_load,string_in_numeric,detection,0.0057,True
2bf31d9b52d7,spielberg_FP1,speed_v2,schema_drift,detection,0.0111,True
6cd1e37d5d05,spielberg_FP1,rpm_canbus,schema_drift,detection,0.0122,True
20d0e15b4859,spielberg_FP1,heart_rate,string_in_numeric,detection,0.006,True
318e7033273b,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0059,True
058b38338138,spielberg_FP1,rpm,string_in_numeric,detection,0.0056,True
f7fe47a78d18,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0115,True
d09189673b90,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0102,True
e5ef43718736,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0062,True
9e52d337ebe1,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0108,True
c536f78a1ebf,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0111,True
8d11a554b918,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0129,True
af37fb1d423b,spielberg_FP1,aero_load,string_in_numeric,detection,0.0058,True
d572b7ee1aff,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.01,True
00417d1113d9,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0109,True
9b35848a0051,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0102,True
5021c3715062,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0117,True
2a23fd9c4bd1,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0111,True
485c0771822f,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0111,True
52070abd52be,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0122,True
f164c6625954,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0113,True
310ef1ec3081,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0061,True
006542624ff7,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0109,True
a04486c5e203,spielberg_FP1,throttle,string_in_numeric,detection,0.0056,True
0861bdb5e0a4,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0114,True
c7060de31451,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0599,True
e1a27d40e52e,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0109,True
f66ddc23f991,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0166,True
25158bd92825,spielberg_FP1,rpm,duplicate_timestamp,detection,0.01,True
ec62a53f4e8c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0099,True
