packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
c3ce0ba34b8a,spielberg_FP1,rpm,string_in_numeric,detection,0.0056,True
87f73e1b29ed,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0128,True
f8e5d079673d,spielberg_FP1,rpm_raw,schema_drift,detection,0.0099,True
110fdba29b4b,spielberg_FP1,throttle,string_in_numeric,detection,0.0051,True
5d1d893db228,spielberg_FP1,throttle,string_in_numeric,detection,0.0052,True
c3f669701337,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0052,True
4766a237efee,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0096,True
e4a9608ebf28,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0055,True
11164aaa5923,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0092,True
b86aab1a72b3,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0109,True
fe3a1410380c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0094,True
524bd9d91545,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0089,True
7947e0618bf3,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0062,True
1f02968026aa,spielberg_FP1,speed,string_in_numeric,detection,0.0072,True
5874bbbb59f5,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0128,True
7679e429ef60,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0109,True
114ad69964bb,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0054,True
02f01125299b,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0053,True
62c468f2e539,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.009,True
f1181b92963a,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0104,True
28c590a2afb8,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0052,True
b0e7adb45bf5,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0164,True
e416c81beb1c,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0111,True
a0856a790763,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0098,True
88879999010d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0085,True
7227f8c982c6,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0065,True
6e1caa478b57,spielberg_FP1,speed,duplicate_timestamp,detection,0.009,True
4eefc2868ac2,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0087,True
ed129808bd6c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0054,True
77cf494d0b83,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0051,True
d0ffcebc0a61,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0103,True
2183f803afbf,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0114,True
596c20e7e5c3,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0096,True
b97a2b0c92cc,spielberg_FP1,throttle_alt,schema_drift,detection,0.0122,True
75ad05a693f3,spielberg_FP1,rpm_new,schema_drift,detection,0.0098,True
2f67fdaaccb7,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0114,True
27bfb739a309,spielberg_FP1,throttle,string_in_numeric,detection,0.0048,True
cefb96682be4,spielberg_FP1,rpm,string_in_numeric,detection,0.0047,True
8e355cb96dc5,spielberg_FP1,speed,string_in_numeric,detection,0.0053,True
a4cb4bbf328d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0124,True
07084be12f0d,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0087,True
5739d8142298,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0056,True
da17a3143731,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0104,True
a1353671867c,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0052,True
4a7e3086f6ec,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0087,True
445c2297e68f,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0093,True
8ff1f3b20c79,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0057,True
9ce788d4c6f7,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0092,True
7f46b306655c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0094,True
2a400ac2ec89,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0108,True
f0d383f1b946,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0097,True
605d55e55591,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0099,True
6e1296f55f8a,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0093,True
f52c7af3af30,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0091,True
0869fd8318c1,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0097,True
a46d853d7350,spielberg_FP1,throttle,string_in_numeric,detection,0.0057,True
4ff90b87e5f2,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0106,True
cd81f32689d4,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.009,True
28326f14163f,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0089,True
4dd37685db07,spielberg_FP1,throttle_new,schema_drift,detection,0.012,True
b2ff6f8cfd8e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0076,True
14fca2917ffb,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0095,True
b7626799a70a,spielberg_FP1,engine_temp,string_in_numeric,detection,0.005,True
1f6583664175,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0086,True
c914eaf85617,spielberg_FP1,throttle,string_in_numeric,detection,0.0056,True
b9bfaf97966c,spielberg_FP1,heart_rate,string_in_numeric,detection,0.005,True
334e4ed0b078,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0055,True
3aef264d5d51,spielberg_FP1,speed,string_in_numeric,detection,0.005,True
d6b00de38056,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0085,True
e115675a9016,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0095,True
ac022152d942,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0098,True
29020e512de4,spielberg_FP1,speed,duplicate_timestamp,detection,0.0096,True
b0354a61c49c,spielberg_FP1,rpm_v2,schema_drift,detection,0.0107,True
b3332cd0550f,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0084,True
fe3207a9ddf4,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0101,True
f70af9540d27,spielberg_FP1,aero_load,string_in_numeric,detection,0.0048,True
0477f59b81f2,spielberg_FP1,speed,string_in_numeric,detection,0.0053,True
f29883acca1e,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0122,True
1512294c9a9b,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.014,True
13275568404b,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0088,True
c0b90733efe9,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0085,True
883e3231e45c,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0094,True
c939d8290f28,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0089,True
2e89fbe0e441,spielberg_FP1,speed,string_in_numeric,detection,0.0051,True
342586699fa9,spielberg_FP1,throttle,string_in_numeric,detection,0.0053,True
417de7eb0b64,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0075,True
ff968aceb666,spielberg_FP1,rpm_alt,schema_drift,detection,0.019,True
035a0353f171,spielberg_FP1,throttle_raw,schema_drift,detection,0.01,True
d800c31a2aee,spielberg_FP1,throttle,string_in_numeric,detection,0.0051,True
dfd725b9d3d2,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0157,True
a6d5f03d5759,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0055,True
f753a02002d5,spielberg_FP1,throttle,string_in_numeric,detection,0.0057,True
ae93a417e05e,spielberg_FP1,rpm_new,schema_drift,detection,0.011,True
43e0109030b7,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0113,True
c6a1db64648f,spielberg_FP1,throttle,string_in_numeric,detection,0.0052,True
53fbdf4156e8,spielberg_FP1,throttle,string_in_numeric,detection,0.006,True
c20b67a99969,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0091,True
c00e69ae4687,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0114,True
3403f9d6a7fe,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0106,True
bf726335aefb,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0055,True
5edf6489d934,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0056,True
d6222ce04e8f,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0095,True
520fcc2208d4,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0091,True
596e48092d4d,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0069,True
3b460d2bb39d,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0051,True
9af14e1f1594,spielberg_FP1,rpm,string_in_numeric,detection,0.0058,True
a7d4777a6f49,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0101,True
bdb722048b77,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0088,True
6369c84ec5d2,spielberg_FP1,rpm,string_in_numeric,detection,0.0051,True
ee7d1926bd10,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0105,True
5531df2a618f,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0088,True
a40e639e6863,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0109,True
337180d2d42c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0092,True
f1cea939c700,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0109,True
29b1bfe2b188,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0136,True
1b5b03507f9d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0079,True
