packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2590c845a629,spielberg_FP1,speed,null_value,detection,0.0036,True
ae88252c7f25,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0023,True
3fc34f9c86e3,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0022,False
3f6f4ef3f86e,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0021,False
7ddc4d8d0440,spielberg_FP1,speed,duplicate_timestamp,detection,0.0048,False
ae1e3cedb328,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0024,False
b4f91e3551ed,spielberg_FP1,rpm,sensor_dropout,detection,0.0011,True
61fdb2e2f1a6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0075,False
595b79650df5,spielberg_FP1,g_force_lateral_alt,schema_drift,detection,0.0049,False
af9c78ebda47,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0013,True
e6af88fc0821,spielberg_FP1,tyre_pressure,null_value,detection,0.0018,True
54dd3bfe937f,spielberg_FP1,rpm,null_value,detection,0.0009,True
d0b2dd04dbc2,spielberg_FP1,rpm,string_in_numeric,detection,0.0016,True
847ed0d431a9,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0056,False
edda905490d9,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0079,True
97a8ec32c955,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0023,False
26cf1f96887d,spielberg_FP1,tyre_pressure,null_value,detection,0.0013,True
c48957a2a6df,spielberg_FP1,throttle,bit_flip_high,detection,0.0056,True
5bc82f2ef7be,spielberg_FP1,speed,duplicate_timestamp,detection,0.0016,False
70f114a5acd3,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0027,True
d937acf91451,spielberg_FP1,aero_load,bit_flip_low,detection,0.0047,True
6408217c6d34,spielberg_FP1,aero_load,bit_flip_low,detection,0.006,True
09a97816b865,spielberg_FP1,throttle,sensor_dropout,detection,0.0011,True
80a0b19acc78,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0045,True
e7fcaf2fff88,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0051,True
cae434fa4d36,spielberg_FP1,aero_load,null_value,detection,0.0012,True
2cf848984ab1,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0053,True
6e3ad29636e8,spielberg_FP1,rpm,string_in_numeric,detection,0.0052,True
4b9a92f6245d,spielberg_FP1,g_force_lateral_raw,schema_drift,detection,0.0042,False
378561449eae,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0039,False
898284dfb85a,spielberg_FP1,ecu_canbus_canbus,schema_drift,detection,0.0032,False
a8f7482931fe,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0015,True
c75cba6e904d,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.002,False
6e2500649c49,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0014,True
ae43a769ee09,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0141,True
d9ae4fb92ef2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.003,False
f100b05b59a1,spielberg_FP1,heart_rate,null_value,detection,0.0014,True
cd33b2391893,spielberg_FP1,speed,bit_flip_low,detection,0.0052,True
b7ddd3c7e2ab,spielberg_FP1,speed,sensor_dropout,detection,0.0012,True
5037bab5f668,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0027,False
d2b13bc217a7,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0014,True
3a7b4be0b253,spielberg_FP1,speed_alt,schema_drift,detection,0.0023,False
16ecd905d2ba,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0078,True
a84f55d1686d,spielberg_FP1,rpm_new,schema_drift,detection,0.0018,False
e12d6d6ac89c,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0067,True
a2fb7b461b85,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0026,False
109674c15d9b,spielberg_FP1,rpm,bit_flip_high,detection,0.0051,True
99e747b4c125,spielberg_FP1,throttle,bit_flip_high,detection,0.0145,True
845eff824880,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0084,True
17b4f1514a45,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0017,False
5128b137697f,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0025,True
91b83a7fdb81,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0147,True
5bc75afae8e2,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0099,False
dc0e4b85e60b,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0012,True
806678ea4392,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0076,True
c32d3ce5ffe4,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0088,True
ddc75d690918,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0012,True
1a16cb450689,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
7c2d161c5ded,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0021,True
67df6025f66e,spielberg_FP1,heart_rate_new,schema_drift,detection,0.0031,False
e33047b25b89,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0064,True
a99e8f8335f3,spielberg_FP1,aero_load,sensor_dropout,detection,0.0019,True
2fa7725e3efd,spielberg_FP1,tyre_pressure,null_value,detection,0.0013,True
e9a4d5147e41,spielberg_FP1,speed,string_in_numeric,detection,0.0037,True
ddeb7342201e,spielberg_FP1,heart_rate,null_value,detection,0.0017,True
d2da2eed0d88,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0015,True
058c9000dca8,spielberg_FP1,speed_v2,schema_drift,detection,0.0017,False
0742ef75091e,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0097,False
3261febc7ba3,spielberg_FP1,ecu_canbus,null_value,detection,0.0014,True
28e00fce47e6,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0021,False
d899fb3da918,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0146,True
61bf1597df74,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0056,True
4b3cdaf2f8e8,spielberg_FP1,engine_temp,null_value,detection,0.0026,True
c8b10057f9d1,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0068,False
0c9b0911c3fe,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0022,False
607a7867a961,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0073,True
6cc715f6305d,spielberg_FP1,rpm,bit_flip_low,detection,0.0055,True
3e35e09454c0,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0058,True
dfdb3eeb68f4,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0051,True
cd99138ef10d,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0081,True
f02a7eeba83b,spielberg_FP1,brake_temp,null_value,detection,0.0023,True
