packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
864e8d59aba2,spielberg_FP1,tyre_pressure,null_value,detection,0.0059,True
d6aef02b3b8c,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0025,True
56c1cd6be598,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0013,True
22cb91ce1663,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0053,True
24d65304b231,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0016,True
20c8a7500f76,spielberg_FP1,rpm_v2,schema_drift,detection,0.0031,False
a6b494dc4013,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0046,True
dd7ef26ad830,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0013,True
97e139bfbd2c,spielberg_FP1,speed,sensor_dropout,detection,0.0012,True
aa51f76227d6,spielberg_FP1,speed,sensor_dropout,detection,0.001,True
ccebb5dd12b8,spielberg_FP1,throttle,bit_flip_low,detection,0.0066,True
7ed37be03503,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0009,True
f49c82e38638,spielberg_FP1,speed_new,schema_drift,detection,0.0016,False
975e62fc8ed1,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0044,True
56c4c2dbec21,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0023,False
733702596610,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0019,True
8fd6757dce27,spielberg_FP1,aero_load,sensor_dropout,detection,0.001,True
4c7a03964bc2,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0044,True
1cf1d0de0844,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0012,True
bc1c53d933c1,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0013,True
d49bda9fbe79,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0027,True
d1f0c063e419,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0017,True
a3dc395c7e7f,spielberg_FP1,rpm,bit_flip_low,detection,0.0061,True
998058d9a4e6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0013,True
6b009a95ba75,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.0016,False
12db6534f491,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0088,True
49d9cd343412,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0016,True
6d4733452b33,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0048,True
272dd362ab23,spielberg_FP1,g_force_lateral,null_value,detection,0.0009,True
beaf687402e2,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0017,True
09a949cb5dde,spielberg_FP1,speed,string_in_numeric,detection,0.0017,True
5d1605ce2307,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0014,True
d4998cf960f1,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0016,True
3a198fcfb109,spielberg_FP1,speed,null_value,detection,0.0017,True
679cd38dc8e6,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0036,True
ff88f9874d92,spielberg_FP1,rpm,duplicate_timestamp,detection,0.001,True
8e4a1c2389da,spielberg_FP1,aero_load,bit_flip_low,detection,0.0036,True
cb0b0568d782,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0018,False
98d1bb61b2d8,spielberg_FP1,rpm,string_in_numeric,detection,0.0012,True
b2a9975a93ac,spielberg_FP1,speed_new,schema_drift,detection,0.0019,False
39df24ea884e,spielberg_FP1,speed,bit_flip_low,detection,0.0054,True
7f40e228b88d,spielberg_FP1,speed,sensor_dropout,detection,0.001,True
dd6bef2e3ef3,spielberg_FP1,speed,duplicate_timestamp,detection,0.0012,True
0127ddf42388,spielberg_FP1,speed,duplicate_timestamp,detection,0.0013,True
3eb777c52e7e,spielberg_FP1,speed,null_value,detection,0.001,True
04e6076dee3f,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0012,True
084bd0f6b83e,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0013,True
522832baf8ff,spielberg_FP1,throttle,null_value,detection,0.0016,True
d756bf304b06,spielberg_FP1,aero_load,null_value,detection,0.0008,True
8ff349e4d8cb,spielberg_FP1,throttle,bit_flip_high,detection,0.005,True
129e6a84aa06,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0013,True
7943a549db73,spielberg_FP1,tyre_pressure,null_value,detection,0.0011,True
0ba454136073,spielberg_FP1,speed_canbus,schema_drift,detection,0.0025,False
da30a6a2c8fe,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0013,True
cf6c388793c8,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.001,True
9c64609c8d86,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.005,True
8bc358230ce6,spielberg_FP1,rpm,string_in_numeric,detection,0.0032,True
d3f59c93e0fe,spielberg_FP1,aero_load,sensor_dropout,detection,0.0013,True
c24787471abc,spielberg_FP1,g_force_lateral,null_value,detection,0.0014,True
9a20168ad3ca,spielberg_FP1,rpm,string_in_numeric,detection,0.0013,True
f100355c5b11,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0011,True
38f1850af085,spielberg_FP1,throttle,bit_flip_low,detection,0.0054,True
eaec0193102c,spielberg_FP1,aero_load,sensor_dropout,detection,0.0035,True
16d15f162bfb,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.001,True
c2a6f760e94e,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0015,True
933ea1c1bacd,spielberg_FP1,g_force_lateral_new,schema_drift,detection,0.002,False
b520d6edfe44,spielberg_FP1,aero_load,bit_flip_low,detection,0.0057,True
d2758fecea0c,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0015,True
5a2bbb8ac855,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0039,True
79f8983761d6,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0015,True
cd1d0f71e785,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0015,True
a343a9f0304d,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0012,True
390dca6c88ef,spielberg_FP1,heart_rate,sensor_dropout,detection,0.001,True
945571c27990,spielberg_FP1,engine_temp,null_value,detection,0.001,True
c3b226e6de97,spielberg_FP2,heart_rate,null_value,detection,0.0016,True
ea4d260ee63f,spielberg_FP2,brake_temp,null_value,detection,0.0012,True
88d44fb11c31,spielberg_FP2,ecu_canbus_canbus,schema_drift,detection,0.0062,False
e2d26a862f50,spielberg_FP2,ecu_canbus_new,schema_drift,detection,0.0015,False
81279c24cbaf,spielberg_FP2,throttle_new,schema_drift,detection,0.0015,False
71ff969e728f,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0017,True
e0cf5804e84f,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0033,True
54d95dd620b8,spielberg_FP2,aero_load,string_in_numeric,detection,0.0016,True
dbb95cc73c11,spielberg_FP2,ecu_canbus_v2,schema_drift,detection,0.0017,False
2a4bdcb31b8a,spielberg_FP2,throttle,bit_flip_high,detection,0.0067,True
7674a977ffa5,spielberg_FP2,aero_load,sensor_dropout,detection,0.0015,True
035afe13eaf4,spielberg_FP2,g_force_lateral,string_in_numeric,detection,0.0018,True
63ef85eb1efb,spielberg_FP2,speed,duplicate_timestamp,detection,0.0015,True
af84fd5db81d,spielberg_FP2,rpm,null_value,detection,0.0013,True
2d0d892ce78b,spielberg_FP2,heart_rate_v2,schema_drift,detection,0.0027,False
77352c0e3857,spielberg_FP2,aero_load,bit_flip_high,detection,0.0057,True
8a41eb936aa0,spielberg_FP2,g_force_lateral,duplicate_timestamp,detection,0.003,True
fb9222d1ce36,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0018,True
15b26c9571a1,spielberg_FP2,speed,bit_flip_low,detection,0.0067,True
e33a4ab99e8d,spielberg_FP2,heart_rate,bit_flip_high,detection,0.0069,True
7b0f213a1586,spielberg_FP2,engine_temp,duplicate_timestamp,detection,0.0017,True
c6ac2a939298,spielberg_FP2,throttle,bit_flip_low,detection,0.0075,True
02f0fd4301b3,spielberg_FP2,heart_rate,bit_flip_low,detection,0.0044,True
1aeacd7e0818,spielberg_FP2,brake_temp,bit_flip_low,detection,0.0069,True
cec3d97ff9b5,spielberg_FP2,heart_rate,sensor_dropout,detection,0.0012,True
56198f571521,spielberg_FP2,g_force_lateral,null_value,detection,0.0011,True
d9fb97f5b2f0,spielberg_FP2,speed_alt,schema_drift,detection,0.0019,False
b2c357c6f193,spielberg_FP2,brake_temp,bit_flip_low,detection,0.0053,True
c7f6fac66c3d,spielberg_FP2,aero_load,bit_flip_high,detection,0.0038,True
87972ecd9d91,spielberg_FP2,throttle,bit_flip_low,detection,0.0047,True
380c3d2c9b71,spielberg_FP2,g_force_lateral_raw,schema_drift,detection,0.0017,False
78bd764a3728,spielberg_FP2,heart_rate_raw,schema_drift,detection,0.0016,False
a74adb0075f1,spielberg_FP2,speed,null_value,detection,0.0012,True
fa36443a9847,spielberg_FP2,rpm,bit_flip_high,detection,0.0048,True
01786e58d0aa,spielberg_FP2,engine_temp,bit_flip_low,detection,0.0047,True
33d5c5235106,spielberg_FP2,g_force_lateral,bit_flip_high,detection,0.0032,True
0ed59e3c213c,spielberg_FP2,heart_rate,bit_flip_high,detection,0.0034,True
0f224b6a16c4,spielberg_FP2,brake_temp,sensor_dropout,detection,0.001,True
c66bf88dc5d6,spielberg_FP2,ecu_canbus,string_in_numeric,detection,0.0013,True
bac91fa8de9a,spielberg_FP2,rpm,string_in_numeric,detection,0.0015,True
d1795c0c264b,spielberg_FP2,throttle,bit_flip_high,detection,0.0047,True
56a5b3616fb2,spielberg_FP2,tyre_pressure_alt,schema_drift,detection,0.0018,False
2a3b94db245e,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0013,True
70e46a29bfca,spielberg_FP2,g_force_lateral,sensor_dropout,detection,0.0013,True
08520aa794fa,spielberg_FP2,aero_load_raw,schema_drift,detection,0.0019,False
1afee984d468,spielberg_FP2,speed,sensor_dropout,detection,0.001,True
d91c4d46762d,spielberg_FP2,tyre_pressure_canbus,schema_drift,detection,0.0016,False
6f2d8df18c98,spielberg_FP2,tyre_pressure,duplicate_timestamp,detection,0.0013,True
965dae86ad1d,spielberg_FP2,rpm,null_value,detection,0.0009,True
7a2fb5949e6f,spielberg_FP2,throttle,string_in_numeric,detection,0.0013,True
62a57002c76b,spielberg_FP2,aero_load,bit_flip_high,detection,0.0048,True
5a14a0def0b0,spielberg_FP2,brake_temp_alt,schema_drift,detection,0.0016,False
864fad0e0a9a,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0013,True
0caa9fdffbcc,spielberg_FP2,brake_temp,string_in_numeric,detection,0.0013,True
c1f5b9652604,spielberg_FP2,rpm,string_in_numeric,detection,0.0013,True
de8e57974c15,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0038,True
f6827b1b9e59,spielberg_FP2,tyre_pressure,null_value,detection,0.001,True
de7801ad0435,spielberg_FP2,tyre_pressure_raw,schema_drift,detection,0.0026,False
9bbc7d5f4c9f,spielberg_FP2,g_force_lateral,bit_flip_high,detection,0.0044,True
3a95d7994794,spielberg_FP2,heart_rate,bit_flip_low,detection,0.0038,True
e91de1797cb7,spielberg_FP2,rpm,null_value,detection,0.0012,True
12f331ac36ae,spielberg_FP2,throttle,null_value,detection,0.001,True
828b07f1bd10,spielberg_FP2,heart_rate,bit_flip_low,detection,0.0044,True
eb3d8f1d56c1,spielberg_FP2,throttle_raw,schema_drift,detection,0.0017,False
32d94cb8e3f5,spielberg_FP2,g_force_lateral,bit_flip_high,detection,0.0054,True
65570a1030aa,spielberg_FP2,tyre_pressure,bit_flip_high,detection,0.0036,True
1adf0eb8858b,spielberg_FP2,aero_load,bit_flip_low,detection,0.0042,True
86a132aed604,spielberg_FP2,brake_temp_new,schema_drift,detection,0.0014,False
94ed546dd552,spielberg_FP2,g_force_lateral,bit_flip_high,detection,0.003,True
88693e95648b,spielberg_FP2,aero_load,duplicate_timestamp,detection,0.0015,True
4c253f351b0b,spielberg_FP2,ecu_canbus_new,schema_drift,detection,0.0015,False
8065a38cd9c6,spielberg_FP2,ecu_canbus,bit_flip_high,detection,0.0045,True
b48894109e21,spielberg_FP2,aero_load,null_value,detection,0.0012,True
235737c14ef7,spielberg_FP3,brake_temp,sensor_dropout,detection,0.001,True
ad80158dc5df,spielberg_FP3,g_force_lateral,bit_flip_low,detection,0.0047,True
b3aa0bc074ce,spielberg_FP3,engine_temp_v2,schema_drift,detection,0.0016,False
fd5c98bd669c,spielberg_FP3,ecu_canbus,bit_flip_low,detection,0.0037,True
818b7e429562,spielberg_FP3,aero_load,bit_flip_low,detection,0.0045,True
0d4493177586,spielberg_FP3,ecu_canbus,null_value,detection,0.0014,True
9df1aaef8c9f,spielberg_FP3,rpm,bit_flip_high,detection,0.0059,True
67fce2f798f9,spielberg_FP3,heart_rate_canbus,schema_drift,detection,0.002,False
bce1edefc572,spielberg_FP3,rpm,sensor_dropout,detection,0.002,True
45a6d38b6861,spielberg_FP3,g_force_lateral,bit_flip_low,detection,0.0049,True
d9dcc6826dab,spielberg_FP3,brake_temp,null_value,detection,0.001,True
a6f1bb28ebb4,spielberg_FP3,heart_rate,sensor_dropout,detection,0.0017,True
f4e7d3d71d49,spielberg_FP3,brake_temp,sensor_dropout,detection,0.0013,True
7d495676230d,spielberg_FP3,heart_rate,duplicate_timestamp,detection,0.0018,True
107650122ae9,spielberg_FP3,ecu_canbus_canbus,schema_drift,detection,0.0019,False
2f5a8b6aaedf,spielberg_FP3,aero_load,null_value,detection,0.0009,True
cd574d0f98f5,spielberg_FP3,heart_rate,duplicate_timestamp,detection,0.001,True
c3d8389436f4,spielberg_FP3,rpm,null_value,detection,0.0013,True
fbf822c23eda,spielberg_FP3,ecu_canbus,string_in_numeric,detection,0.0015,True
