packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
2867b74de691,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0023,True
35b4be798493,spielberg_FP1,ecu_canbus,null_value,detection,0.0017,True
f027924fb6e2,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0023,True
838bd8e0f8f6,spielberg_FP1,engine_temp,null_value,detection,0.0018,True
d0b19a41ad89,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0021,True
5057beda2c2c,spielberg_FP1,g_force_lateral,null_value,detection,0.0019,True
6666f3e06aef,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0057,True
7c5f9b2f370c,spielberg_FP1,rpm,null_value,detection,0.0019,True
1572e9504fb9,spielberg_FP1,rpm,sensor_dropout,detection,0.0017,True
fb7dc7b22b5a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0045,True
ca3a3fa3050e,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0018,True
9418e7e792fb,spielberg_FP1,aero_load_v2,schema_drift,detection,0.0026,True
ac0f70d422e7,spielberg_FP1,engine_temp_canbus,schema_drift,detection,0.0028,True
f898ef7431f6,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0025,True
f51541c96216,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0024,True
2e276d35b525,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0048,True
ed782967af85,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0025,True
895122b4b0e8,spielberg_FP1,throttle,string_in_numeric,detection,0.0018,True
db9b72c13df6,spielberg_FP1,rpm,string_in_numeric,detection,0.0018,True
e78ca4983df2,spielberg_FP1,g_force_lateral,null_value,detection,0.0016,True
5ac7b3a4207c,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0023,True
4a233eff6770,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0022,True
4b2e5e5f3698,spielberg_FP1,g_force_lateral,null_value,detection,0.0018,True
c1c5ca1a464a,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0047,True
1b2961de7a31,spielberg_FP1,brake_temp_raw,schema_drift,detection,0.0027,True
c1c69869a3a7,spielberg_FP1,rpm,sensor_dropout,detection,0.002,True
05353c21c6b6,spielberg_FP1,rpm,bit_flip_low,detection,0.0045,True
26ff95c74551,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0054,True
87690cc590e5,spielberg_FP1,speed,string_in_numeric,detection,0.0021,True
f0fc9907546c,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0052,True
e5ea364eb525,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0021,True
4cd629fdc6a5,spielberg_FP1,brake_temp,null_value,detection,0.0019,True
d54b08215c64,spielberg_FP1,throttle,string_in_numeric,detection,0.002,True
ee055a864a1c,spielberg_FP1,speed,bit_flip_high,detection,0.0047,True
e4bdab51baed,spielberg_FP1,brake_temp,null_value,detection,0.0015,True
0066584b1691,spielberg_FP1,heart_rate,null_value,detection,0.0026,True
25c302d6c5a3,spielberg_FP1,aero_load,bit_flip_low,detection,0.006,True
dc2cec81deae,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0047,True
7e8c72ec6b76,spielberg_FP1,rpm_v2,schema_drift,detection,0.0028,True
95b0edeb60f2,spielberg_FP1,rpm,string_in_numeric,detection,0.0021,True
3d332b8c17e5,spielberg_FP1,aero_load,bit_flip_low,detection,0.0037,True
8db573f6c32b,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0018,True
6c327707dab4,spielberg_FP1,g_force_lateral,null_value,detection,0.0021,True
73ef2c0a5208,spielberg_FP1,speed_alt,schema_drift,detection,0.003,True
463e407feab7,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0029,True
405d04a6e008,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0043,True
b5fe45022241,spielberg_FP1,throttle,string_in_numeric,detection,0.0024,True
9cb40a6e8f04,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0025,True
bee0ae37f37e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0022,True
d56ec959f0d1,spielberg_FP1,engine_temp,sensor_dropout,detection,0.002,True
49460ee84163,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0044,True
dcf83cd77567,spielberg_FP1,speed,bit_flip_high,detection,0.0045,True
03c7733c10b1,spielberg_FP1,engine_temp_v2,schema_drift,detection,0.0063,True
0cbe32d74134,spielberg_FP1,throttle,bit_flip_low,detection,0.0047,True
c07992c1d00c,spielberg_FP1,throttle,null_value,detection,0.0019,True
0d1009108f85,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0023,True
07bcbf8b888e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0028,True
347432fe82b6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0025,True
7d9a1c0767a1,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.002,True
9dd87e23d541,spielberg_FP1,speed,null_value,detection,0.0016,True
c021e3ae427e,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
0c5308ed1e24,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0022,True
2ef9d77ad35b,spielberg_FP1,g_force_lateral,null_value,detection,0.0023,True
8e06e777cd81,spielberg_FP1,speed_new,schema_drift,detection,0.0029,True
cbd4a456a0e9,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0028,True
8ea6b0433e64,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0018,True
eff5300ba5b8,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0019,True
5d6c304c7d2b,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.005,True
d6c4ec0d821e,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0023,True
7597ce0d3a19,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0021,True
88962bfd6619,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0029,True
552d852ed7e4,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0023,True
2cb1f8e03891,spielberg_FP1,heart_rate,null_value,detection,0.0019,True
