packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
66a030f79d1c,,,dlq_repair,repair,0.0035,False
a68b51d9e8e3,,,dlq_repair,repair,0.0159,False
59065ff8c9a5,,,dlq_repair,repair,0.0169,False
697b9dfa7ac0,,,dlq_repair,repair,0.0128,False
0789878c117e,,,dlq_repair,repair,0.0131,False
425ee16de220,,,dlq_repair,repair,0.0122,False
d4fba61d860b,,,dlq_repair,repair,0.0101,False
7cb97b0ed8e7,,,dlq_repair,repair,0.0148,False
545b30048fe5,,,dlq_repair,repair,0.0156,False
09963638ba12,,,dlq_repair,repair,0.0051,False
2f5d5b3050af,,,dlq_repair,repair,0.0146,False
e03a51e9ca9c,,,dlq_repair,repair,0.0042,False
44a323c65d5d,,,dlq_repair,repair,0.0151,False
c41f1abb6ea9,,,dlq_repair,repair,0.0152,False
5b41c723bc49,,,dlq_repair,repair,0.0084,True
626db32e908a,,,dlq_repair,repair,0.0066,True
694d6c32816c,,,dlq_repair,repair,0.0094,True
8ec6309ff0a7,,,dlq_repair,repair,0.0075,True
f46cbbaa602b,,,dlq_repair,repair,0.0152,False
bc3d3452c764,,,dlq_repair,repair,0.0085,True
90de9cb6adc3,,,dlq_repair,repair,0.0093,True
69d07556668a,,,dlq_repair,repair,0.0079,True
8b46544142c6,,,dlq_repair,repair,0.0087,True
45f0e50ad09d,,,dlq_repair,repair,0.009,True
7dacff71dc8d,,,dlq_repair,repair,0.0087,True
b4f6901bbbed,,,dlq_repair,repair,0.0083,True
5144aad5e30e,,,dlq_repair,repair,0.0073,True
6f10a3b8f1b1,,,dlq_repair,repair,0.0081,True
7edad452e6db,,,dlq_repair,repair,0.0156,False
2c04d2788a7c,,,dlq_repair,repair,0.0094,True
a8a33ada7773,,,dlq_repair,repair,0.0088,True
5a1e0f0580e0,,,dlq_repair,repair,0.0059,False
f41bfcf51f2c,,,dlq_repair,repair,0.0092,True
1d20ae086aec,,,dlq_repair,repair,0.0081,True
57438c173b8f,,,dlq_repair,repair,0.0173,False
5f7663d66705,,,dlq_repair,repair,0.0047,False
300a416e038e,,,dlq_repair,repair,0.0093,True
1d8c6ae5dca9,,,dlq_repair,repair,0.0088,True
09a17cad413a,,,dlq_repair,repair,0.0088,True
ae03817e2331,,,dlq_repair,repair,0.0071,True
673f7ff39e56,,,dlq_repair,repair,0.0054,False
00099521ae87,,,dlq_repair,repair,0.0114,True
2de5eee3bb8e,,,dlq_repair,repair,0.0067,True
bcceb7782771,,,dlq_repair,repair,0.0078,True
304b313f17f5,,,dlq_repair,repair,0.0076,True
fdd535c2cdc2,,,dlq_repair,repair,0.0153,False
3481621fd5d9,,,dlq_repair,repair,0.0049,False
8af9a9804efd,,,dlq_repair,repair,0.0046,False
9b904266f7d0,,,dlq_repair,repair,0.0152,False
2dc875a97c6a,,,dlq_repair,repair,0.0091,True
344a04584fc5,,,dlq_repair,repair,0.0076,True
05e83008e326,,,dlq_repair,repair,0.0071,True
2d3993df81f7,,,dlq_repair,repair,0.0063,True
7541828dd247,,,dlq_repair,repair,0.0093,True
7d9313827364,,,dlq_repair,repair,0.018,True
978e2f4d20ef,,,dlq_repair,repair,0.0084,True
4cf09b5a4a95,,,dlq_repair,repair,0.0084,True
c60f752e9c04,,,dlq_repair,repair,0.0085,True
daf41a1bdc35,,,dlq_repair,repair,0.0082,True
5c75f7f48f14,,,dlq_repair,repair,0.0078,True
70604bf8c180,,,dlq_repair,repair,0.008,True
04e4549edf38,,,dlq_repair,repair,0.0079,True
4a0ce5a9a11b,,,dlq_repair,repair,0.0073,True
e865ce98cce3,,,dlq_repair,repair,0.0108,True
08f8cdde3a46,,,dlq_repair,repair,0.0062,True
18729029adeb,,,dlq_repair,repair,0.0047,True
3e1be6575160,,,dlq_repair,repair,0.0084,True
9c88e7ca420e,,,dlq_repair,repair,0.0081,True
1c1149c054c9,,,dlq_repair,repair,0.0077,True
63919c371f86,,,dlq_repair,repair,0.0176,False
3aeb1dea16b9,,,dlq_repair,repair,0.0071,True
35f52dd293f1,,,dlq_repair,repair,0.0073,True
76f3a0f9ab08,,,dlq_repair,repair,0.0087,True
eaf7b5047b53,,,dlq_repair,repair,0.0085,True
390a99788aec,,,dlq_repair,repair,0.0089,True
208ede2b3f9f,,,dlq_repair,repair,0.0097,True
4578071e5516,,,dlq_repair,repair,0.0084,True
0c8e5820c5b2,,,dlq_repair,repair,0.0055,False
25cf5e89e2d4,,,dlq_repair,repair,0.0077,True
d9baf50c5112,,,dlq_repair,repair,0.0086,True
098e627ae2cb,,,dlq_repair,repair,0.0075,True
bcd302e09661,,,dlq_repair,repair,0.0071,True
496eea734699,,,dlq_repair,repair,0.0077,True
e6400ac36321,,,dlq_repair,repair,0.0081,True
5e852aac3d5c,,,dlq_repair,repair,0.0161,True
0968bdfc2577,,,dlq_repair,repair,0.0075,True
3491ab07eee7,,,dlq_repair,repair,0.0079,True
ee530f544d45,,,dlq_repair,repair,0.0161,False
5cc4122afdb3,,,dlq_repair,repair,0.0086,True
1a44278a3f60,,,dlq_repair,repair,0.0159,False
b8fc0534966d,,,dlq_repair,repair,0.0151,False
7bc300180cb0,,,dlq_repair,repair,0.007,True
c2ebb8f32c5c,,,dlq_repair,repair,0.0145,False
38b6fc35a043,,,dlq_repair,repair,0.0052,False
f0aa985bb1cb,,,dlq_repair,repair,0.0076,True
6ea3a6ea41f5,,,dlq_repair,repair,0.0084,True
79a44866f505,,,dlq_repair,repair,0.0084,True
3782d0fb2c7e,,,dlq_repair,repair,0.0083,True
18269e0b1e19,,,dlq_repair,repair,0.007,True
3c89ec990781,,,dlq_repair,repair,0.0071,True
f8f09d39a20a,,,dlq_repair,repair,0.009,True
0cdfc84083e6,,,dlq_repair,repair,0.008,True
37c0e19a1975,,,dlq_repair,repair,0.0104,True
6c96a3682081,,,dlq_repair,repair,0.0093,True
bc3d3b7b8f05,,,dlq_repair,repair,0.0146,False
01098ffd0233,,,dlq_repair,repair,0.0078,True
59910a61c274,,,dlq_repair,repair,0.0119,True
942abbab389f,,,dlq_repair,repair,0.0156,False
e575c8f5d9ab,,,dlq_repair,repair,0.0136,False
2110af10a113,,,dlq_repair,repair,0.0082,True
3a2419fb3809,,,dlq_repair,repair,0.0079,True
fb4456a0b3b8,,,dlq_repair,repair,0.0076,True
0fbccad8fb2f,,,dlq_repair,repair,0.0086,True
d2d404934cd3,,,dlq_repair,repair,0.0166,False
eca60048ea2d,,,dlq_repair,repair,0.0065,True
c8c34c585404,,,dlq_repair,repair,0.0051,True
93144993585c,,,dlq_repair,repair,0.0086,True
612ee36bc31c,,,dlq_repair,repair,0.0152,False
77e54f86100c,,,dlq_repair,repair,0.0074,True
0e8653e3d343,,,dlq_repair,repair,0.0072,True
5f5d7c59ee83,,,dlq_repair,repair,0.0079,True
b4382f4f5a3c,,,dlq_repair,repair,0.0085,True
d187f3f26135,,,dlq_repair,repair,0.0077,True
c9ae785b4efd,,,dlq_repair,repair,0.0081,True
0dc9db8cdf7d,,,dlq_repair,repair,0.0088,True
5bdcb6eaabe7,,,dlq_repair,repair,0.0071,True
45f7958f732c,,,dlq_repair,repair,0.0072,True
407e251b16cd,,,dlq_repair,repair,0.0083,True
dcce93fd1a4a,,,dlq_repair,repair,0.0079,True
6313d5efe8c0,,,dlq_repair,repair,0.0071,True
67599ddfb88f,,,dlq_repair,repair,0.0075,True
71b2555fe046,,,dlq_repair,repair,0.0075,True
cb68bff35f48,,,dlq_repair,repair,0.0084,True
e5c68e07336d,,,dlq_repair,repair,0.0078,True
9ba9f207cb1b,,,dlq_repair,repair,0.019,True
754b2053dc56,,,dlq_repair,repair,0.0067,True
166c554ac978,,,dlq_repair,repair,0.0069,True
a72ad0ae8054,,,dlq_repair,repair,0.0092,True
ccdd0175eacf,,,dlq_repair,repair,0.0071,True
4edc0df16f7c,,,dlq_repair,repair,0.0077,True
db74450802fd,,,dlq_repair,repair,0.0093,True
ef722c624c95,,,dlq_repair,repair,0.0051,False
9d1f04389eb5,,,dlq_repair,repair,0.0088,True
8b8fb4d9de54,,,dlq_repair,repair,0.009,True
f2f4b4fa6c3e,,,dlq_repair,repair,0.0062,True
f43c1efd226b,,,dlq_repair,repair,0.0083,True
7e5bec35e984,,,dlq_repair,repair,0.0074,True
56a44c903075,,,dlq_repair,repair,0.0087,True
9b1ef1654c64,,,dlq_repair,repair,0.0075,True
b4b32e3cee41,,,dlq_repair,repair,0.0087,True
9a833a91a08f,,,dlq_repair,repair,0.0071,True
74f1f4d59ee7,,,dlq_repair,repair,0.009,True
48064e87ce5e,,,dlq_repair,repair,0.0063,True
2f2de9bad773,,,dlq_repair,repair,0.0062,True
81b9961450fc,,,dlq_repair,repair,0.0067,True
8537e5d120ae,,,dlq_repair,repair,0.0088,True
513714b18bf8,,,dlq_repair,repair,0.009,True
1a47d64e7dae,,,dlq_repair,repair,0.0148,False
b53edf5c55c6,,,dlq_repair,repair,0.0088,True
c99e182e6c9a,,,dlq_repair,repair,0.0081,True
3fb4254ab8a2,,,dlq_repair,repair,0.0079,True
776c5296008e,,,dlq_repair,repair,0.0094,True
df1d26bdde13,,,dlq_repair,repair,0.0086,True
30257c5beb74,,,dlq_repair,repair,0.0148,False
af9afadc6a41,,,dlq_repair,repair,0.006,True
f52d8c81d856,,,dlq_repair,repair,0.0059,True
30d1582b1332,,,dlq_repair,repair,0.0075,True
91d1bde0c507,,,dlq_repair,repair,0.0079,True
73b05095f939,,,dlq_repair,repair,0.0157,False
e9690e473320,,,dlq_repair,repair,0.0149,False
6467fc38148f,,,dlq_repair,repair,0.0295,False
b82ad17fa393,,,dlq_repair,repair,0.0073,True
e1a40614f1ce,,,dlq_repair,repair,0.0089,True
e19ab36a2dc9,,,dlq_repair,repair,0.0078,True
56d1bf4a452a,,,dlq_repair,repair,0.0131,True
e701425388f3,,,dlq_repair,repair,0.0087,True
a2084477e95e,,,dlq_repair,repair,0.0146,False
98aa523cc390,,,dlq_repair,repair,0.0083,True
c24e171ce49e,,,dlq_repair,repair,0.016,True
